,t1_name,t2_name,date,t1_odds,t2_odds,R_ev,B_ev,t1_prob,t2_prob,winner,bet,net_profit
0,Israel Adesanya,Marvin Vettori,2021-06-12,-235,185,42.5531914893617,185.0,6.818230502848316e-07,0.999999318176952,0,Blue,-100.0
1,Deiveson Figueiredo,Brandon Moreno,2021-06-12,-195,150,51.28205128205128,150.0,4.546627545136668e-28,1.0,1,Blue,150.0
2,Leon Edwards,Nate Diaz,2021-06-12,-500,355,20.0,355.0,0.902174706987003,0.0978252930130013,0,Red,20.0
3,Demian Maia,Belal Muhammad,2021-06-12,170,-220,170.0,45.45454545454545,0.5559506493222078,0.44404935067779505,1,Red,-100.0
4,Paul Craig,Jamahal Hill,2021-06-12,210,-275,210.0,36.36363636363637,0.5407257621332798,0.4592742378667181,0,Red,210.0
5,Drew Dober,Brad Riddell,2021-06-12,-152,120,65.78947368421053,120.0,0.5406468332341111,0.4593531667658893,1,Blue,120.0
6,Eryk Anders,Darren Stewart,2021-06-12,-150,120,66.66666666666666,120.0,0.6005615295631916,0.3994384704368056,0,Red,66.66666666666666
7,Lauren Murphy,Joanne Calderwood,2021-06-12,117,-148,117.0,67.56756756756756,0.28955672168765256,0.7104432783123499,0,Blue,-100.0
8,Movsar Evloev,Hakeem Dawodu,2021-06-12,-240,188,41.66666666666667,188.0,0.4032035836210639,0.5967964163789343,0,Blue,-100.0
9,Pannie Kianzad,Alexis Davis,2021-06-12,-240,187,41.66666666666667,187.0,0.569940897218695,0.43005910278130216,0,Blue,-100.0
10,Matt Frevola,Terrance McKinney,2021-06-12,-210,160,47.61904761904761,160.0,0.6575480094817061,0.34245199051829145,1,,0.0
11,Chase Hooper,Steven Peterson,2021-06-12,-108,-114,92.5925925925926,87.71929824561403,0.6669325960001412,0.3330674039998572,1,Red,-100.0
12,Fares Ziam,Luigi Vendramini,2021-06-12,-125,102,80.0,102.0,0.7429751487222142,0.2570248512777856,0,Red,80.0
13,Carlos Felipe,Jake Collier,2021-06-12,-165,130,60.60606060606061,130.0,0.4548000222124463,0.5451999777875525,0,Blue,-100.0
14,Jairzinho Rozenstruik,Augusto Sakai,2021-06-05,-118,-106,84.74576271,94.33962264,0.6275659322320619,0.3724340677679382,0,Red,84.74576271
15,Walt Harris,Marcin Tybura,2021-06-05,140,-177,140.0,56.49717514,0.28336288818479033,0.7166371118152067,1,Blue,56.49717514
16,Roman Dolidze,Laureano Staropoli,2021-06-05,-150,120,66.66666667,120.0,0.8309021240958951,0.16909787590410144,0,Red,66.66666667
17,Santiago Ponzinibbio,Miguel Baeza,2021-06-05,105,-134,105.0,74.62686567,0.5035159240213007,0.4964840759787022,0,Red,105.0
18,Dusko Todorovic,Gregory Rodrigues,2021-06-05,-177,140,56.49717514,140.0,0.5117039754006202,0.48829602459937815,1,Blue,140.0
19,Montana De La Rosa,Ariane Lipski,2021-06-05,-114,195,87.71929825,195.0,0.6748028242991567,0.3251971757008434,0,Red,87.71929825
20,Tanner Boser,Ilir Latifi,2021-06-05,-200,160,50.0,160.0,0.6069014342653676,0.39309856573463453,1,Blue,160.0
21,Francisco Trinaldo,Muslim Salikhov,2021-06-05,180,-230,180.0,43.47826087,0.45068323357004625,0.5493167664299519,1,Red,-100.0
22,Makwan Amirkhani,Kamuela Kirk,2021-06-05,-230,180,43.47826087,180.0,0.782074186189393,0.2179258138106086,1,Red,-100.0
23,Manon Fiorot,Tabatha Ricci,2021-06-05,-165,375,60.60606061,375.0,0.9259168579433338,0.07408314205666283,0,Red,60.60606061
24,Sean Woodson,Youssef Zalal,2021-06-05,-200,160,50.0,160.0,0.8661053787821663,0.13389462121783272,0,Red,50.0
25,Claudio Puelles,Jordan Leavitt,2021-06-05,165,-215,165.0,46.51162791,0.4065001036250948,0.5934998963749064,0,Red,165.0
26,Rob Font,Cody Garbrandt,2021-05-22,-130,110,76.92307692,110.0,0.8778252751847678,0.12217472481523003,0,Red,76.92307692
27,Yan Xiaonan,Carla Esparza,2021-05-22,-137,117,72.99270073,117.0,0.5775013204068775,0.4224986795931231,1,,0.0
28,Justin Tafa,Jared Vanderaa,2021-05-22,-178,157,56.17977528,157.0,0.7106983199652488,0.28930168003475354,1,Red,-100.0
29,Felicia Spencer,Norma Dumont,2021-05-22,-178,157,56.17977528,157.0,0.5996413994414936,0.4003586005585064,1,Blue,157.0
30,Ricardo Ramos,Bill Algeo,2021-05-22,125,-145,125.0,68.96551724,0.4013300996231675,0.5986699003768305,0,Blue,-100.0
31,Jack Hermansson,Edmen Shahbazyan,2021-05-22,-132,112,75.75757576,112.0,0.7109649136377517,0.2890350863622506,0,Red,75.75757576
32,Ben Rothwell,Chris Barnett,2021-05-22,-345,285,28.98550725,285.0,0.9639351842196404,0.03606481578035748,0,Red,28.98550725
33,Court McGee,Claudio Silva,2021-05-22,105,-125,105.0,80.0,0.5100353014809643,0.48996469851903635,0,Red,105.0
34,Bruno Silva,Victor Rodriguez,2021-05-22,-355,295,28.16901408,295.0,0.8304024784307056,0.16959752156929755,0,Red,28.16901408
35,Josh Culibao,Shayilan Nuerdanbieke,2021-05-22,-235,195,42.55319149,195.0,0.7457702227045518,0.2542297772954516,0,Red,42.55319149
36,David Dvorak,Juancamilo Ronderos,2021-05-22,-490,390,20.40816327,390.0,0.9309115019526446,0.06908849804735885,0,Red,20.40816327
37,Rafael Alves,Damir Ismagulov,2021-05-22,400,-500,400.0,20.0,0.4327243101671903,0.5672756898328093,1,Red,-100.0
38,Charles Oliveira,Michael Chandler,2021-05-15,-130,110,76.92307692,110.0,0.8752844199954124,0.12471558000458459,0,Red,76.92307692
39,Tony Ferguson,Beneil Dariush,2021-05-15,127,-147,127.0,68.02721088,3.437557249997491e-07,0.9999996562442726,1,Blue,68.02721088
