,t1_name,t2_name,date,t1_odds,t2_odds,R_ev,B_ev,t1_prob,t2_prob,winner,bet,net_profit
40,Matt Schnell,Rogerio Bontorin,2021-05-15,-165,145,60.60606061,145.0,0.5217690260806302,0.47823097391936903,1,Blue,145.0
41,Katlyn Chookagian,Viviane Araujo,2021-05-15,-127,107,78.74015748,107.0,0.6207074004110062,0.37929259958899436,0,Red,78.74015748
42,Shane Burgos,Edson Barboza,2021-05-15,-147,127,68.02721088,127.0,0.4654401977390838,0.5345598022609164,1,Blue,127.0
43,Jacare Souza,Andre Muniz,2021-05-15,-117,-103,85.47008547,97.08737864,0.8552854718171485,0.14471452818284847,1,Red,-100.0
44,Lando Vannata,Mike Grundy,2021-05-15,105,-125,105.0,80.0,0.3203237242511587,0.6796762757488432,0,Blue,-100.0
45,Jordan Wright,Jamie Pickett,2021-05-15,-108,-112,92.59259259,89.28571429,0.4640860906926352,0.535913909307363,0,Blue,-100.0
46,Andrea Lee,Antonina Shevchenko,2021-05-15,100,-120,100.0,83.33333333,0.4978781814728131,0.5021218185271895,0,,0.0
47,Gina Mazany,Priscila Cachoeira,2021-05-15,-235,195,42.55319149,195.0,0.7887308215059904,0.21126917849400798,1,Red,-100.0
48,Kevin Aguilar,Tucker Lutz,2021-05-15,120,-140,120.0,71.42857143,0.3656385900974709,0.6343614099025289,1,Blue,71.42857143
49,Christos Giagos,Sean Soriano,2021-05-15,-225,185,44.44444444,185.0,0.7558455304601099,0.24415446953989087,0,Red,44.44444444
50,Marina Rodriguez,Michelle Waterson,2021-05-08,-235,195,42.55319149,195.0,0.8010195922384138,0.19898040776158507,0,Red,42.55319149
51,Donald Cerrone,Alex Morono,2021-05-08,-150,130,66.66666667,130.0,0.9265418959490144,0.07345810405098885,1,Red,-100.0
52,Neil Magny,Geoff Neal,2021-05-08,155,-200,155.0,50.0,0.8028450099669463,0.1971549900330549,0,Red,155.0
53,Maurice Greene,Marcos Rogerio de Lima,2021-05-08,157,-177,157.0,56.49717514,0.7022212888845354,0.2977787111154649,1,Red,-100.0
54,Diego Ferreira,Gregor Gillespie,2021-05-08,122,-142,122.0,70.42253521,0.37692382151334863,0.6230761784866482,1,Blue,70.42253521
55,Phil Hawes,Kyle Daukaus,2021-05-08,132,-152,132.0,65.78947368,0.5560774583719122,0.44392254162808686,0,Red,132.0
56,Ludovit Klein,Michael Trizano,2021-05-08,-250,210,40.0,210.0,0.7446947653073894,0.2553052346926105,1,Red,-100.0
57,Junyong Park,Tafon Nchukwi,2021-05-08,135,-155,135.0,64.51612903,0.5477866175122514,0.45221338248775,0,Red,135.0
58,Christian Aguilera,Carlston Harris,2021-05-08,175,-210,175.0,47.61904762,0.9957519035374071,0.004248096462592585,1,Red,-100.0
59,Dominick Reyes,Jiri Prochazka,2021-05-01,-120,100,83.33333333,100.0,0.7673979488265973,0.23260205117340624,1,Red,-100.0
60,Giga Chikadze,Cub Swanson,2021-05-01,-220,180,45.45454545,180.0,0.5356915343901881,0.464308465609814,0,Blue,-100.0
61,Sean Strickland,Krzysztof Jotko,2021-05-01,-245,205,40.81632653,205.0,0.3307930181972859,0.6692069818027117,0,Blue,-100.0
62,Merab Dvalishvili,Cody Stamann,2021-05-01,-290,245,34.48275862,245.0,8.275558023921442e-07,0.9999991724441926,0,Blue,-100.0
63,Randa Markos,Luana Pinheiro,2021-05-01,135,-155,135.0,64.51612903,0.062311748499526844,0.9376882515004699,1,Blue,64.51612903
64,Kai Kamaka,TJ Brown,2021-05-01,-162,142,61.72839506,142.0,0.5127600602045076,0.4872399397954928,1,Blue,142.0
65,Poliana Botelho,Luana Carolina,2021-05-01,-245,205,40.81632653,205.0,0.8342163241184553,0.16578367588154788,1,Red,-100.0
66,Loma Lookboonmee,Sam Hughes,2021-05-01,-420,335,23.80952381,335.0,0.814485327414228,0.18551467258577548,0,Red,23.80952381
67,Andreas Michailidis,KB Bhullar,2021-05-01,-190,165,52.63157895,165.0,0.6993582273830347,0.30064177261696634,0,Red,52.63157895
68,Luke Sanders,Felipe Colares,2021-05-01,-127,107,78.74015748,107.0,0.6431554134926255,0.35684458650737305,1,Red,-100.0
69,Kamaru Usman,Jorge Masvidal,2021-04-24,-320,260,31.25,260.0,0.9964265182403454,0.003573481759653084,0,Red,31.25
70,Zhang Weili,Rose Namajunas,2021-04-24,-200,170,50.0,170.0,0.6786550577222082,0.32134494227778865,1,Red,-100.0
71,Valentina Shevchenko,Jessica Andrade,2021-04-24,-450,360,22.22222222,360.0,0.9478164086430588,0.05218359135693884,0,Red,22.22222222
72,Uriah Hall,Chris Weidman,2021-04-24,140,-160,140.0,62.5,0.5415756189843328,0.45842438101566724,0,Red,140.0
73,Anthony Smith,Jimmy Crute,2021-04-24,210,-250,210.0,40.0,0.42268924551396403,0.5773107544860366,0,Red,210.0
74,Alex Oliveira,Randy Brown,2021-04-24,105,-125,105.0,80.0,0.5169568707715779,0.48304312922842,1,Red,-100.0
75,Dwight Grant,Stefan Sekulic,2021-04-24,-175,155,57.14285714,155.0,0.6148309463296883,0.385169053670312,0,,0.0
76,Karl Roberson,Brendan Allen,2021-04-24,115,-135,115.0,74.07407407,0.5158953567995586,0.4841046432004385,1,Red,-100.0
77,Pat Sabatini,Tristan Connelly,2021-04-24,-240,200,41.66666667,200.0,0.6641967624381909,0.33580323756180736,0,Blue,-100.0
78,Danaa Batgerel,Kevin Natividad,2021-04-24,-230,190,43.47826087,190.0,0.7247401312721985,0.27525986872780467,0,Red,43.47826087
79,Kazula Vargas,Rong Zhu,2021-04-24,175,-210,175.0,47.61904762,0.47268315747384915,0.5273168425261491,0,Red,175.0
80,Aori Qileng,Jeff Molina,2021-04-24,100,-120,100.0,83.33333333,0.6078710525288863,0.3921289474711157,1,Red,-100.0
81,Na Liang,Ariane Carnelossi,2021-04-24,178,-215,178.0,46.51162791,0.8838554152775921,0.11614458472240896,1,Red,-100.0
82,Robert Whittaker,Kelvin Gastelum,2021-04-17,-245,205,40.81632653,205.0,0.900830898673863,0.09916910132613609,0,Red,40.81632653
83,Andrei Arlovski,Chase Sherman,2021-04-17,110,-130,110.0,76.92307692,0.6751618999501647,0.32483810004983416,0,Red,110.0
84,Abdul Razak Alhassan,Jacob Malkoun,2021-04-17,-300,250,33.33333333,250.0,0.6851136873417961,0.3148863126582031,1,Blue,250.0
85,Tracy Cortez,Justine Kish,2021-04-17,-325,265,30.76923077,265.0,0.7347188052831214,0.2652811947168809,0,,0.0
86,Luis Pena,Alexander Munoz,2021-04-17,-155,135,64.51612903,135.0,0.8121588045434618,0.1878411954565414,0,Red,64.51612903
87,Alexandr Romanov,Juan Espino,2021-04-17,-160,140,62.5,140.0,0.37717914297312355,0.6228208570268774,0,Blue,-100.0
88,Jessica Penne,Loopy Godinez,2021-04-17,210,-250,210.0,40.0,0.7792892552674239,0.2207107447325785,0,Red,210.0
89,Bartosz Fabinski,Gerald Meerschaert,2021-04-17,-125,105,80.0,105.0,0.749911418789137,0.2500885812108645,1,Red,-100.0
90,Austin Hubbard,Dakota Bush,2021-04-17,-230,190,43.47826087,190.0,0.6849784412993475,0.3150215587006536,0,,0.0
91,Tony Gravely,Anthony Birchak,2021-04-17,-390,320,25.64102564,320.0,0.7331707558090935,0.26682924419090814,0,Blue,-100.0
92,Marvin Vettori,Kevin Holland,2021-04-10,-290,245,34.48275862,245.0,0.840654997980252,0.15934500201974505,0,Red,34.48275862
93,Arnold Allen,Sodiq Yusuff,2021-04-10,135,-155,135.0,64.51612903,0.2641076713686226,0.7358923286313809,0,Blue,-100.0
94,Sam Alvey,Julian Marquez,2021-04-10,125,-145,125.0,68.96551724,0.7603615659435649,0.23963843405643465,1,Red,-100.0
95,Nina Nunes,Mackenzie Dern,2021-04-10,-120,100,83.33333333,100.0,0.7758658895820012,0.22413411041800038,1,Red,-100.0
96,Mike Perry,Daniel Rodriguez,2021-04-10,100,-120,100.0,83.33333333,0.35040358481858797,0.6495964151814148,1,Blue,83.33333333
97,Jim Miller,Joe Solecki,2021-04-10,205,-245,205.0,40.81632653,0.4212688910549011,0.5787311089450985,1,Red,-100.0
98,Scott Holtzman,Mateusz Gamrot,2021-04-10,185,-225,185.0,44.44444444,0.4585656631977603,0.5414343368022393,1,Red,-100.0
99,John Makdessi,Ignacio Bahamondes,2021-04-10,170,-200,170.0,50.0,0.7976771050284115,0.20232289497159042,0,Red,170.0
100,Yorgan De Castro,Jarjis Danho,2021-04-10,-310,255,68.02721088,255.0,2.5778897693612776e-07,0.9999997422110217,1,Blue,255.0
101,Hunter Azure,Jack Shore,2021-04-10,160,-185,160.0,54.05405405,0.3192501899863226,0.6807498100136772,1,Blue,54.05405405
102,Luis Saldana,Jordan Griffin,2021-04-10,-145,125,68.96551724,125.0,0.6200264685018898,0.37997353149810953,0,Red,68.96551724
103,Da-Un Jung,William Knight,2021-04-10,-147,127,68.02721088,127.0,0.7819850418541309,0.21801495814586694,0,Red,68.02721088
104,Impa Kasanganay,Sasha Palatnikov,2021-04-10,-250,210,40.0,210.0,0.7134766021537764,0.2865233978462224,0,,0.0
105,Stipe Miocic,Francis Ngannou,2021-03-27,117,-137,117.0,72.99270073,0.42448934635931745,0.5755106536406853,1,,0.0
106,Tyron Woodley,Vicente Luque,2021-03-27,170,-200,170.0,50.0,0.1297550620201893,0.8702449379798091,1,Blue,50.0
107,Sean O'Malley,Thomas Almeida,2021-03-27,-370,310,27.02702703,310.0,0.8864833823535014,0.11351661764649544,0,Red,27.02702703
108,Gillian Robertson,Miranda Maverick,2021-03-27,125,-145,125.0,68.96551724,0.5913414715748683,0.40865852842513406,1,Red,-100.0
109,Jamie Mullarkey,Khama Worthy,2021-03-27,115,-135,115.0,74.07407407,0.41522330622508885,0.5847766937749099,0,Blue,-100.0
110,Alonzo Menifield,Fabio Cherant,2021-03-27,-275,235,36.36363636,235.0,0.877308466887642,0.12269153311235709,0,Red,36.36363636
111,Jared Gooden,Abubakar Nurmagomedov,2021-03-27,175,-210,175.0,47.61904762,0.5079774681184925,0.49202253188150696,1,Red,-100.0
112,Modestas Bukauskas,Michal Oleksiejczuk,2021-03-27,157,-177,157.0,56.49717514,0.5983733969490096,0.40162660305099035,1,Red,-100.0
113,Shane Young,Omar Morales,2021-03-27,170,-200,170.0,50.0,0.32347740851237844,0.6765225914876183,1,Blue,50.0
114,Marc-Andre Barriault,Abu Azaitar,2021-03-27,-127,107,78.74015748,107.0,0.6415895047957277,0.3584104952042746,0,Red,78.74015748
115,Derek Brunson,Kevin Holland,2021-03-20,175,-210,175.0,47.61904762,0.3367503629781116,0.6632496370218893,0,,0.0
116,Song Kenan,Max Griffin,2021-03-20,165,-190,165.0,52.63157895,0.37327305466890204,0.6267269453310944,1,,0.0
117,Cheyanne Buys,Montserrat Conejo,2021-03-20,-260,220,38.46153846,220.0,0.7897835638677182,0.21021643613228255,1,Red,-100.0
118,Adrian Yanez,Gustavo Lopez,2021-03-20,-215,178,46.51162791,178.0,0.6828081449978606,0.31719185500214,0,Red,46.51162791
119,Tai Tuivasa,Harry Hunsucker,2021-03-20,-430,345,23.25581395,345.0,0.8060479869683637,0.19395201303163823,0,,0.0
120,Marion Reneau,Macy Chiasson,2021-03-20,185,-225,185.0,44.44444444,0.6474390176921686,0.3525609823078296,1,Red,-100.0
121,Leonardo Santos,Grant Dawson,2021-03-20,160,-185,160.0,54.05405405,0.3685631785218246,0.6314368214781726,1,,0.0
122,Trevin Giles,Roman Dolidze,2021-03-20,-115,-105,86.95652174,95.23809524,0.5446496906674225,0.4553503093325773,0,Red,86.95652174
123,Montel Jackson,Jesse Strader,2021-03-20,-600,450,16.66666667,450.0,0.9752071655214108,0.024792834478592294,0,Red,16.66666667
124,Bruno Silva,JP Buys,2021-03-20,115,-135,115.0,74.07407407,0.7558761932286854,0.2441238067713167,0,Red,115.0
125,Misha Cirkunov,Ryan Spann,2021-03-13,-125,105,80.0,105.0,0.7180382172522386,0.2819617827477638,1,Red,-100.0
126,Dan Ige,Gavin Tucker,2021-03-13,-190,165,52.63157895,165.0,0.5261928551473114,0.47380714485268927,0,Blue,-100.0
127,Jonathan Martinez,Davey Grant,2021-03-13,-300,250,33.33333333,250.0,0.5024334194293669,0.4975665805706332,1,Blue,250.0
128,Manel Kape,Matheus Nicolau,2021-03-13,-130,110,76.92307692,110.0,0.7282041105815655,0.27179588941843147,1,Red,-100.0
129,Angela Hill,Ashley Yoder,2021-03-13,-330,270,30.3030303,270.0,0.8397385478983409,0.1602614521016596,0,Red,30.3030303
130,Charles Jourdain,Marcelo Rojo,2021-03-13,-300,250,33.33333333,250.0,0.627101936420146,0.3728980635798569,0,Blue,-100.0
131,Rani Yahya,Ray Rodriguez,2021-03-13,-270,230,37.03703704,230.0,0.9011637563976388,0.09883624360236433,0,Red,37.03703704
132,Nasrat Haqparast,Rafa Garcia,2021-03-13,-525,415,19.04761905,415.0,0.9275036485615531,0.07249635143844575,0,Red,19.04761905
133,Cortney Casey,JJ Aldrich,2021-03-13,122,-142,122.0,70.42253521,0.5220624662497593,0.4779375337502388,1,Red,-100.0
134,Gloria de Paula,Jinh Yu Frey,2021-03-13,-200,170,50.0,170.0,0.5712971582717994,0.4287028417281992,1,Blue,170.0
135,Matthew Semelsberger,Jason Witt,2021-03-13,-130,110,76.92307692,110.0,0.704503189343563,0.2954968106564405,0,Red,76.92307692
136,Jan Blachowicz,Israel Adesanya,2021-03-06,205,-245,205.0,40.81632653,0.031417172090215016,0.9685828279097864,0,Blue,-100.0
137,Amanda Nunes,Megan Anderson,2021-03-06,-700,500,14.28571429,500.0,0.9985817897857576,0.0014182102142425307,0,Red,14.28571429
138,Petr Yan,Aljamain Sterling,2021-03-06,-122,102,81.96721311,102.0,0.4600783081195438,0.5399216918804531,1,Blue,102.0
139,Islam Makhachev,Drew Dober,2021-03-06,-460,365,21.73913043,365.0,0.8885673398032329,0.11143266019676808,0,Red,21.73913043
140,Thiago Santos,Aleksandar Rakic,2021-03-06,160,-185,160.0,54.05405405,0.49634083426439995,0.5036591657356029,1,Red,-100.0
141,Dominick Cruz,Casey Kenney,2021-03-06,120,-140,120.0,71.42857143,0.954625372609425,0.04537462739057529,0,Red,120.0
142,Song Yadong,Kyler Phillips,2021-03-06,-220,180,45.45454545,180.0,0.5463105596691583,0.45368944033083847,1,Blue,180.0
143,Joseph Benavidez,Askar Askarov,2021-03-06,125,-145,125.0,68.96551724,2.0939755439055332e-07,0.9999997906024524,1,Blue,68.96551724
144,Rogerio Bontorin,Kai Kara-France,2021-03-06,117,-137,117.0,72.99270073,0.5412711545139808,0.45872884548601933,1,Red,-100.0
145,Tim Elliott,Jordan Espinosa,2021-03-06,-155,135,64.51612903,135.0,0.7710731467668285,0.22892685323316814,0,Red,64.51612903
146,Kennedy Nzechukwu,Carlos Ulberg,2021-03-06,190,-230,190.0,43.47826087,0.5372605400118893,0.4627394599881097,0,Red,190.0
147,Sean Brady,Jake Matthews,2021-03-06,-220,180,45.45454545,180.0,0.6121514373372078,0.3878485626627927,0,Blue,-100.0
148,Livinha Souza,Amanda Lemos,2021-03-06,200,-240,200.0,41.66666667,0.3257629813869617,0.6742370186130408,1,,0.0
149,Uros Medic,Aalon Cruz,2021-03-06,-200,170,50.0,170.0,0.7363634895413118,0.26363651045869096,0,Red,50.0
150,Mario Bautista,Trevin Jones,2021-03-06,-240,200,41.66666667,200.0,0.6736030159498752,0.3263969840501228,1,,0.0
151,Jairzinho Rozenstruik,Ciryl Gane,2021-02-27,185,-225,185.0,44.0,0.2546486400027749,0.7453513599972251,1,Blue,44.0
152,Nikita Krylov,Magomed Ankalaev,2021-02-27,250,-300,250.0,33.0,0.26946004188046335,0.7305399581195354,1,,0.0
153,Pedro Munhoz,Jimmie Rivera,2021-02-27,115,-135,115.0,74.0,0.610770080895048,0.38922991910495214,0,Red,115.0
154,Alex Caceres,Kevin Croom,2021-02-27,-150,130,66.0,130.0,0.154216428559683,0.8457835714403175,0,Blue,-100.0
155,Alexander Hernandez,Thiago Moises,2021-02-27,-220,180,45.0,180.0,0.7304815708526184,0.2695184291473851,1,Red,-100.0
156,Alexis Davis,Sabina Mazo,2021-02-27,178,-215,178.0,46.0,0.24545551670737292,0.7545444832926287,0,Blue,-100.0
157,Vince Cachero,Ronnie Lawrence,2021-02-27,160,-185,160.0,54.0,0.06106047308080103,0.9389395269192019,1,Blue,54.0
158,Dustin Jacoby,Maxim Grishin,2021-02-27,-157,137,63.0,137.0,0.5221276433379142,0.4778723566620863,0,Blue,-100.0
159,Curtis Blaydes,Derrick Lewis,2021-02-20,-400,300,25.0,300.0,0.675569542373379,0.32443045762662326,1,Blue,300.0
160,Ketlen Vieira,Yana Kunitskaya,2021-02-20,-278,215,35.97122302,215.0,0.7373727844061027,0.262627215593897,1,Red,-100.0
161,Charles Rosa,Darrick Minner,2021-02-20,-190,150,52.63157895,150.0,0.915674694179591,0.08432530582041149,1,Red,-100.0
162,Aleksei Oleinik,Chris Daukaus,2021-02-20,140,-177,140.0,56.49717514,0.8059465341329427,0.1940534658670605,1,Red,-100.0
163,Phil Hawes,Nassourdine Imavov,2021-02-20,-125,-105,80.0,95.23809524,0.8493438874715834,0.15065611252841649,0,Red,80.0
164,Andrei Arlovski,Tom Aspinall,2021-02-20,200,-265,200.0,37.73584906,0.5374184234809903,0.4625815765190125,1,Red,-100.0
165,Jared Gordon,Danny Chavez,2021-02-20,110,-139,110.0,71.94244604,0.48265929894980597,0.5173407010501929,0,Red,110.0
166,Eddie Wineland,John Castaneda,2021-02-20,100,-125,100.0,80.0,0.6239116220778084,0.3760883779221922,1,Red,-100.0
167,Nate Landwehr,Julian Erosa,2021-02-20,-112,-112,89.28571429,89.28571429,0.5602430324687249,0.43975696753127863,1,Red,-100.0
168,Shana Dobson,Casey O'Neill,2021-02-20,125,-155,125.0,64.51612903,0.36729351995896564,0.6327064800410331,1,Blue,64.51612903
169,Aiemann Zahabi,Drako Rodriguez,2021-02-20,150,-190,150.0,52.63157895,0.7703331692040517,0.22966683079595016,0,Red,150.0
170,Serghei Spivac,Jared Vanderaa,2021-02-20,-250,195,40.0,195.0,0.6892709666612662,0.31072903333873053,0,,0.0
171,Kamaru Usman,Gilbert Burns,2021-02-13,-278,228,35.97122302,228.0,0.9426852966759719,0.057314703324028875,0,Red,35.97122302
172,Maycee Barber,Alexa Grasso,2021-02-13,-107,-107,93.45794393,93.45794393,0.6034906750081465,0.3965093249918513,1,Red,-100.0
173,Kelvin Gastelum,Ian Heinisch,2021-02-13,-205,174,48.7804878,174.0,0.11919929310242011,0.8808007068975778,0,Blue,-100.0
174,Ricky Simon,Brian Kelleher,2021-02-13,-253,210,39.5256917,210.0,0.5137989998644543,0.4862010001355459,0,Blue,-100.0
175,Maki Pitolo,Julian Marquez,2021-02-13,145,-177,145.0,56.49717514,0.8442417702234687,0.15575822977653453,1,Red,-100.0
176,Rodolfo Vieira,Anthony Hernandez,2021-02-13,-487,365,20.5338809,365.0,0.9002282890939426,0.0997717109060578,1,Red,-100.0
177,Belal Muhammad,Dhiego Lima,2021-02-13,-447,340,22.37136465,340.0,0.7425190448966875,0.25748095510331315,0,Blue,-100.0
178,Polyana Viana,Mallory Martin,2021-02-13,100,-115,100.0,86.95652174,0.6148430103264259,0.3851569896735748,0,Red,100.0
179,Andre Ewell,Chris Gutierrez,2021-02-13,112,-129,112.0,77.51937984,2.9426696030287164e-08,0.9999999705732994,1,Blue,77.51937984
180,Gabe Green,Philip Rowe,2021-02-13,-138,120,72.46376812,120.0,0.7565486313963464,0.24345136860365488,0,Red,72.46376812
181,Alistair Overeem,Alexander Volkov,2021-02-06,150,-182,150.0,54.94505495,0.9566013310168519,0.04339866898314954,1,Red,-100.0
182,Cory Sandhagen,Frankie Edgar,2021-02-06,-400,300,25.0,300.0,3.7491296808526925e-07,0.9999996250870274,0,Blue,-100.0
183,Alexandre Pantoja,Manel Kape,2021-02-06,-125,100,80.0,100.0,0.7289341099409755,0.2710658900590214,0,Red,80.0
184,Diego Ferreira,Beneil Dariush,2021-02-06,-125,105,80.0,105.0,9.319878819115197e-08,0.9999999068012116,1,Blue,105.0
185,Michael Johnson,Clay Guida,2021-02-06,-225,175,44.44444444,175.0,0.6008713347662695,0.3991286652337313,1,Blue,175.0
186,Mike Rodriguez,Danilo Marques,2021-02-06,-240,188,41.66666667,188.0,0.6103104662404056,0.38968953375959525,1,Blue,188.0
187,Molly McCann,Lara Procopio,2021-02-06,-177,140,56.49717514,140.0,0.8458872848459081,0.15411271515408848,1,Red,-100.0
188,SeungWoo Choi,Youssef Zalal,2021-02-06,175,-230,175.0,43.47826087,0.5961823043431916,0.4038176956568062,0,Red,175.0
189,Dustin Poirier,Conor McGregor,2021-01-23,250,-305,250.0,32.78688525,0.5757879887289269,0.42421201127107366,0,Red,250.0
190,Dan Hooker,Michael Chandler,2021-01-23,-134,105,74.62686567,105.0,0.6936065417041988,0.3063934582957986,1,Red,-100.0
191,Jessica Eye,Joanne Calderwood,2021-01-23,-105,-117,95.23809524,85.47008547,0.28938459813959677,0.7106154018604058,1,Blue,85.47008547
192,Andrew Sanchez,Makhmud Muradov,2021-01-23,115,-143,115.0,69.93006993,0.44118767640022866,0.5588123235997713,1,,0.0
193,Marina Rodriguez,Amanda Ribas,2021-01-23,250,-335,250.0,29.85074627,0.4889546209153881,0.5110453790846113,0,Red,250.0
194,Brad Tavares,Antonio Carlos Junior,2021-01-23,-134,105,74.62686567,105.0,0.3722512259046505,0.6277487740953485,0,Blue,-100.0
195,Julianna Pena,Sara McMann,2021-01-23,105,-130,105.0,76.92307692,0.3706629581864722,0.6293370418135286,0,Blue,-100.0
196,Khalil Rountree Jr.,Marcin Prachnio,2021-01-23,-335,250,29.85074627,250.0,0.7809501832261667,0.2190498167738308,1,Red,-100.0
197,Nik Lentz,Movsar Evloev,2021-01-23,390,-560,390.0,17.85714286,0.2961406027802725,0.7038593972197292,1,Red,-100.0
