date,link
10/17/2020,/events/ufc-on-espn-38-ortega-vs-the-korean-zombie-1971
10/10/2020,/events/ufc-on-espn-37-moraes-vs-sandhagen-1965
10/3/2020,/events/ufc-on-espn-16-holm-vs-aldana-1970
9/26/2020,/events/ufc-253-adesanya-vs-costa-1952
9/19/2020,/events/ufc-on-espn-36-covington-vs-woodley-1944
9/12/2020,/events/ufc-on-espn-35-waterson-vs-hill-1945
9/5/2020,/events/ufc-on-espn-34-overeem-vs-sakai-1953
8/29/2020,/events/ufc-on-espn-33-smith-vs-rakic-1932
8/22/2020,/events/ufc-on-espn-15-munhoz-vs-edgar-1931
8/15/2020,/events/ufc-252-miocic-vs-cormier-3-1919
8/8/2020,/events/ufc-on-espn-32-lewis-vs-oleinik-1885
8/1/2020,/events/ufc-on-espn-31-brunson-vs-shahbazyan-1918
7/25/2020,/events/ufc-on-espn-14-whittaker-vs-till-1903
7/18/2020,/events/ufc-on-espn-30-figueiredo-vs-benavidez-2-1913
7/15/2020,/events/ufc-on-espn-13-kattar-vs-ige-1917
7/11/2020,/events/ufc-251-usman-vs-masvidal-1890
6/27/2020,/events/ufc-on-espn-12-poirier-vs-hooker-1895
6/20/2020,/events/ufc-on-espn-11-blaydes-vs-volkov-1897
6/13/2020,/events/ufc-on-espn-10-eye-vs-calvillo-1898
6/6/2020,/events/ufc-250-nunes-vs-spencer-1909
5/30/2020,/events/ufc-on-espn-9-woodley-vs-burns-1910
5/16/2020,/events/ufc-on-espn-8-overeem-vs-harris-1908
5/13/2020,/events/ufc-on-espn-29-smith-vs-teixeira-1876
5/9/2020,/events/ufc-249-ferguson-vs-gaethje-1875
3/14/2020,/events/ufc-on-espn-28-lee-vs-oliveira-1847
3/7/2020,/events/ufc-248-adesanya-vs-romero-1849
2/29/2020,/events/ufc-on-espn-27-benavidez-vs-figueiredo-1862
2/22/2020,/events/ufc-on-espn-26-felder-vs-hooker-1846
6/29/2019,/events/ufc-on-espn-3-ngannou-vs-dos-santos-1687
6/22/2019,/events/ufc-on-espn-12-moicano-vs-the-korean-zombie-1680
7/6/2019,/events/ufc-239-jones-vs-santos-1686
