R_fighter,B_fighter,R_odds,B_odds,R_ev,B_ev,date,location,country,Winner,title_bout,weight_class,gender,no_of_rounds,B_current_lose_streak,B_current_win_streak,B_draw,B_avg_SIG_STR_landed,B_avg_SIG_STR_pct,B_avg_SUB_ATT,B_avg_TD_landed,B_avg_TD_pct,B_longest_win_streak,B_losses,B_total_rounds_fought,B_total_title_bouts,B_win_by_Decision_Majority,B_win_by_Decision_Split,B_win_by_Decision_Unanimous,B_win_by_KO/TKO,B_win_by_Submission,B_win_by_TKO_Doctor_Stoppage,B_wins,B_Stance,B_Height_cms,B_Reach_cms,B_Weight_lbs,R_current_lose_streak,R_current_win_streak,R_draw,R_avg_SIG_STR_landed,R_avg_SIG_STR_pct,R_avg_SUB_ATT,R_avg_TD_landed,R_avg_TD_pct,R_longest_win_streak,R_losses,R_total_rounds_fought,R_total_title_bouts,R_win_by_Decision_Majority,R_win_by_Decision_Split,R_win_by_Decision_Unanimous,R_win_by_KO/TKO,R_win_by_Submission,R_win_by_TKO_Doctor_Stoppage,R_wins,R_Stance,R_Height_cms,R_Reach_cms,R_Weight_lbs,R_age,B_age,lose_streak_dif,win_streak_dif,longest_win_streak_dif,win_dif,loss_dif,total_round_dif,total_title_bout_dif,ko_dif,sub_dif,height_dif,reach_dif,age_dif,sig_str_dif,avg_sub_att_dif,avg_td_dif,empty_arena,constant_1,B_match_weightclass_rank,R_match_weightclass_rank,R_Women's Flyweight_rank,R_Women's Featherweight_rank,R_Women's Strawweight_rank,R_Women's Bantamweight_rank,R_Heavyweight_rank,R_Light Heavyweight_rank,R_Middleweight_rank,R_Welterweight_rank,R_Lightweight_rank,R_Featherweight_rank,R_Bantamweight_rank,R_Flyweight_rank,R_Pound-for-Pound_rank,B_Women's Flyweight_rank,B_Women's Featherweight_rank,B_Women's Strawweight_rank,B_Women's Bantamweight_rank,B_Heavyweight_rank,B_Light Heavyweight_rank,B_Middleweight_rank,B_Welterweight_rank,B_Lightweight_rank,B_Featherweight_rank,B_Bantamweight_rank,B_Flyweight_rank,B_Pound-for-Pound_rank,better_rank
Calvin Kattar,Dan Ige,,,,,7/15/2020,"Abu Dhabi, Abu Dhabi, United Arab Emirates",United Arab Emirates,,FALSE,Featherweight,MALE,5,0,6,0,4.12,0.48,0.7,2.15,0.34,6,1,17,0,0,2,2,1,1,0,6,Orthodox,170.18,180.34,145,0,1,0,5.29,0.41,0,0.42,0.28,2,2,16,0,0,0,1,4,0,0,5,Orthodox,180.34,182.88,145,32,28,0,5,4,1,-1,1,0,-3,1,-10.16,-2.54,-4,-1.17,0.7,1.73,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tim Elliott,Ryan Benoit,,,,,7/15/2020,"Abu Dhabi, Abu Dhabi, United Arab Emirates",United Arab Emirates,,FALSE,Flyweight,MALE,3,1,0,0,2.8,0.4,0.2,0.2,0.16,1,4,17,0,0,1,0,2,0,0,3,Orthodox,165.1,172.72,125,3,0,0,3.41,0.46,1.2,4.31,0.55,2,9,33,1,0,0,3,0,1,0,4,Southpaw,170.18,167.64,125,33,30,-2,0,-1,-1,-5,-16,-1,2,-1,-5.08,5.08,-3,-0.61,-1,-4.11,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jimmie Rivera,Cody Stamann,,,,,7/15/2020,"Abu Dhabi, Abu Dhabi, United Arab Emirates",United Arab Emirates,,FALSE,Featherweight,MALE,3,0,1,1,4.51,0.49,0,3.34,0.48,3,1,20,0,0,2,3,0,0,0,5,Orthodox,167.64,162.56,145,2,0,0,4.1,0.4,0,0.7,0.23,5,3,23,0,0,1,4,1,0,0,6,Orthodox,162.56,172.72,145,31,30,-2,2,-2,-1,-2,-3,0,-1,0,5.08,-10.16,-1,0.41,0,2.64,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Molly McCann,Taila Santos,,,,,7/15/2020,"Abu Dhabi, Abu Dhabi, United Arab Emirates",United Arab Emirates,,FALSE,Women's Flyweight,FEMALE,3,1,0,0,4.23,0.49,1,1,1,0,1,3,0,0,0,0,0,0,0,0,Orthodox,165.1,172.72,125,0,3,0,6.49,0.49,0.9,2.59,0.33,3,1,11,0,0,0,3,0,0,0,3,Orthodox,162.56,157.48,125,30,27,1,-3,-3,-3,0,-8,0,0,0,2.54,15.24,-3,-2.26,0.1,-1.59,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Abdul Razak Alhassan,Mounir Lazzez,,,,,7/15/2020,"Abu Dhabi, Abu Dhabi, United Arab Emirates",United Arab Emirates,,FALSE,Welterweight,MALE,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Orthodox,185.42,185.42,170,0,3,0,4.59,0.46,0,0.57,0.33,3,1,7,0,0,0,0,4,0,0,4,Orthodox,177.8,185.42,170,34,32,0,-3,-3,-4,-1,-7,0,-4,0,7.62,-185.42,-2,-4.59,0,-0.57,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
John Phillips,Khamzat Chimaev,,,,,7/15/2020,"Abu Dhabi, Abu Dhabi, United Arab Emirates",United Arab Emirates,,FALSE,Middleweight,MALE,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Orthodox,187.96,187.96,185,0,1,0,2.64,0.34,0,0,0,1,3,8,0,0,0,0,1,0,0,1,Southpaw,180.34,190.5,185,35,26,0,-1,-1,-1,-3,-8,0,-1,0,7.62,-190.5,-9,-2.64,0,0,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ricardo Ramos,Lerone Murphy,,,,,7/15/2020,"Abu Dhabi, Abu Dhabi, United Arab Emirates",United Arab Emirates,,FALSE,Featherweight,MALE,3,0,0,1,1.87,0.35,2,0,0,0,0,3,0,0,0,0,0,0,0,0,Orthodox,175.26,185.42,145,0,2,0,3.05,0.39,0.7,2.13,0.64,3,1,14,0,0,1,2,1,1,0,5,Orthodox,175.26,182.88,145,24,28,0,-2,-3,-5,-1,-11,0,-1,-1,0,2.54,4,-1.18,1.3,-2.13,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Modestas Bukauskas,Andreas Michailidis,,,,,7/15/2020,"Abu Dhabi, Abu Dhabi, United Arab Emirates",United Arab Emirates,,FALSE,Light Heavyweight,MALE,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Orthodox,182.88,182.88,185,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Switch,190.5,190.5,205,26,31,0,0,0,0,0,0,0,0,0,-7.62,-190.5,5,0,0,0,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jared Gordon,Chris Fishgold,,,,,7/15/2020,"Abu Dhabi, Abu Dhabi, United Arab Emirates",United Arab Emirates,,FALSE,Featherweight,MALE,3,1,0,0,2.53,0.31,1.5,4.55,0.5,1,2,5,0,0,0,0,0,1,0,1,Orthodox,172.72,172.72,145,1,0,0,6.26,0.54,0,2.98,0.39,2,3,13,0,0,0,2,1,0,0,3,Orthodox,175.26,172.72,145,31,28,0,0,-1,-2,-1,-8,0,-1,1,-2.54,0,-3,-3.73,1.5,1.57,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Diana Belbita,Liana Jojua,,,,,7/15/2020,"Abu Dhabi, Abu Dhabi, United Arab Emirates",United Arab Emirates,,FALSE,Women's Flyweight,FEMALE,3,1,0,0,1.53,0.42,0,2.41,0.66,0,1,3,0,0,0,0,0,0,0,0,Orthodox,162.56,157.48,125,1,0,0,6.53,0.38,0,1,1,0,1,3,0,0,0,0,0,0,0,0,Orthodox,170.18,172.72,125,24,25,0,0,0,0,0,0,0,0,0,-7.62,-15.24,1,-5,0,1.41,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
