David Dvorak,Juancamilo Ronderos,,,,,2021-05-22,"Las Vegas, Nevada, USA",USA,Red,False,Flyweight,MALE,3,0,0,0,4.78,0.34,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,,162.56,162.56,125,0,2,0,4.46,0.46,0.5,0.0,0.0,2,0,6,0,0,0,2,0,0,0,2,Orthodox,165.1,172.72,125,28,26,0,-2,-2,-2,0,-6,0,0,0,-2.539999999999992,-10.159999999999997,-2,0.3200000000000003,-0.5,0.0,1,1,,11.0,,,,,,,,,,,,11.0,,,,,,,,,,,,,,,Red,SUB,Rear Naked Choke,1,2:18,138,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rafael Alves,Damir Ismagulov,,,,,2021-05-22,"Las Vegas, Nevada, USA",USA,Blue,False,Lightweight,MALE,3,0,3,0,3.75,0.43,0.0,1.75,0.36,3,0,9,0,0,0,3,0,0,0,3,Orthodox,177.8,187.96,155,0,1,0,2.01,0.46,1.3,0.0,0.0,1,0,2,0,0,0,0,0,1,0,1,Orthodox,172.72,172.72,155,30,30,0,2,2,2,0,7,0,0,-1,5.0800000000000125,15.240000000000007,0,1.7400000000000002,-1.3,1.75,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,neither,U-DEC,,3,5:00,900,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Charles Oliveira,Michael Chandler,,,,,2021-05-15,"Houston, Texas, USA",USA,Red,True,Lightweight,MALE,5,0,3,0,4.49,0.5,1.6,2.03,0.41,3,0,4,0,0,0,0,2,1,0,3,Orthodox,172.72,180.34,155,0,8,0,3.26,0.52,2.7,2.64,0.44,8,8,51,0,0,0,2,2,14,0,18,Orthodox,177.8,187.96,155,31,35,0,-5,-5,-15,-8,-47,0,0,-13,-5.0800000000000125,-7.620000000000003,4,1.2300000000000004,-1.1,-0.6100000000000003,1,1,4.0,3.0,,,,,,,,,3.0,,,,,,,,,,,,,4.0,,,,,Red,KO/TKO,Punch,2,0:19,319,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tony Ferguson,Beneil Dariush,,,,,2021-05-15,"Houston, Texas, USA",USA,Blue,False,Lightweight,MALE,3,0,6,1,3.8,0.49,1.0,2.11,0.34,6,4,39,0,0,2,4,3,5,0,14,Southpaw,177.8,182.88,155,2,0,0,5.15,0.45,1.1,0.42,0.42,12,3,43,2,0,1,3,5,6,0,15,Orthodox,180.34,193.04,155,37,32,-2,6,-6,-1,1,-4,-2,-2,-1,-2.539999999999992,-10.159999999999997,-5,-1.3500000000000003,-0.1,1.69,1,1,9.0,5.0,,,,,,,,,5.0,,,,,,,,,,,,,9.0,,,,,Red,U-DEC,,3,5:00,900,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Matt Schnell,Rogerio Bontorin,,,,,2021-05-15,"Houston, Texas, USA",USA,Blue,False,Bantamweight,MALE,3,2,0,0,2.82,0.53,1.2,1.68,0.43,3,2,10,0,0,1,0,1,1,0,3,Orthodox,165.1,170.18,125,0,1,0,4.23,0.38,1.0,0.39,0.33,4,3,14,0,0,2,1,0,2,0,5,Orthodox,172.72,177.8,125,31,29,2,-1,-1,-2,-1,-4,0,1,-1,-7.620000000000003,-7.620000000000003,-2,-1.4100000000000006,0.1999999999999999,1.29,1,1,,,,,,,,,,,,,,8.0,,,,,,,,,,,,,9.0,,neither,U-DEC,,3,5:00,900,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Katlyn Chookagian,Viviane Araujo,,,,,2021-05-15,"Houston, Texas, USA",USA,Red,False,Women's Flyweight,FEMALE,3,0,2,0,5.14,0.47,0.3,2.1,0.6,2,1,15,0,0,0,3,1,0,0,4,Orthodox,162.56,172.72,125,0,1,0,4.57,0.35,0.4,0.25,0.15,3,4,34,1,0,1,7,0,0,0,8,Orthodox,175.26,172.72,125,32,34,0,1,-1,-4,-3,-19,-1,1,0,-12.699999999999989,0.0,2,0.5699999999999994,-0.1,1.85,1,1,7.0,2.0,2.0,,,,,,,,,,,,10.0,7.0,,,,,,,,,,,,,Red,U-DEC,,3,5:00,900,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Shane Burgos,Edson Barboza,,,,,2021-05-15,"Houston, Texas, USA",USA,Blue,False,Featherweight,MALE,3,0,1,0,4.16,0.44,0.1,0.42,0.44,4,9,61,0,1,1,6,7,0,0,15,Orthodox,180.34,190.5,145,1,0,0,7.29,0.49,0.1,0.27,1.0,3,2,22,0,0,1,2,2,1,0,6,Orthodox,180.34,190.5,145,30,35,-1,1,1,9,7,39,0,5,-1,0.0,0.0,5,-3.13,0.0,0.1499999999999999,1,1,12.0,9.0,,,,,,,,,,9.0,,,,,,,,,,,,,12.0,,,,Red,KO/TKO,Punch,3,1:16,676,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jacare Souza,Andre Muniz,,,,,2021-05-15,"Houston, Texas, USA",USA,Blue,False,Middleweight,MALE,3,0,4,0,2.16,0.58,2.3,3.12,0.4,4,0,8,0,0,0,2,0,2,0,4,Southpaw,185.42,198.12,185,3,0,0,2.53,0.47,1.3,2.57,0.39,8,8,62,0,0,0,4,5,10,0,19,Orthodox,185.42,182.88,185,41,31,-3,4,-4,-15,-8,-54,0,-5,-8,0.0,15.240000000000007,-10,-0.3699999999999996,0.9999999999999998,0.5500000000000003,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,neither,SUB,Armbar,1,3:59,239,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lando Vannata,Mike Grundy,,,,,2021-05-15,"Houston, Texas, USA",USA,Red,False,Featherweight,MALE,3,1,0,0,2.14,0.45,0.4,3.78,0.26,1,1,5,0,0,0,0,1,0,0,1,Orthodox,170.18,182.88,145,1,0,2,4.67,0.44,0.3,1.12,0.4,1,5,25,0,0,0,1,1,1,0,3,Orthodox,175.26,180.34,155,29,34,0,0,0,-2,-4,-20,0,0,-1,-5.079999999999984,2.539999999999992,5,-2.53,0.1,2.66,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,neither,S-DEC,,3,5:00,900,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jordan Wright,Jamie Pickett,,,,,2021-05-15,"Houston, Texas, USA",USA,Red,False,Middleweight,MALE,3,1,0,0,2.87,0.55,0.4,1.44,0.4,1,3,9,0,0,0,0,1,0,0,1,Orthodox,187.96,203.2,185,1,0,0,7.13,0.6,0.0,0.0,0.0,1,1,4,0,0,0,0,1,0,0,1,Orthodox,187.96,195.58,205,29,32,0,0,0,0,2,5,0,0,0,0.0,7.619999999999976,3,-4.26,0.4,1.44,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,neither,KO/TKO,Knee,1,1:04,64,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
