R_fighter,B_fighter,date,R_kd_bout,B_kd_bout,R_sig_str_landed_bout,B_sig_str_landed_bout,R_sig_str_attempted_bout,B_sig_str_attempted_bout,R_sig_str_pct_bout,B_sig_str_pct_bout,R_tot_str_landed_bout,B_tot_str_landed_bout,R_tot_str_attempted_bout,B_tot_str_attempted_bout,R_td_landed_bout,B_td_landed_bout,R_td_attempted_bout,B_td_attempted_bout,R_td_pct_bout,B_td_pct_bout,R_sub_attempts_bout,B_sub_attempts_bout,R_pass_bout,B_pass_bout,R_rev_bout,B_rev_bout
Ross Pearson,Cub Swanson,6/22/2012,0,1,38,45,107,104,.35,.43,49,51,124,115,3,0,6,1,.50,.0,0,0,0,0,0,0
Hector Lombard,Rousimar Palhares,12/14/2012,2,0,24,6,46,13,.52,.46,26,6,48,13,0,0,0,0,.0,.0,0,0,0,0,0,0
Cain Velasquez,Jake O'Brien,7/19/2008,0,0,24,1,26,1,.92,1,79,1,83,1,1,0,1,0,1,.0,0,0,1,0,0,0
Nate Marquardt,Crafton Wallace,10/10/2006,0,0,13,4,27,18,.48,.22,31,27,47,41,2,0,3,0,.66,.0,2,0,4,0,1,0
Felice Herrig,Lisa Ellis,12/12/2014,0,0,8,4,14,5,.57,.80,48,7,64,10,1,2,1,3,1,.66,3,1,8,0,2,1
Joe Soto,Brett Johns,12/ 1/2017,0,0,0,1,0,9,.0,.11,0,1,0,9,0,0,1,0,.0,.0,0,1,0,0,0,0
Angela Magana,Michelle Waterson,7/12/2015,0,0,8,47,24,60,.33,.78,19,102,36,120,1,3,1,3,1,1,1,4,0,9,0,0
Darren Stewart,Edmen Shahbazyan,11/30/2018,0,0,34,22,71,37,.47,.59,46,27,84,43,1,8,3,21,.33,.38,0,0,0,3,0,0
Matt Mitrione,Marcus Jones,12/ 5/2009,1,0,14,10,34,19,.41,.52,17,10,37,19,0,3,0,4,.0,.75,0,1,0,2,0,0
Justin Lawrence,John Cofer,6/ 1/2012,1,0,54,36,155,101,.34,.35,59,39,163,107,1,2,3,4,.33,.50,0,0,0,1,0,0
Brad Tavares,Elias Theodorou,7/ 7/2017,0,0,31,34,71,82,.43,.41,34,64,74,113,1,3,3,7,.33,.42,0,0,2,0,1,0
Louis Gaudinot,Johnny Bedford,12/ 3/2011,0,1,6,82,29,140,.20,.58,18,155,41,229,0,4,2,6,.0,.66,0,0,0,10,0,0
