R_fighter,B_fighter,date,R_kd_bout,B_kd_bout,R_sig_str_landed_bout,B_sig_str_landed_bout,R_sig_str_attempted_bout,B_sig_str_attempted_bout,R_sig_str_pct_bout,B_sig_str_pct_bout,R_tot_str_landed_bout,B_tot_str_landed_bout,R_tot_str_attempted_bout,B_tot_str_attempted_bout,R_td_landed_bout,B_td_landed_bout,R_td_attempted_bout,B_td_attempted_bout,R_td_pct_bout,B_td_pct_bout,R_sub_attempts_bout,B_sub_attempts_bout,R_pass_bout,B_pass_bout,R_rev_bout,B_rev_bout
Tito Ortiz,Ken Shamrock,10/10/2006,0,0,18,0,29,0,.62,.0,38,7,52,7,1,0,1,0,1,.0,0,0,0,0,0,0
Carla Esparza,Rose Namajunas,12/12/2014,0,0,42,28,90,72,.46,.38,107,29,180,73,5,1,7,3,.71,.33,1,0,6,0,0,0
Nicco Montano,Roxanne Modafferi,12/ 1/2017,0,0,186,132,456,403,.40,.32,242,154,524,433,3,2,6,9,.50,.22,1,1,5,1,1,0
Jake Ellenberger,Stephen Thompson,7/12/2015,1,2,5,20,14,35,.35,.57,14,29,23,47,0,1,1,3,.0,.33,0,0,0,1,0,0
Rafael Dos Anjos,Kamaru Usman,11/30/2018,0,0,62,130,112,223,.55,.58,84,227,138,334,0,12,1,18,.0,.66,2,0,0,7,1,0
Roy Nelson,Brendan Schaub,12/ 5/2009,1,0,8,12,35,48,.22,.25,9,14,36,50,1,0,2,0,.50,.0,0,0,2,0,0,0
Jake Ellenberger,Martin Kampmann,6/ 1/2012,1,1,19,13,50,31,.38,.41,27,16,64,34,0,0,0,1,.0,.0,0,0,0,0,0,0
Michael Johnson,Justin Gaethje,7/ 7/2017,0,0,91,104,200,174,.45,.59,91,104,200,174,1,0,3,0,.33,.0,0,0,0,0,0,0
Michael Bisping,Jason Miller,12/ 3/2011,0,0,102,27,192,119,.53,.22,150,38,244,131,0,1,0,11,.0,.9,0,0,0,0,0,0
Roy Nelson,Matt Mitrione,12/15/2012,1,0,23,13,53,28,.43,.46,23,13,53,28,0,0,1,0,.0,.0,0,0,0,0,0,0
Rich Franklin,Ken Shamrock,4/ 9/2005,0,0,23,0,36,4,.63,.0,25,0,38,4,0,1,0,1,.0,1,0,2,0,0,0,0
Frankie Edgar,BJ Penn,7/ 6/2014,0,0,90,13,162,66,.55,.19,159,60,236,116,3,0,3,0,1,.0,0,0,3,0,0,0
Jonathan Brookins,Michael Johnson,12/ 4/2010,0,1,32,30,67,62,.47,.48,57,38,95,70,3,0,13,1,.23,.0,0,0,4,0,0,1
Diego Sanchez,Nick Diaz,11/ 5/2005,0,0,41,13,95,34,.43,.38,65,118,123,144,5,2,11,5,.45,.40,1,1,3,0,0,1
Roger Huerta,Clay Guida,12/ 8/2007,0,1,31,47,102,85,.30,.55,53,100,140,150,0,6,0,11,.0,.54,3,1,1,7,2,0
Joanna Jedrzejczyk,Claudia Gadelha,7/ 8/2016,0,1,176,63,330,150,.53,.42,194,101,351,191,1,4,2,13,.50,.30,0,0,0,5,0,0
Urijah Faber,Scott Jorgensen,4/13/2013,0,0,93,73,163,168,.57,.43,119,76,200,173,4,1,6,6,.66,.16,3,0,4,0,0,0
Ramsey Nijem,Tony Ferguson,6/ 4/2011,0,1,12,21,57,38,.21,.55,13,29,58,46,0,2,0,3,.0,.66,0,0,0,1,0,0
Court McGee,Kris McCray,6/19/2010,0,0,22,19,59,66,.37,.28,47,49,84,96,5,0,7,0,.71,.0,1,0,5,0,0,0
Frankie Edgar,Chad Mendes,12/11/2015,1,0,13,5,32,17,.40,.29,13,5,32,17,0,0,1,0,.0,.0,0,0,0,0,0,0
Efrain Escudero,Phillipe Nover,12/13/2008,0,0,27,20,45,55,.60,.36,81,95,104,132,7,0,8,1,.87,.0,0,2,5,1,0,1
Kenny Florian,Sam Stout,6/24/2006,0,0,5,0,8,4,.62,.0,19,0,22,4,1,0,2,0,.50,.0,1,0,3,0,0,0
BJ Penn,Jens Pulver,6/23/2007,0,0,23,6,31,18,.74,.33,60,18,70,30,3,0,3,0,1,.0,3,0,7,0,0,0
Kendall Grove,Evan Tanner,6/21/2008,0,0,59,27,96,47,.61,.57,90,35,127,57,0,3,0,8,.0,.37,1,0,1,1,0,0
Gray Maynard,Nate Diaz,11/30/2013,0,0,5,33,15,55,.33,.60,6,34,16,56,1,0,2,1,.50,.0,0,0,0,0,0,0
Matt Serra,Chris Lytle,11/11/2006,0,0,20,42,39,58,.51,.72,91,195,114,214,1,1,16,2,.6,.50,0,0,1,0,0,0
Demetrious Johnson,Tim Elliott,12/ 3/2016,0,0,28,24,58,61,.48,.39,86,110,116,157,5,4,7,4,.71,1,3,2,11,3,1,0
Brad Tavares,Israel Adesanya,7/ 6/2018,0,0,40,119,174,215,.22,.55,46,127,181,223,1,0,12,2,.8,.0,0,1,1,2,0,0
Diego Sanchez,Clay Guida,6/20/2009,1,0,68,29,144,96,.47,.30,80,57,156,130,1,2,2,7,.50,.28,3,0,1,0,0,0
Frank Shamrock,John Lober,10/16/1998,2,0,23,4,33,11,.69,.36,55,11,67,18,0,3,0,4,.0,.75,4,1,1,3,2,0
Randy Couture,Maurice Smith,12/21/1997,0,0,19,9,31,17,.61,.52,54,18,66,26,3,0,3,0,1,.0,1,0,7,0,0,0
Dan Severn,Oleg Taktarov,12/16/1995,0,0,24,8,79,29,.30,.27,198,26,277,47,0,0,0,1,.0,.0,0,1,5,0,0,0
Don Frye,David Abbott,12/ 7/1996,0,0,6,13,18,28,.33,.46,6,16,18,32,0,0,0,0,.0,.0,2,0,1,0,0,0
Royce Gracie,Gerard Gordeau,11/12/1993,0,0,1,0,2,0,.50,.0,3,0,4,0,1,0,3,0,.33,.0,1,0,2,0,0,0
Mark Coleman,Don Frye,7/12/1996,0,0,34,1,60,6,.56,.16,71,17,105,22,3,0,5,2,.60,.0,2,0,6,0,0,1
Jon Fitch,Paulo Thiago,7/11/2009,0,0,15,5,34,11,.44,.45,127,13,151,21,4,0,4,2,1,.0,1,5,4,0,0,0
BJ Penn,Kenny Florian,8/ 8/2009,0,0,57,19,94,58,.60,.32,151,90,189,131,1,0,3,15,.33,.0,1,0,4,0,0,0
Antonio Rodrigo Nogueira,Randy Couture,8/29/2009,2,0,27,42,96,103,.28,.40,133,65,215,126,0,0,0,1,.0,.0,3,0,4,0,2,1
Vitor Belfort,Rich Franklin,9/19/2009,0,0,9,4,22,19,.40,.21,9,4,22,19,0,0,0,1,.0,.0,0,0,0,0,0,0
Lyoto Machida,Mauricio Rua,10/24/2009,0,0,35,80,108,146,.32,.54,39,82,113,148,0,0,0,4,.0,.0,0,0,0,0,0,0
Randy Couture,Brandon Vera,11/14/2009,0,1,39,27,73,51,.53,.52,59,44,97,69,1,1,10,2,.10,.50,0,0,0,1,0,0
Forrest Griffin,Tito Ortiz,11/21/2009,0,0,70,24,206,75,.33,.32,91,56,231,109,0,3,1,9,.0,.33,0,0,1,1,1,0
BJ Penn,Diego Sanchez,12/12/2009,0,0,70,8,131,108,.53,.7,149,8,213,108,0,0,0,27,.0,.0,0,0,0,0,0,0
Rashad Evans,Thiago Silva,1/ 2/2010,0,0,12,31,66,84,.18,.36,21,67,78,122,8,0,16,0,.50,.0,0,0,4,0,0,0
Randy Couture,Mark Coleman,2/ 6/2010,0,0,44,10,67,21,.65,.47,68,16,93,27,1,0,1,0,1,.0,1,0,2,0,0,0
Scott Ferrozzo,David Abbott,9/20/1996,0,0,60,21,94,50,.63,.42,180,27,216,56,0,0,1,1,.0,.0,0,0,0,0,0,0
Cain Velasquez,Antonio Rodrigo Nogueira,2/20/2010,1,0,23,3,45,22,.51,.13,23,3,45,22,0,0,0,0,.0,.0,0,0,0,0,0,0
Georges St-Pierre,Dan Hardy,3/27/2010,0,0,59,4,79,27,.74,.14,174,42,201,72,11,0,11,0,1,.0,6,0,26,0,1,0
Anderson Silva,Demian Maia,4/10/2010,1,0,61,10,111,52,.54,.19,62,11,112,53,0,0,0,13,.0,.0,0,0,0,0,0,0
Lyoto Machida,Mauricio Rua,5/ 8/2010,0,1,9,17,11,28,.81,.60,10,24,12,35,2,0,2,1,1,.0,0,0,2,1,0,0
Quinton Jackson,Rashad Evans,5/29/2010,1,0,17,29,47,52,.36,.55,27,61,58,91,0,3,1,12,.0,.25,0,0,1,2,0,0
Chuck Liddell,Rich Franklin,6/12/2010,0,1,17,24,41,52,.41,.46,19,27,44,55,1,0,1,0,1,.0,0,0,0,0,0,0
Brock Lesnar,Shane Carwin,7/ 3/2010,0,1,8,40,15,85,.53,.47,28,61,37,112,1,0,4,0,.25,.0,1,0,2,2,0,0
Anderson Silva,Chael Sonnen,8/ 7/2010,0,0,29,89,57,168,.50,.52,64,320,95,434,1,3,1,7,1,.42,3,1,1,6,0,1
Frankie Edgar,BJ Penn,8/28/2010,0,0,94,36,234,146,.40,.24,142,56,285,167,3,2,9,3,.33,.66,0,0,1,0,1,0
Frank Mir,Mirko Filipovic,9/25/2010,1,0,25,19,79,69,.31,.27,45,33,100,89,0,0,2,0,.0,.0,0,0,0,0,0,0
Mark Coleman,Dan Severn,2/ 7/1997,0,0,4,2,12,4,.33,.50,12,16,21,18,0,0,0,3,.0,.0,2,0,1,0,0,0
Michael Bisping,Yoshihiro Akiyama,10/16/2010,0,0,118,50,267,177,.44,.28,119,50,268,177,0,0,5,1,.0,.0,0,0,0,0,0,0
Brock Lesnar,Cain Velasquez,10/23/2010,0,2,9,31,19,67,.47,.46,13,62,23,107,1,1,3,2,.33,.50,0,0,0,1,0,0
Nate Marquardt,Yushin Okami,11/13/2010,0,0,21,25,61,83,.34,.30,27,40,68,98,3,1,4,9,.75,.11,2,0,1,3,0,0
Quinton Jackson,Lyoto Machida,11/20/2010,0,0,16,33,49,51,.32,.64,70,53,104,71,1,1,1,3,1,.33,0,1,0,3,0,0
Georges St-Pierre,Josh Koscheck,12/11/2010,0,0,110,16,259,134,.42,.11,136,30,292,148,4,1,9,4,.44,.25,0,0,0,0,0,0
Chris Leben,Brian Stann,1/ 1/2011,0,3,7,30,25,50,.28,.60,16,48,34,69,0,0,2,0,.0,.0,0,1,0,0,0,0
Anderson Silva,Vitor Belfort,2/ 5/2011,1,0,6,6,10,15,.60,.40,6,6,10,15,0,0,0,0,.0,.0,0,0,0,0,0,0
Michael Bisping,Jorge Rivera,2/26/2011,1,0,50,8,123,53,.40,.15,57,9,132,54,3,0,8,0,.37,.0,0,0,0,0,0,0
Mauricio Rua,Jon Jones,3/19/2011,0,1,9,75,40,113,.22,.66,11,102,42,142,0,3,0,3,.0,1,0,0,0,4,0,0
Georges St-Pierre,Jake Shields,4/30/2011,0,0,85,78,245,401,.34,.19,92,96,252,423,2,0,3,6,.66,.0,0,0,0,0,0,0
Vitor Belfort,David Abbott,5/30/1997,0,0,15,2,24,5,.62,.40,16,2,25,5,1,0,1,1,1,.0,0,0,0,0,0,0
Quinton Jackson,Matt Hamill,5/28/2011,0,0,55,32,128,85,.42,.37,61,34,135,87,0,0,0,17,.0,.0,0,0,0,0,0,0
Shane Carwin,Junior Dos Santos,6/11/2011,0,1,20,88,86,188,.23,.46,22,104,88,212,1,2,3,2,.33,1,0,0,0,1,0,0
Dominick Cruz,Urijah Faber,7/ 2/2011,0,0,90,50,238,170,.37,.29,97,58,246,181,4,1,13,5,.30,.20,0,0,0,0,1,0
Rashad Evans,Tito Ortiz,8/ 6/2011,0,0,48,5,97,27,.49,.18,77,6,135,28,1,1,1,1,1,1,0,1,4,0,0,0
Anderson Silva,Yushin Okami,8/27/2011,2,0,43,16,61,43,.70,.37,52,27,71,54,0,0,0,1,.0,.0,0,0,0,0,0,0
Jon Jones,Quinton Jackson,9/24/2011,0,0,61,16,117,44,.52,.36,74,24,131,52,2,0,6,1,.33,.0,2,0,3,0,0,0
Frankie Edgar,Gray Maynard,10/ 8/2011,1,1,61,42,176,170,.34,.24,64,52,179,180,0,0,11,2,.0,.0,0,0,0,0,0,0
BJ Penn,Nick Diaz,10/29/2011,0,0,88,178,164,350,.53,.50,107,257,184,436,1,0,4,0,.25,.0,0,0,1,0,0,0
Chris Leben,Mark Munoz,11/ 5/2011,0,0,12,39,35,74,.34,.52,61,55,88,92,2,5,2,9,1,.55,2,0,0,3,0,0
Mauricio Rua,Dan Henderson,11/19/2011,0,1,96,77,194,141,.49,.54,191,113,293,179,5,1,10,4,.50,.25,1,1,8,2,0,2
Maurice Smith,Mark Coleman,7/27/1997,0,0,55,19,65,43,.84,.44,129,47,139,80,0,2,0,7,.0,.28,0,2,0,9,1,0
Jon Jones,Lyoto Machida,12/10/2011,1,0,24,13,53,38,.45,.34,26,13,55,38,1,0,2,1,.50,.0,1,0,0,0,0,0
Brock Lesnar,Alistair Overeem,12/30/2011,0,1,6,19,18,24,.33,.79,8,20,20,25,0,0,1,0,.0,.0,0,0,0,0,0,0
Jose Aldo,Chad Mendes,1/14/2012,1,0,11,13,23,23,.47,.56,15,18,27,28,0,0,0,7,.0,.0,0,0,0,0,0,0
Nick Diaz,Carlos Condit,2/ 4/2012,0,0,105,151,246,320,.42,.47,117,159,258,329,1,0,3,0,.33,.0,0,0,1,0,0,0
Frankie Edgar,Benson Henderson,2/25/2012,0,0,68,87,190,264,.35,.32,81,100,204,277,5,1,12,1,.41,1,0,3,0,0,0,0
Jon Jones,Rashad Evans,4/21/2012,0,0,105,45,214,151,.49,.29,116,49,228,155,1,0,2,4,.50,.0,0,0,0,0,0,0
Junior Dos Santos,Frank Mir,5/26/2012,1,0,59,17,89,37,.66,.45,63,17,97,37,0,0,0,4,.0,.0,0,0,0,0,0,0
Wanderlei Silva,Rich Franklin,6/23/2012,1,0,58,122,187,336,.31,.36,80,126,213,342,0,1,0,2,.0,.50,0,0,0,1,0,0
Anderson Silva,Chael Sonnen,7/ 7/2012,1,0,15,22,30,36,.50,.61,16,87,31,105,0,1,0,4,.0,.25,0,0,0,2,0,0
Urijah Faber,Renan Barao,7/21/2012,0,0,60,85,178,290,.33,.29,62,85,180,290,0,0,6,0,.0,.0,0,0,0,0,0,0
Maurice Smith,David Abbott,10/17/1997,0,1,12,5,13,22,.92,.22,38,17,39,39,0,0,0,0,.0,.0,1,0,0,3,0,0
Benson Henderson,Frankie Edgar,8/11/2012,0,1,64,66,167,182,.38,.36,67,70,170,186,0,2,1,6,.0,.33,1,2,0,0,0,0
Jon Jones,Vitor Belfort,9/22/2012,1,0,65,16,110,36,.59,.44,96,22,144,43,1,0,1,0,1,.0,1,1,3,0,0,0
Anderson Silva,Stephan Bonnar,10/13/2012,1,0,19,12,27,43,.70,.27,27,28,35,59,0,0,0,3,.0,.0,0,0,0,0,0,0
Georges St-Pierre,Carlos Condit,11/17/2012,0,1,71,36,132,148,.53,.24,172,190,237,323,7,0,8,0,.87,.0,0,0,8,0,0,1
Junior Dos Santos,Cain Velasquez,12/29/2012,0,1,57,111,137,224,.41,.49,66,210,146,339,0,11,1,33,.0,.33,0,0,0,3,0,0
Jose Aldo,Frankie Edgar,2/ 2/2013,0,0,76,60,253,272,.30,.22,76,63,253,275,0,2,0,11,.0,.18,0,0,0,0,0,0
Ronda Rousey,Liz Carmouche,2/23/2013,0,0,7,4,14,6,.50,.66,41,22,50,24,1,0,1,0,1,.0,1,1,3,1,0,0
Georges St-Pierre,Nick Diaz,3/16/2013,0,0,105,41,167,136,.62,.30,210,80,285,176,9,0,16,0,.56,.0,0,1,2,0,0,0
Jon Jones,Chael Sonnen,4/27/2013,0,0,20,6,27,15,.74,.40,35,38,43,51,3,0,6,0,.50,.0,0,0,0,0,0,0
Frank Shamrock,Igor Zinoviev,3/13/1998,0,0,2,0,4,2,.50,.0,2,0,4,2,1,0,1,0,1,.0,0,0,0,0,0,0
Cain Velasquez,Antonio Silva,5/25/2013,1,0,18,1,28,3,.64,.33,18,2,28,4,0,0,2,0,.0,.0,0,0,0,0,0,0
Rashad Evans,Dan Henderson,6/15/2013,0,0,39,40,87,91,.44,.43,66,53,116,104,0,0,8,0,.0,.0,0,0,0,0,0,0
Anderson Silva,Chris Weidman,7/ 6/2013,0,1,14,16,24,43,.58,.37,20,26,32,55,0,1,0,3,.0,.33,0,2,0,1,0,0
Jose Aldo,Chan Sung Jung,8/ 3/2013,0,0,32,17,87,117,.36,.14,43,42,99,145,5,0,6,0,.83,.0,0,0,2,0,0,0
Benson Henderson,Anthony Pettis,8/31/2013,0,0,11,9,16,16,.68,.56,26,10,37,17,0,0,3,0,.0,.0,0,1,0,0,0,0
Jon Jones,Alexander Gustafsson,9/21/2013,0,0,134,110,217,288,.61,.38,137,114,220,294,1,1,11,8,.9,.12,0,0,0,0,0,0
Cain Velasquez,Junior Dos Santos,10/19/2013,1,0,123,46,201,122,.61,.37,274,62,378,140,2,0,13,1,.15,.0,1,1,1,0,0,0
Georges St-Pierre,Johny Hendricks,11/16/2013,0,0,101,85,221,194,.45,.43,125,142,245,252,3,2,6,4,.50,.50,1,0,0,0,0,0
Chris Weidman,Anderson Silva,12/28/2013,1,0,20,8,44,15,.45,.53,34,32,60,45,1,0,1,0,1,.0,1,0,0,0,0,0
Renan Barao,Urijah Faber,2/ 1/2014,1,0,17,8,46,31,.36,.25,37,9,70,32,0,0,0,2,.0,.0,0,0,0,0,0,0
Frank Shamrock,Jeremy Horn,5/15/1998,0,0,20,14,28,25,.71,.56,121,45,129,58,0,5,0,10,.0,.50,3,0,0,6,2,0
Ronda Rousey,Sara McMann,2/22/2014,1,0,14,13,23,20,.60,.65,21,14,30,21,0,0,0,0,.0,.0,0,0,0,0,0,0
Johny Hendricks,Robbie Lawler,3/15/2014,0,0,158,150,397,331,.39,.45,186,162,426,343,2,0,10,0,.20,.0,0,0,0,0,0,0
Jon Jones,Glover Teixeira,4/26/2014,0,0,138,53,236,192,.58,.27,158,65,256,204,3,0,6,5,.50,.0,2,0,0,0,0,0
Renan Barao,TJ Dillashaw,5/24/2014,0,2,64,140,273,309,.23,.45,68,169,277,344,0,0,0,3,.0,.0,0,2,0,2,0,0
Demetrious Johnson,Ali Bagautinov,6/14/2014,0,0,133,36,215,122,.61,.29,164,66,248,158,0,2,4,12,.0,.16,0,0,0,0,0,0
Chris Weidman,Lyoto Machida,7/ 5/2014,0,0,65,58,177,139,.36,.41,90,63,206,145,5,0,13,0,.38,.0,0,0,2,0,0,0
TJ Dillashaw,Joe Soto,8/30/2014,1,0,151,62,454,197,.33,.31,156,63,461,198,2,0,3,5,.66,.0,0,0,1,0,0,0
Demetrious Johnson,Chris Cariaso,9/27/2014,0,0,27,6,43,27,.62,.22,47,13,66,35,1,0,1,1,1,.0,2,0,4,0,0,0
Jose Aldo,Chad Mendes,10/25/2014,1,0,102,77,269,194,.37,.39,122,85,289,203,0,1,0,8,.0,.12,0,0,2,0,0,0
Bas Rutten,Tsuyoshi Kohsaka,1/ 8/1999,1,0,31,23,61,47,.50,.48,70,120,100,154,0,3,0,9,.0,.33,0,0,0,2,0,0
Fabricio Werdum,Mark Hunt,11/15/2014,1,1,21,10,37,36,.56,.27,31,15,48,43,0,1,3,1,.0,1,0,0,0,1,0,0
Johny Hendricks,Robbie Lawler,12/ 6/2014,0,0,111,116,228,201,.48,.57,145,167,264,253,5,0,17,0,.29,.0,1,0,1,0,0,0
Jon Jones,Daniel Cormier,1/ 3/2015,0,0,92,58,178,165,.51,.35,126,78,215,191,3,1,5,8,.60,.12,0,0,0,0,0,0
Tyron Woodley,Kelvin Gastelum,1/31/2015,0,0,27,32,104,143,.25,.22,34,40,112,151,0,0,0,0,.0,.0,0,0,0,0,0,0
Ronda Rousey,Cat Zingano,2/28/2015,0,0,0,0,0,1,.0,.0,0,0,0,1,0,0,0,0,.0,.0,1,0,0,0,1,0
Anthony Pettis,Rafael Dos Anjos,3/14/2015,0,0,54,90,162,171,.33,.52,96,144,205,233,0,9,1,10,.0,.90,0,0,0,5,0,0
Demetrious Johnson,Kyoji Horiguchi,4/25/2015,0,0,66,31,121,91,.54,.34,149,61,208,127,14,1,22,5,.63,.20,1,0,6,0,0,0
Anthony Johnson,Daniel Cormier,5/23/2015,1,0,23,23,50,41,.46,.56,28,70,56,92,1,3,2,8,.50,.37,0,3,0,4,0,0
Cain Velasquez,Fabricio Werdum,6/13/2015,0,0,88,96,169,174,.52,.55,117,101,201,180,4,1,5,3,.80,.33,0,1,1,0,0,0
Chad Mendes,Conor McGregor,7/11/2015,0,1,31,46,48,92,.64,.50,36,74,53,120,4,0,7,0,.57,.0,0,0,2,0,0,0
Tito Ortiz,Guy Mezger,3/ 5/1999,0,0,26,2,42,4,.61,.50,92,9,111,11,2,0,5,0,.40,.0,0,3,2,0,0,0
Ronda Rousey,Bethe Correia,8/ 1/2015,1,0,19,9,32,14,.59,.64,19,9,32,14,0,0,0,0,.0,.0,0,0,0,0,0,0
Demetrious Johnson,John Dodson,9/ 5/2015,0,0,88,58,171,121,.51,.47,163,108,252,174,4,1,13,3,.30,.33,0,0,0,0,0,0
Daniel Cormier,Alexander Gustafsson,10/ 3/2015,0,1,140,120,283,254,.49,.47,219,130,364,264,1,1,5,7,.20,.14,0,0,2,0,0,0
Ronda Rousey,Holly Holm,11/14/2015,0,1,17,38,65,53,.26,.71,21,38,69,53,0,1,1,1,.0,1,0,0,0,0,0,0
Jose Aldo,Conor McGregor,12/12/2015,0,1,1,5,3,6,.33,.83,1,5,3,6,0,0,0,0,.0,.0,0,0,0,0,0,0
Robbie Lawler,Carlos Condit,1/ 2/2016,1,0,92,176,177,495,.51,.35,93,177,178,497,0,0,0,0,.0,.0,0,0,0,0,0,0
Conor McGregor,Nate Diaz,3/ 5/2016,0,0,61,77,140,152,.43,.50,66,89,145,169,0,1,1,1,.0,1,0,2,0,1,1,0
Jon Jones,Ovince Saint Preux,4/23/2016,0,0,105,57,157,160,.66,.35,111,58,163,161,3,0,5,0,.60,.0,0,0,4,0,0,0
Fabricio Werdum,Stipe Miocic,5/14/2016,0,1,15,20,33,31,.45,.64,15,20,33,31,0,0,1,0,.0,.0,0,0,0,0,0,0
Luke Rockhold,Michael Bisping,6/ 4/2016,0,2,17,21,37,50,.45,.42,17,21,37,50,0,0,0,0,.0,.0,0,0,0,0,0,0
Royce Gracie,Patrick Smith,3/11/1994,0,0,4,1,4,2,1,.50,11,2,11,3,1,0,2,0,.50,.0,0,0,2,0,0,0
Bas Rutten,Kevin Randleman,5/ 7/1999,0,0,18,20,29,61,.62,.32,181,56,195,114,0,6,0,6,.0,1,1,0,0,4,0,0
Miesha Tate,Amanda Nunes,7/ 9/2016,0,0,3,40,15,63,.20,.63,3,40,15,63,0,0,5,0,.0,.0,0,1,0,1,0,0
Robbie Lawler,Tyron Woodley,7/30/2016,0,1,3,8,6,11,.50,.72,4,8,7,11,0,0,0,0,.0,.0,0,0,0,0,0,0
Nate Diaz,Conor McGregor,8/20/2016,0,3,166,164,343,286,.48,.57,252,197,435,322,1,0,7,1,.14,.0,0,0,0,0,0,0
Stipe Miocic,Alistair Overeem,9/10/2016,0,1,34,9,60,17,.56,.52,34,9,60,17,1,0,1,0,1,.0,0,1,0,0,0,0
Michael Bisping,Dan Henderson,10/ 8/2016,0,2,119,81,335,220,.35,.36,130,87,348,227,0,1,0,4,.0,.25,0,0,0,1,0,0
Eddie Alvarez,Conor McGregor,11/12/2016,0,3,9,32,41,84,.21,.38,12,40,46,93,0,0,3,0,.0,.0,0,0,0,0,0,0
Max Holloway,Anthony Pettis,12/10/2016,1,0,94,53,208,158,.45,.33,98,55,212,160,2,0,2,2,1,.0,0,0,1,0,0,0
Amanda Nunes,Ronda Rousey,12/30/2016,0,0,27,7,47,14,.57,.50,27,7,47,14,0,0,0,0,.0,.0,0,0,0,0,0,0
Holly Holm,Germaine de Randamie,2/11/2017,0,0,77,80,182,150,.42,.53,122,144,235,223,0,0,9,1,.0,.0,0,0,0,0,0,0
Tyron Woodley,Stephen Thompson,3/ 4/2017,1,0,54,53,125,146,.43,.36,70,66,141,159,1,0,2,0,.50,.0,0,0,1,0,0,0
Maurice Smith,Marco Ruas,7/16/1999,0,0,4,1,4,1,1,1,12,4,12,6,0,1,0,1,.0,1,0,2,1,1,0,0
Daniel Cormier,Anthony Johnson,4/ 8/2017,0,0,36,22,41,36,.87,.61,85,22,97,36,1,1,2,3,.50,.33,1,0,1,0,0,0
Stipe Miocic,Junior Dos Santos,5/13/2017,1,0,26,12,56,18,.46,.66,26,12,56,18,0,0,0,0,.0,.0,0,0,0,0,0,0
Jose Aldo,Max Holloway,6/ 3/2017,0,1,55,104,113,207,.48,.50,56,128,115,234,0,0,0,0,.0,.0,0,0,0,3,0,0
Yoel Romero,Robert Whittaker,7/ 8/2017,0,0,48,74,107,221,.44,.33,114,94,175,244,4,0,18,0,.22,.0,0,0,0,1,0,0
Tyron Woodley,Demian Maia,7/29/2017,1,0,57,28,153,89,.37,.31,57,29,153,90,0,0,0,21,.0,.0,0,0,0,0,0,0
Amanda Nunes,Valentina Shevchenko,9/ 9/2017,0,0,86,72,176,194,.48,.37,90,85,180,209,2,0,8,1,.25,.0,0,0,2,0,0,0
Tony Ferguson,Kevin Lee,10/ 7/2017,0,0,54,55,103,119,.52,.46,57,71,106,137,0,3,0,6,.0,.50,2,0,0,2,0,0
Michael Bisping,Georges St-Pierre,11/ 4/2017,0,1,27,59,106,119,.25,.49,49,68,128,131,0,3,0,4,.0,.75,0,1,0,2,0,0
Max Holloway,Jose Aldo,12/ 2/2017,0,0,174,87,397,163,.43,.53,181,89,406,165,0,0,0,1,.0,.0,0,0,1,0,0,0
Cristiane Justino,Holly Holm,12/30/2017,0,0,118,44,223,227,.52,.19,131,48,237,232,0,0,0,0,.0,.0,0,0,0,0,0,0
Frank Shamrock,Tito Ortiz,9/24/1999,0,0,31,20,61,74,.50,.27,193,67,227,125,0,8,0,9,.0,.88,1,0,0,2,1,0
Stipe Miocic,Francis Ngannou,1/20/2018,0,0,70,21,95,113,.73,.18,200,33,244,126,6,0,14,1,.42,.0,0,1,4,0,0,0
Yoel Romero,Luke Rockhold,2/10/2018,1,0,45,45,92,119,.48,.37,52,45,99,119,0,0,0,0,.0,.0,0,0,0,0,0,0
Cristiane Justino,Yana Kunitskaya,3/ 3/2018,0,0,33,5,43,11,.76,.45,42,17,54,24,1,1,1,4,1,.25,0,0,0,1,0,0
Khabib Nurmagomedov,Al Iaquinta,4/ 7/2018,0,0,134,41,304,141,.44,.29,172,43,352,143,6,0,15,1,.40,.0,1,0,7,0,0,0
Amanda Nunes,Raquel Pennington,5/12/2018,0,0,124,64,254,169,.48,.37,152,79,288,186,3,1,4,8,.75,.12,0,0,2,1,0,0
Robert Whittaker,Yoel Romero,6/ 9/2018,0,2,128,111,326,240,.39,.46,129,149,328,287,0,3,1,10,.0,.30,0,0,0,0,0,0
Stipe Miocic,Daniel Cormier,7/ 7/2018,0,1,24,25,51,37,.47,.67,29,31,56,43,1,0,1,0,1,.0,0,0,0,0,0,0
TJ Dillashaw,Cody Garbrandt,8/ 4/2018,2,0,45,17,72,43,.62,.39,51,17,78,43,0,0,0,2,.0,.0,0,0,0,0,0,0
Tyron Woodley,Darren Till,9/ 8/2018,1,0,57,0,79,6,.72,.0,74,1,97,7,0,0,4,0,.0,.0,1,0,1,0,0,0
Khabib Nurmagomedov,Conor McGregor,10/ 6/2018,0,0,70,51,119,81,.58,.62,104,96,157,128,3,0,7,0,.42,.0,1,0,5,0,0,0
Kevin Randleman,Pete Williams,11/19/1999,0,1,10,8,43,21,.23,.38,52,55,93,74,6,0,11,0,.54,.0,2,1,0,1,0,0
Daniel Cormier,Derrick Lewis,11/ 3/2018,0,0,19,4,25,13,.76,.30,42,5,54,14,4,0,4,0,1,.0,1,0,4,0,0,0
