R_fighter,B_fighter,R_odds,B_odds,R_ev,B_ev,date,location,country,Winner,title_bout,weight_class,gender,no_of_rounds,B_current_lose_streak,B_current_win_streak,B_draw,B_avg_SIG_STR_landed,B_avg_SIG_STR_pct,B_avg_SUB_ATT,B_avg_TD_landed,B_avg_TD_pct,B_longest_win_streak,B_losses,B_total_rounds_fought,B_total_title_bouts,B_win_by_Decision_Majority,B_win_by_Decision_Split,B_win_by_Decision_Unanimous,B_win_by_KO/TKO,B_win_by_Submission,B_win_by_TKO_Doctor_Stoppage,B_wins,B_Stance,B_Height_cms,B_Reach_cms,B_Weight_lbs,R_current_lose_streak,R_current_win_streak,R_draw,R_avg_SIG_STR_landed,R_avg_SIG_STR_pct,R_avg_SUB_ATT,R_avg_TD_landed,R_avg_TD_pct,R_longest_win_streak,R_losses,R_total_rounds_fought,R_total_title_bouts,R_win_by_Decision_Majority,R_win_by_Decision_Split,R_win_by_Decision_Unanimous,R_win_by_KO/TKO,R_win_by_Submission,R_win_by_TKO_Doctor_Stoppage,R_wins,R_Stance,R_Height_cms,R_Reach_cms,R_Weight_lbs,R_age,B_age,lose_streak_dif,win_streak_dif,longest_win_streak_dif,win_dif,loss_dif,total_round_dif,total_title_bout_dif,ko_dif,sub_dif,height_dif,reach_dif,age_dif,sig_str_dif,avg_sub_att_dif,avg_td_dif,empty_arena,constant_1
Vicente Luque,Niko Price,-275,235,36.36363636,235,5/9/2020,"Jacksonville, Florida, USA",USA,Red,FALSE,Welterweight,MALE,3,0,1,0,3.06,0.34,1.3,1.08,0.23,2,3,15,0,0,0,0,4,2,0,6,Orthodox,182.88,193.04,170,1,0,0,5.18,0.53,1,0.82,0.5,6,3,25,0,0,1,0,6,3,0,10,Orthodox,180.34,190.5,170,30,28,1,1,-4,-4,0,-10,0,-2,-1,2.54,2.54,2,-0.19,0.3,0.26,1,1
Bryce Mitchell,Charles Rosa,-165,145,60.60606061,145,5/9/2020,"Jacksonville, Florida, USA",USA,Red,FALSE,Featherweight,MALE,3,0,1,0,3.79,0.36,1.2,2.82,0.34,1,3,16,0,0,0,1,0,2,0,3,Switch,175.26,175.26,145,0,3,0,1.78,0.5,1.8,1.75,0.28,3,0,7,0,1,0,1,0,1,0,3,Southpaw,177.8,177.8,145,25,33,0,-2,-2,0,-3,9,0,0,1,-2.54,-2.54,-8,-0.14,-0.6,1.07,1,1
Ryan Spann,Sam Alvey,-440,350,22.72727273,350,5/9/2020,"Jacksonville, Florida, USA",USA,Red,FALSE,Light Heavyweight,MALE,3,3,0,0,3.05,0.44,0.1,0.09,0.16,4,8,38,0,0,2,2,5,1,0,10,Southpaw,187.96,190.5,205,0,3,0,3.26,0.43,2.4,0.6,0.33,3,0,6,0,0,0,1,1,1,0,3,Orthodox,195.58,200.66,205,28,34,-3,-3,1,7,-8,32,0,4,0,-7.62,-10.16,-6,0.01,-2.3,-0.51,1,1
Anthony Pettis,Donald Cerrone,-145,125,68.96551724,125,5/9/2020,"Jacksonville, Florida, USA",USA,Red,FALSE,Welterweight,MALE,3,3,0,0,4.33,0.46,1.3,1.21,0.36,8,14,97,0,0,0,9,10,10,0,29,Orthodox,185.42,185.42,155,2,0,0,2.97,0.46,1.2,0.67,0.54,5,10,60,4,0,1,2,4,7,0,14,Orthodox,177.8,182.88,155,33,37,-1,0,3,15,-4,37,-4,6,3,7.62,2.54,-4,0,0.1,0.54,1,1
Aleksei Oleinik,Fabricio Werdum,270,-330,270,30.3030303,5/9/2020,"Jacksonville, Florida, USA",USA,Red,FALSE,Heavyweight,MALE,3,1,0,0,3.61,0.51,1.1,1.65,0.3,6,8,68,3,0,0,6,6,10,0,22,Orthodox,193.04,195.58,231,0,1,0,3.08,0.5,2.8,3.01,0.46,2,4,16,0,0,0,0,1,6,0,7,Orthodox,187.96,203.2,240,42,41,-1,-1,4,15,-4,52,3,5,4,5.08,-7.62,1,0.01,-1.7,-1.36,1,1
Carla Esparza,Michelle Waterson,-145,125,68.96551724,125,5/9/2020,"Jacksonville, Florida, USA",USA,Red,FALSE,Women's Strawweight,FEMALE,3,1,0,0,3.35,0.53,1.2,1.88,0.5,4,3,28,0,0,1,2,0,4,0,7,Orthodox,160.02,157.48,115,0,2,0,2.22,0.4,0.3,3.53,0.36,2,4,29,2,1,0,4,0,1,0,6,Orthodox,154.94,160.02,115,32,34,-1,-2,2,1,1,-1,-2,0,3,5.08,-2.54,-2,0.13,0.9,-1.65,1,1
Uriah Hall,Jacare Souza,110,-130,110,76.92307692,5/9/2020,"Jacksonville, Florida, USA",USA,Red,FALSE,Middleweight,MALE,3,2,0,0,2.54,0.46,1.4,2.46,0.38,8,7,61,0,0,0,4,5,10,0,19,Orthodox,185.42,182.88,185,0,2,0,3.31,0.5,0.2,0.75,0.38,3,7,32,0,0,1,1,6,0,0,8,Orthodox,182.88,200.66,185,35,40,-2,-2,5,11,0,29,0,-1,10,2.54,-17.78,-5,-0.04,1.2,1.71,1,1
Tony Ferguson,Justin Gaethje,-200,170,50,170,5/9/2020,"Jacksonville, Florida, USA",USA,Red,TRUE,Lightweight,MALE,5,0,3,0,8.57,0.55,0,0,0,3,2,12,0,0,0,0,4,0,0,4,Orthodox,180.34,177.8,155,0,12,0,5.81,0.45,1.4,0.56,0.42,12,1,35,1,0,1,3,5,6,0,15,Orthodox,180.34,193.04,155,36,31,0,-9,-9,-11,-1,-23,-1,-1,-6,0,-15.24,5,0.1,-1.4,-0.56,1,1
Henry Cejudo,Dominick Cruz,-235,195,42.55319149,195,5/9/2020,"Jacksonville, Florida, USA",USA,Red,TRUE,Bantamweight,MALE,5,1,0,0,3.53,0.31,0.1,3.17,0.5,12,2,51,5,0,2,8,2,0,0,12,Orthodox,172.72,172.72,135,0,5,0,3.82,0.44,0.2,2.16,0.35,5,2,30,4,0,2,4,3,0,0,9,Orthodox,162.56,162.56,135,33,35,-1,-5,7,3,0,21,1,-1,0,10.16,10.16,-2,-0.13,-0.1,1.01,1,1
Francis Ngannou,Jairzinho Rozenstruik,-270,230,37.03703704,230,5/9/2020,"Jacksonville, Florida, USA",USA,Red,FALSE,Heavyweight,MALE,3,0,4,0,3.72,0.46,0,0,0,4,0,9,0,0,0,0,4,0,0,4,Orthodox,193.04,198.12,242,0,3,0,2.15,0.37,0.5,0,0,6,2,18,1,0,0,0,8,1,0,9,Orthodox,193.04,210.82,250,33,32,0,1,-2,-5,2,-9,-1,-4,-1,0,-12.7,1,0.09,-0.5,0,1,1
