,R_fighter,B_fighter,R_odds,B_odds,R_ev,B_ev,date,location,country,Winner,title_bout,weight_class,gender,no_of_rounds,B_current_lose_streak,B_current_win_streak,B_draw,B_avg_SIG_STR_landed,B_avg_SIG_STR_pct,B_avg_SUB_ATT,B_avg_TD_landed,B_avg_TD_pct,B_longest_win_streak,B_losses,B_total_rounds_fought,B_total_title_bouts,B_win_by_Decision_Majority,B_win_by_Decision_Split,B_win_by_Decision_Unanimous,B_win_by_KO/TKO,B_win_by_Submission,B_win_by_TKO_Doctor_Stoppage,B_wins,B_Stance,B_Height_cms,B_Reach_cms,B_Weight_lbs,R_current_lose_streak,R_current_win_streak,R_draw,R_avg_SIG_STR_landed,R_avg_SIG_STR_pct,R_avg_SUB_ATT,R_avg_TD_landed,R_avg_TD_pct,R_longest_win_streak,R_losses,R_total_rounds_fought,R_total_title_bouts,R_win_by_Decision_Majority,R_win_by_Decision_Split,R_win_by_Decision_Unanimous,R_win_by_KO/TKO,R_win_by_Submission,R_win_by_TKO_Doctor_Stoppage,R_wins,R_Stance,R_Height_cms,R_Reach_cms,R_Weight_lbs,R_age,B_age,lose_streak_dif,win_streak_dif,longest_win_streak_dif,win_dif,loss_dif,total_round_dif,total_title_bout_dif,ko_dif,sub_dif,height_dif,reach_dif,age_dif,sig_str_dif,avg_sub_att_dif,avg_td_dif,constant_1,label
0,Kevin Lee,Charles Oliveira,-145.0,135.0,68.96551724,135.0,2020-03-14,"Brasilia, Distrito Federal, Brazil",Brazil,Blue,False,Lightweight,MALE,5.0,0.0,6.0,0.0,3.21,0.5,2.8,2.77,0.42,6.0,8.0,45.0,0.0,0.0,0.0,1.0,2.0,13.0,0.0,16.0,Orthodox,177.8,187.96,155.0,0.0,1.0,0.0,3.9,0.42,0.9,3.23,0.42,5.0,5.0,41.0,1.0,0.0,1.0,3.0,3.0,4.0,0.0,11.0,Orthodox,175.26,195.58,170.0,27.0,30.0,0.0,5.0,1.0,5.0,-3.0,4.0,-1.0,-1.0,9.0,2.54,-7.62,-3.0,0.08,1.9,-0.46,1.0,0
1,Demian Maia,Gilbert Burns,160.0,-170.0,160.0,58.82352941,2020-03-14,"Brasilia, Distrito Federal, Brazil",Brazil,Blue,False,Welterweight,MALE,3.0,0.0,4.0,0.0,3.09,0.43,0.7,2.43,0.38,4.0,3.0,30.0,0.0,0.0,0.0,4.0,2.0,4.0,0.0,10.0,Orthodox,177.8,180.34,170.0,0.0,3.0,0.0,1.82,0.43,1.0,2.49,0.25,7.0,9.0,85.0,2.0,1.0,1.0,8.0,1.0,11.0,0.0,22.0,Southpaw,185.42,182.88,170.0,42.0,33.0,0.0,1.0,-3.0,-12.0,6.0,-55.0,-2.0,1.0,-7.0,-7.62,-2.54,9.0,0.0,-0.3,-0.06,1.0,0
2,Renato Moicano,Damir Hadzovic,-345.0,315.0,28.98550725,315.0,2020-03-14,"Brasilia, Distrito Federal, Brazil",Brazil,Red,False,Lightweight,MALE,3.0,1.0,0.0,0.0,3.0,0.46,0.2,0.68,0.6,2.0,3.0,15.0,0.0,0.0,1.0,0.0,2.0,0.0,0.0,3.0,Orthodox,175.26,177.8,155.0,2.0,0.0,0.0,5.53,0.46,0.4,1.16,0.54,3.0,3.0,18.0,0.0,0.0,2.0,1.0,0.0,2.0,0.0,5.0,Orthodox,180.34,182.88,155.0,30.0,33.0,1.0,0.0,-1.0,-2.0,0.0,-3.0,0.0,2.0,-2.0,-5.08,-5.08,-3.0,0.0,-0.2,-0.48,1.0,1
3,Johnny Walker,Nikita Krylov,-137.0,127.0,72.99270073,127.0,2020-03-14,"Brasilia, Distrito Federal, Brazil",Brazil,Blue,False,Light Heavyweight,MALE,3.0,1.0,0.0,0.0,4.86,0.57,1.9,1.06,0.38,5.0,5.0,20.0,0.0,0.0,0.0,0.0,3.0,4.0,0.0,7.0,Orthodox,190.5,195.58,205.0,1.0,0.0,0.0,5.17,0.69,2.3,0.75,1.0,3.0,1.0,4.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,3.0,Orthodox,198.12,208.28,205.0,27.0,28.0,0.0,0.0,2.0,4.0,-4.0,16.0,0.0,0.0,4.0,-7.62,-12.7,-1.0,-0.12,-0.4,0.31,1.0,0
4,Francisco Trinaldo,John Makdessi,-160.0,150.0,62.5,150.0,2020-03-14,"Brasilia, Distrito Federal, Brazil",Brazil,Red,False,Lightweight,MALE,3.0,0.0,3.0,0.0,5.43,0.5,0.0,0.0,0.0,3.0,6.0,39.0,0.0,0.0,1.0,5.0,3.0,0.0,0.0,10.0,Orthodox,172.72,172.72,155.0,0.0,1.0,0.0,3.09,0.44,0.5,1.08,0.45,7.0,6.0,50.0,0.0,0.0,1.0,7.0,4.0,2.0,0.0,14.0,Southpaw,175.26,177.8,155.0,41.0,34.0,0.0,2.0,-4.0,-4.0,0.0,-11.0,0.0,-1.0,-2.0,-2.54,-5.08,7.0,0.06,-0.5,-1.08,1.0,1
5,Jussier Formiga,Brandon Moreno,-150.0,140.0,66.66666667,140.0,2020-03-14,"Brasilia, Distrito Federal, Brazil",Brazil,Blue,False,Flyweight,MALE,3.0,0.0,1.0,1.0,3.12,0.34,0.6,2.02,0.43,3.0,2.0,20.0,0.0,0.0,1.0,1.0,0.0,2.0,0.0,4.0,Orthodox,170.18,177.8,125.0,1.0,0.0,0.0,1.38,0.38,0.6,1.95,0.39,4.0,5.0,34.0,0.0,0.0,0.0,6.0,0.0,3.0,0.0,9.0,Orthodox,165.1,170.18,125.0,34.0,26.0,1.0,1.0,-1.0,-5.0,3.0,-14.0,0.0,0.0,-1.0,5.08,7.62,8.0,-0.04,0.0,0.07,1.0,0
6,Amanda Ribas,Randa Markos,-345.0,315.0,28.98550725,315.0,2020-03-14,"Brasilia, Distrito Federal, Brazil",Brazil,Red,False,Women's Strawweight,FEMALE,3.0,0.0,1.0,1.0,3.01,0.41,0.3,1.38,0.27,1.0,6.0,35.0,0.0,0.0,2.0,3.0,0.0,1.0,0.0,6.0,Orthodox,162.56,160.02,115.0,0.0,2.0,0.0,4.29,0.38,1.4,2.71,0.57,2.0,0.0,5.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,2.0,Orthodox,160.02,167.64,115.0,26.0,34.0,0.0,-1.0,-1.0,4.0,-6.0,30.0,0.0,0.0,0.0,2.54,-7.62,-8.0,0.03,-1.1,-1.33,1.0,1
7,Elizeu Dos Santos,Aleksei Kunchenko,-122.0,112.0,81.96721311,112.0,2020-03-14,"Brasilia, Distrito Federal, Brazil",Brazil,Red,False,Welterweight,MALE,3.0,1.0,0.0,0.0,3.62,0.42,0.0,0.33,0.33,2.0,1.0,9.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,2.0,Orthodox,172.72,177.8,170.0,1.0,0.0,0.0,4.18,0.39,0.6,0.45,0.14,7.0,2.0,22.0,0.0,0.0,1.0,2.0,3.0,1.0,0.0,7.0,Orthodox,180.34,185.42,170.0,33.0,35.0,0.0,0.0,-5.0,-5.0,1.0,-13.0,0.0,-3.0,-1.0,-7.62,-7.62,-2.0,0.03,-0.6,-0.12,1.0,1
9,Mayra Bueno Silva,Maryna Moroz,-140.0,130.0,71.42857143,130.0,2020-03-14,"Brasilia, Distrito Federal, Brazil",Brazil,Blue,False,Women's Flyweight,FEMALE,3.0,0.0,1.0,0.0,3.25,0.25,0.5,0.33,0.14,2.0,3.0,19.0,0.0,0.0,1.0,2.0,0.0,1.0,0.0,4.0,Orthodox,170.18,170.18,125.0,0.0,1.0,0.0,2.24,0.34,3.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,Orthodox,167.64,167.64,135.0,28.0,28.0,0.0,0.0,1.0,3.0,-3.0,18.0,0.0,0.0,0.0,2.54,2.54,0.0,-0.09,-2.5,0.33,1.0,0
10,Bruno Silva,David Dvorak,-110.0,100.0,90.90909091,100.0,2020-03-14,"Brasilia, Distrito Federal, Brazil",Brazil,Blue,False,Flyweight,MALE,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Orthodox,165.1,172.72,125.0,1.0,0.0,0.0,1.54,0.4,0.0,2.31,0.18,0.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Orthodox,162.56,165.1,135.0,29.0,27.0,1.0,0.0,0.0,0.0,1.0,-3.0,0.0,0.0,0.0,2.54,7.62,2.0,-0.4,0.0,-2.31,1.0,0
