,R_fighter,B_fighter,R_odds,B_odds,R_ev,B_ev,date,location,country,Winner,title_bout,weight_class,gender,no_of_rounds,B_current_lose_streak,B_current_win_streak,B_draw,B_avg_SIG_STR_landed,B_avg_SIG_STR_pct,B_avg_SUB_ATT,B_avg_TD_landed,B_avg_TD_pct,B_longest_win_streak,B_losses,B_total_rounds_fought,B_total_title_bouts,B_win_by_Decision_Majority,B_win_by_Decision_Split,B_win_by_Decision_Unanimous,B_win_by_KO/TKO,B_win_by_Submission,B_win_by_TKO_Doctor_Stoppage,B_wins,B_Stance,B_Height_cms,B_Reach_cms,B_Weight_lbs,R_current_lose_streak,R_current_win_streak,R_draw,R_avg_SIG_STR_landed,R_avg_SIG_STR_pct,R_avg_SUB_ATT,R_avg_TD_landed,R_avg_TD_pct,R_longest_win_streak,R_losses,R_total_rounds_fought,R_total_title_bouts,R_win_by_Decision_Majority,R_win_by_Decision_Split,R_win_by_Decision_Unanimous,R_win_by_KO/TKO,R_win_by_Submission,R_win_by_TKO_Doctor_Stoppage,R_wins,R_Stance,R_Height_cms,R_Reach_cms,R_Weight_lbs,R_age,B_age,lose_streak_dif,win_streak_dif,longest_win_streak_dif,win_dif,loss_dif,total_round_dif,total_title_bout_dif,ko_dif,sub_dif,height_dif,reach_dif,age_dif,sig_str_dif,avg_sub_att_dif,avg_td_dif,constant_1,label
11,Veronica Macedo,Bea Malecki,-155.0,145.0,64.51612903,145.0,2020-03-14,"Brasilia, Distrito Federal, Brazil",Brazil,Blue,False,Women's Bantamweight,FEMALE,3.0,0.0,1.0,0.0,2.72,0.26,4.3,0.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,Orthodox,175.26,187.96,135.0,0.0,1.0,0.0,1.9,0.45,0.8,0.8,1.0,1.0,3.0,9.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,Southpaw,162.56,162.56,125.0,24.0,28.0,0.0,0.0,0.0,0.0,3.0,-7.0,0.0,0.0,0.0,12.7,25.4,-4.0,-0.19,3.5,-0.8,1.0,0
12,Israel Adesanya,Yoel Romero,-260.0,240.0,38.46153846,240.0,2020-03-07,"Las Vegas, Nevada, USA",USA,Red,True,Middleweight,MALE,5.0,2.0,0.0,0.0,3.71,0.49,0.0,1.79,0.31,8.0,4.0,40.0,2.0,0.0,1.0,1.0,7.0,0.0,0.0,9.0,Southpaw,182.88,185.42,185.0,0.0,7.0,0.0,4.46,0.5,0.4,0.0,0.0,7.0,0.0,21.0,2.0,0.0,1.0,3.0,3.0,0.0,0.0,7.0,Switch,193.04,203.2,185.0,30.0,42.0,-2.0,-7.0,1.0,2.0,-4.0,19.0,0.0,4.0,0.0,-10.16,-17.78,-12.0,-0.01,-0.4,1.79,1.0,1
13,Weili Zhang,Joanna Jedrzejczyk,-185.0,170.0,54.05405405,170.0,2020-03-07,"Las Vegas, Nevada, USA",USA,Red,True,Women's Strawweight,FEMALE,5.0,0.0,1.0,0.0,6.18,0.47,0.1,0.3,0.62,8.0,3.0,50.0,9.0,0.0,1.0,7.0,2.0,0.0,0.0,10.0,Orthodox,167.64,165.1,115.0,0.0,4.0,0.0,6.22,0.49,0.9,1.75,0.3,4.0,0.0,8.0,1.0,0.0,0.0,2.0,1.0,1.0,0.0,4.0,Switch,162.56,160.02,115.0,30.0,32.0,0.0,-3.0,4.0,6.0,-3.0,42.0,8.0,1.0,-1.0,5.08,5.08,-2.0,-0.02,-0.8,-1.45,1.0,1
14,Beneil Dariush,Drakkar Klose,-162.0,152.0,61.72839506,152.0,2020-03-07,"Las Vegas, Nevada, USA",USA,Red,False,Lightweight,MALE,3.0,0.0,3.0,0.0,3.98,0.52,0.0,1.67,0.3,3.0,1.0,18.0,0.0,0.0,1.0,4.0,0.0,0.0,0.0,5.0,Orthodox,175.26,177.8,155.0,0.0,3.0,1.0,3.95,0.49,0.9,1.77,0.34,5.0,4.0,33.0,0.0,0.0,1.0,4.0,1.0,5.0,0.0,11.0,Southpaw,177.8,182.88,155.0,30.0,31.0,0.0,0.0,-2.0,-6.0,3.0,-15.0,0.0,-1.0,-5.0,-2.54,-5.08,-1.0,0.03,-0.9,-0.1,1.0,1
15,Neil Magny,Li Jingliang,157.0,-167.0,157.0,59.88023952,2020-03-07,"Las Vegas, Nevada, USA",USA,Red,False,Welterweight,MALE,3.0,0.0,3.0,0.0,4.9,0.43,0.0,1.24,0.36,4.0,3.0,29.0,0.0,0.0,1.0,2.0,6.0,0.0,0.0,9.0,Orthodox,182.88,180.34,170.0,1.0,0.0,0.0,3.86,0.46,0.3,2.62,0.46,7.0,6.0,52.0,0.0,0.0,1.0,7.0,5.0,1.0,0.0,14.0,Orthodox,190.5,203.2,170.0,32.0,31.0,1.0,3.0,-3.0,-5.0,3.0,-23.0,0.0,1.0,-1.0,-7.62,-22.86,1.0,-0.03,-0.3,-1.38,1.0,1
16,Alex Oliveira,Max Griffin,-125.0,115.0,80.0,115.0,2020-03-07,"Las Vegas, Nevada, USA",USA,Red,False,Welterweight,MALE,3.0,1.0,0.0,0.0,4.22,0.49,0.6,1.89,0.54,1.0,5.0,22.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,3.0,Orthodox,180.34,193.04,170.0,3.0,0.0,0.0,2.9,0.5,0.7,2.86,0.39,3.0,6.0,36.0,0.0,0.0,0.0,2.0,4.0,3.0,0.0,9.0,Orthodox,180.34,193.04,170.0,32.0,34.0,2.0,0.0,-2.0,-6.0,1.0,-14.0,0.0,-3.0,-3.0,0.0,0.0,-2.0,-0.01,-0.1,-0.97,1.0,1
17,Sean O'Malley,Jose Quinonez,-330.0,300.0,30.303030300000003,300.0,2020-03-07,"Las Vegas, Nevada, USA",USA,Red,False,Bantamweight,MALE,3.0,0.0,1.0,0.0,3.49,0.47,0.7,2.64,0.45,4.0,2.0,18.0,0.0,0.0,0.0,4.0,0.0,1.0,0.0,5.0,Orthodox,172.72,175.26,135.0,0.0,2.0,0.0,6.75,0.56,1.3,1.31,0.5,2.0,0.0,6.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,2.0,Switch,180.34,182.88,135.0,25.0,29.0,0.0,-1.0,2.0,3.0,-2.0,12.0,0.0,0.0,1.0,-7.62,-7.62,-4.0,-0.09,-0.6,1.33,1.0,1
18,Mark Madsen,Austin Hubbard,-215.0,195.0,46.51162791,195.0,2020-03-07,"Las Vegas, Nevada, USA",USA,Red,False,Lightweight,MALE,3.0,0.0,1.0,0.0,3.17,0.41,0.0,1.5,0.6,1.0,1.0,6.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,Orthodox,177.8,180.34,155.0,0.0,1.0,0.0,18.33,0.75,0.0,12.5,0.5,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,Orthodox,172.72,182.88,155.0,35.0,28.0,0.0,0.0,0.0,0.0,-1.0,5.0,0.0,-1.0,0.0,5.08,-2.54,7.0,-0.34,0.0,-11.0,1.0,1
19,Rodolfo Vieira,Saparbeg Safarov,-570.0,480.0,17.54385965,480.0,2020-03-07,"Las Vegas, Nevada, USA",USA,Red,False,Middleweight,MALE,3.0,0.0,1.0,0.0,4.29,0.48,0.0,2.8,0.41,1.0,2.0,6.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,Orthodox,185.42,198.12,205.0,0.0,1.0,0.0,1.91,0.46,1.6,4.77,0.42,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,Orthodox,182.88,185.42,185.0,30.0,33.0,0.0,0.0,0.0,0.0,-2.0,4.0,0.0,0.0,-1.0,2.54,12.7,-3.0,0.02,-1.6,-1.97,1.0,1
20,Gerald Meerschaert,Deron Winn,125.0,-135.0,125.0,74.07407407,2020-03-07,"Las Vegas, Nevada, USA",USA,Red,False,Middleweight,MALE,3.0,1.0,0.0,0.0,6.6,0.47,0.0,3.0,0.33,1.0,1.0,6.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,Orthodox,167.64,177.8,185.0,1.0,0.0,0.0,2.73,0.42,1.8,2.56,0.41,2.0,4.0,18.0,0.0,0.0,0.0,0.0,1.0,4.0,0.0,5.0,Southpaw,185.42,195.58,185.0,32.0,30.0,0.0,0.0,-1.0,-4.0,3.0,-12.0,0.0,-1.0,-4.0,-17.78,-17.78,2.0,0.05,-1.8,0.44,1.0,1
21,Jamall Emmers,Giga Chikadze,-170.0,160.0,58.82352941,160.0,2020-03-07,"Las Vegas, Nevada, USA",USA,Blue,False,Featherweight,MALE,3.0,0.0,1.0,0.0,3.33,0.52,0.0,0.51,0.33,1.0,0.0,3.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,Orthodox,182.88,187.96,145.0,0.0,0.0,0.0,8.27,0.68,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Orthodox,177.8,187.96,145.0,30.0,31.0,0.0,1.0,1.0,1.0,0.0,3.0,0.0,0.0,0.0,5.08,0.0,-1.0,-0.16,0.0,0.51,1.0,0
22,Danaa Batgerel,Guido Cannetti,-120.0,110.0,83.33333333,110.0,2020-03-07,"Las Vegas, Nevada, USA",USA,Red,False,Bantamweight,MALE,3.0,1.0,0.0,0.0,2.8,0.52,0.3,2.8,0.5,1.0,3.0,11.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,2.0,Southpaw,167.64,172.72,135.0,1.0,0.0,0.0,5.67,0.36,0.0,0.0,0.0,0.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Orthodox,170.18,177.8,135.0,30.0,40.0,0.0,0.0,1.0,2.0,-2.0,8.0,0.0,0.0,0.0,-2.54,-5.08,-10.0,0.16,0.3,2.8,1.0,1
23,Joseph Benavidez,Deiveson Figueiredo,-150.0,130.0,66.66666667,130.0,2020-02-29,"Norfolk, Virginia, USA", USA,Blue,True,Flyweight,MALE,5.0,0.0,2.0,0.0,2.44,0.52,2.4,1.78,0.47,4.0,1.0,16.0,0.0,0.0,1.0,1.0,3.0,1.0,0.0,6.0,Orthodox,165.1,172.72,125.0,0.0,3.0,0.0,3.46,0.33,0.6,1.53,0.31,6.0,5.0,65.0,2.0,0.0,1.0,10.0,6.0,3.0,0.0,21.0,Southpaw,162.56,165.1,125.0,35.0,32.0,0.0,-1.0,-2.0,-15.0,4.0,-49.0,-2.0,-3.0,-2.0,2.54,7.62,3.0,0.19,1.8,0.25,1.0,0
24,Felicia Spencer,Zarah Fairn,-870.0,585.0,11.49425287,585.0,2020-02-29,"Norfolk, Virginia, USA", USA,Red,False,Women's Featherweight,FEMALE,3.0,1.0,0.0,0.0,0.51,0.4,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Orthodox,172.72,182.88,145.0,1.0,0.0,0.0,3.26,0.51,0.8,0.82,0.1,1.0,1.0,4.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,Orthodox,167.64,172.72,145.0,29.0,33.0,0.0,0.0,-1.0,-1.0,0.0,-3.0,0.0,0.0,-1.0,5.08,10.16,-4.0,-0.11,-0.8,-0.82,1.0,1
25,Ion Cutelaba,Magomed Ankalaev,185.0,-225.0,185.0,44.44444444,2020-02-29,"Norfolk, Virginia, USA", USA,Blue,False,Light Heavyweight,MALE,3.0,0.0,3.0,0.0,3.32,0.56,0.0,0.69,0.33,3.0,1.0,10.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,3.0,Orthodox,190.5,190.5,205.0,0.0,1.0,0.0,5.27,0.39,0.0,2.62,0.71,2.0,3.0,14.0,0.0,0.0,0.0,1.0,3.0,0.0,0.0,4.0,Southpaw,185.42,190.5,205.0,26.0,27.0,0.0,2.0,1.0,-1.0,2.0,-4.0,0.0,-1.0,0.0,5.08,0.0,-1.0,0.17,0.0,-1.93,1.0,0
26,Megan Anderson,Norma Dumont,-245.0,205.0,40.81632653,205.0,2020-02-29,"Norfolk, Virginia, USA", USA,Red,False,Women's Featherweight,FEMALE,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Orthodox,170.18,170.18,135.0,0.0,1.0,0.0,1.8,0.46,0.6,0.64,0.5,1.0,2.0,6.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,2.0,Orthodox,182.88,182.88,145.0,30.0,29.0,0.0,-1.0,-1.0,-2.0,2.0,-6.0,0.0,-1.0,-1.0,-12.7,-12.7,1.0,-0.46,-0.6,-0.64,1.0,1
27,Grant Dawson,Darrick Minner,-475.0,380.0,21.05263158,380.0,2020-02-29,"Norfolk, Virginia, USA", USA,Red,False,Featherweight,MALE,3.0,0.0,0.0,0.0,6.85,0.54,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Orthodox,170.18,177.8,145.0,0.0,2.0,0.0,3.76,0.46,2.1,5.23,0.45,2.0,0.0,5.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,2.0,Switch,177.8,182.88,145.0,26.0,29.0,0.0,-2.0,-2.0,-2.0,0.0,-5.0,0.0,0.0,-1.0,-7.62,-5.08,-3.0,0.08,-2.1,-5.23,1.0,1
28,Gabriel Silva,Kyler Phillips,-130.0,110.0,76.92307692,110.0,2020-02-29,"Norfolk, Virginia, USA", USA,Blue,False,Bantamweight,MALE,3.0,0.0,0.0,0.0,18.26,0.56,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Orthodox,172.72,179.0,135.0,1.0,0.0,0.0,0.53,0.5,0.0,1.0,0.16,0.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Orthodox,167.64,180.34,135.0,25.0,24.0,1.0,0.0,0.0,0.0,1.0,-3.0,0.0,0.0,0.0,5.08,-1.34,1.0,0.06,0.0,-1.0,1.0,0
29,Brendan Allen,Tom Breese,110.0,-130.0,110.0,76.92307692,2020-02-29,"Norfolk, Virginia, USA", USA,Red,False,Middleweight,MALE,3.0,0.0,1.0,0.0,3.85,0.49,0.3,0.0,0.0,3.0,1.0,9.0,0.0,0.0,0.0,1.0,3.0,0.0,0.0,4.0,Southpaw,190.5,185.42,185.0,0.0,1.0,0.0,2.0,0.53,6.2,3.74,0.42,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,Orthodox,187.96,190.5,185.0,24.0,28.0,0.0,0.0,2.0,3.0,-1.0,7.0,0.0,3.0,-1.0,2.54,-5.08,-4.0,-0.04,-5.9,-3.74,1.0,1
30,Luis Pena,Steve Garcia,-270.0,230.0,37.03703704,230.0,2020-02-29,"Norfolk, Virginia, USA", USA,Red,False,Lightweight,MALE,3.0,0.0,0.0,0.0,8.89,0.55,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Southpaw,182.88,190.5,155.0,1.0,0.0,0.0,3.7,0.45,1.0,1.25,0.31,2.0,2.0,13.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,3.0,Southpaw,190.5,190.5,155.0,26.0,27.0,1.0,0.0,-2.0,-3.0,2.0,-13.0,0.0,-1.0,-1.0,-7.62,0.0,-1.0,0.1,-1.0,-1.25,1.0,1
31,Marcin Tybura,Serghei Spivac,100.0,-120.0,100.0,83.33333333,2020-02-29,"Norfolk, Virginia, USA", USA,Red,False,Heavyweight,MALE,3.0,0.0,1.0,0.0,2.65,0.53,1.6,9.93,0.75,1.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,Orthodox,190.5,198.12,260.0,2.0,0.0,0.0,3.61,0.51,0.1,1.48,0.61,3.0,5.0,25.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,4.0,Orthodox,190.5,198.12,249.0,34.0,35.0,2.0,1.0,-2.0,-3.0,4.0,-22.0,0.0,-2.0,1.0,0.0,0.0,-1.0,0.02,1.5,8.45,1.0,1
32,Jordan Griffin,TJ Brown,-135.0,115.0,74.07407407,115.0,2020-02-29,"Norfolk, Virginia, USA", USA,Red,False,Featherweight,MALE,3.0,0.0,0.0,0.0,3.31,0.47,1.2,5.78,0.71,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Switch,175.26,182.88,145.0,2.0,0.0,0.0,3.15,0.46,1.8,0.44,0.25,0.0,2.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Southpaw,177.8,185.42,145.0,30.0,29.0,2.0,0.0,0.0,0.0,2.0,-6.0,0.0,0.0,0.0,-2.54,-2.54,1.0,0.01,-0.6,5.34,1.0,1
33,Aalon Cruz,Spike Carlyle,-190.0,165.0,52.63157895,165.0,2020-02-29,"Norfolk, Virginia, USA", USA,Blue,False,Featherweight,MALE,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Switch,170.18,180.34,145.0,0.0,0.0,0.0,9.04,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Switch,182.88,198.12,145.0,30.0,26.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-12.7,-17.78,4.0,-0.4,0.0,0.0,1.0,0
34,Sean Brady,Ismail Naurdiev,105.0,-125.0,105.0,80.0,2020-02-29,"Norfolk, Virginia, USA", USA,Red,False,Welterweight,MALE,3.0,0.0,1.0,0.0,3.4,0.56,0.3,1.67,0.83,1.0,1.0,9.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,2.0,Orthodox,177.8,187.96,170.0,0.0,1.0,0.0,7.93,0.56,0.0,2.0,0.66,1.0,0.0,3.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,Orthodox,177.8,182.88,170.0,27.0,23.0,0.0,0.0,0.0,1.0,-1.0,6.0,0.0,0.0,0.0,0.0,5.08,4.0,0.0,0.3,-0.33,1.0,1
35,Paul Felder,Dan Hooker,130.0,-150.0,130.0,66.66666667,2020-02-22,"Auckland, New Zealand", New Zealand,Blue,False,Lightweight,MALE,5.0,0.0,2.0,0.0,4.73,0.44,0.4,0.4,0.33,4.0,4.0,29.0,0.0,0.0,0.0,1.0,6.0,2.0,0.0,9.0,Switch,182.88,190.5,155.0,0.0,2.0,0.0,3.55,0.43,0.3,0.29,0.27,3.0,4.0,33.0,0.0,0.0,2.0,2.0,4.0,1.0,0.0,9.0,Orthodox,180.34,177.8,155.0,35.0,30.0,0.0,0.0,1.0,0.0,0.0,-4.0,0.0,2.0,1.0,2.54,12.7,5.0,0.01,0.1,0.11,1.0,0
