R_fighter,B_fighter,R_odds,B_odds,date,location,country,Winner,title_bout,weight_class,gender
Kevin Lee,Charles Oliveira,-145,135,3/14/2020,"Brasilia, Distrito Federal, Brazil",Brazil,Blue,FALSE,Lightweight,MALE
Demian Maia,Gilbert Burns,160,-170,3/14/2020,"Brasilia, Distrito Federal, Brazil",Brazil,Blue,FALSE,Welterweight,MALE
Renato Moicano,Damir Hadzovic,-345,315,3/14/2020,"Brasilia, Distrito Federal, Brazil",Brazil,Red,FALSE,Lightweight,MALE
Johnny Walker,Nikita Krylov,-137,127,3/14/2020,"Brasilia, Distrito Federal, Brazil",Brazil,Blue,FALSE,Light Heavyweight,MALE
Francisco Trinaldo,John Makdessi,-160,150,3/14/2020,"Brasilia, Distrito Federal, Brazil",Brazil,Red,FALSE,Lightweight,MALE
Jussier Formiga,Brandon Moreno,-150,140,3/14/2020,"Brasilia, Distrito Federal, Brazil",Brazil,Blue,FALSE,Flyweight,MALE
Amanda Ribas,Randa Markos,-345,315,3/14/2020,"Brasilia, Distrito Federal, Brazil",Brazil,Red,FALSE,Women's Strawweight,FEMALE
Elizeu Dos Santos,Aleksei Kunchenko,-122,112,3/14/2020,"Brasilia, Distrito Federal, Brazil",Brazil,Red,FALSE,Welterweight,MALE
Rani Yahya,Enrique Barzola,170,-185,3/14/2020,"Brasilia, Distrito Federal, Brazil",Brazil,Draw,FALSE,Bantamweight,MALE
Mayra Bueno Silva,Maryna Moroz,-140,130,3/14/2020,"Brasilia, Distrito Federal, Brazil",Brazil,Blue,FALSE,Women's Flyweight,FEMALE
Bruno Silva,David Dvorak,-110,100,3/14/2020,"Brasilia, Distrito Federal, Brazil",Brazil,Blue,FALSE,Flyweight,MALE
Veronica Macedo,Bea Malecki,-155,145,3/14/2020,"Brasilia, Distrito Federal, Brazil",Brazil,Blue,FALSE,Women's Bantamweight,FEMALE
Israel Adesanya,Yoel Romero,-260,240,3/7/2020,"Las Vegas, Nevada, USA",USA,Red,TRUE,Middleweight,MALE
Weili Zhang,Joanna Jedrzejczyk,-185,170,3/7/2020,"Las Vegas, Nevada, USA",USA,Red,TRUE,Women's Strawweight,FEMALE
Beneil Dariush,Drakkar Klose,-162,152,3/7/2020,"Las Vegas, Nevada, USA",USA,Red,FALSE,Lightweight,MALE
Neil Magny,Li Jingliang,157,-167,3/7/2020,"Las Vegas, Nevada, USA",USA,Red,FALSE,Welterweight,MALE
Alex Oliveira,Max Griffin,-125,115,3/7/2020,"Las Vegas, Nevada, USA",USA,Red,FALSE,Welterweight,MALE
Sean O'Malley,Jose Quinonez,-330,300,3/7/2020,"Las Vegas, Nevada, USA",USA,Red,FALSE,Bantamweight,MALE
Mark Madsen,Austin Hubbard,-215,195,3/7/2020,"Las Vegas, Nevada, USA",USA,Red,FALSE,Lightweight,MALE
Rodolfo Vieira,Saparbeg Safarov,-570,480,3/7/2020,"Las Vegas, Nevada, USA",USA,Red,FALSE,Middleweight,MALE
Gerald Meerschaert,Deron Winn,125,-135,3/7/2020,"Las Vegas, Nevada, USA",USA,Red,FALSE,Middleweight,MALE
Jamall Emmers,Giga Chikadze,-170,160,3/7/2020,"Las Vegas, Nevada, USA",USA,Blue,FALSE,Featherweight,MALE
Danaa Batgerel,Guido Cannetti,-120,110,3/7/2020,"Las Vegas, Nevada, USA",USA,Red,FALSE,Bantamweight,MALE
Joseph Benavidez,Deiveson Figueiredo,-150,130,2/29/2020,"Norfolk, Virginia, USA", USA,Blue,TRUE,Flyweight,MALE
Felicia Spencer,Zarah Fairn,-870,585,2/29/2020,"Norfolk, Virginia, USA", USA,Red,FALSE,Women's Featherweight,FEMALE
Ion Cutelaba,Magomed Ankalaev,185,-225,2/29/2020,"Norfolk, Virginia, USA", USA,Blue,FALSE,Light Heavyweight,MALE
Megan Anderson,Norma Dumont,-245,205,2/29/2020,"Norfolk, Virginia, USA", USA,Red,FALSE,Women's Featherweight,FEMALE
Grant Dawson,Darrick Minner,-475,380,2/29/2020,"Norfolk, Virginia, USA", USA,Red,FALSE,Featherweight,MALE
Gabriel Silva,Kyler Phillips,-130,110,2/29/2020,"Norfolk, Virginia, USA", USA,Blue,FALSE,Bantamweight,MALE
Brendan Allen,Tom Breese,110,-130,2/29/2020,"Norfolk, Virginia, USA", USA,Red,FALSE,Middleweight,MALE
Luis Pena,Steve Garcia,-270,230,2/29/2020,"Norfolk, Virginia, USA", USA,Red,FALSE,Lightweight,MALE
Marcin Tybura,Serghei Spivac,100,-120,2/29/2020,"Norfolk, Virginia, USA", USA,Red,FALSE,Heavyweight,MALE
Jordan Griffin,TJ Brown,-135,115,2/29/2020,"Norfolk, Virginia, USA", USA,Red,FALSE,Featherweight,MALE
Aalon Cruz,Spike Carlyle,-190,165,2/29/2020,"Norfolk, Virginia, USA", USA,Blue,FALSE,Featherweight,MALE
Sean Brady,Ismail Naurdiev,105,-125,2/29/2020,"Norfolk, Virginia, USA", USA,Red,FALSE,Welterweight,MALE
Paul Felder,Dan Hooker,130,-150,2/22/2020,"Auckland, New Zealand", New Zealand,Blue,FALSE,Lightweight,MALE
Jim Crute,Michal Oleksiejczuk,100,-120,2/22/2020,"Auckland, New Zealand", New Zealand,Red,FALSE,Light Heavyweight,MALE
Karolina Kowalkiewicz,Yan Xiaonan,225,-265,2/22/2020,"Auckland, New Zealand", New Zealand,Blue,FALSE,Women's Strawweight,FEMALE
Ben Sosoli,Marcos Rogerio De Lima,130,-150,2/22/2020,"Auckland, New Zealand", New Zealand,Blue,FALSE,Heavyweight,MALE
Brad Riddell,Magomed Mustafaev,120,-140,2/22/2020,"Auckland, New Zealand", New Zealand,Red,FALSE,Lightweight,MALE
Kevin Aguilar,Zubaira Tukhugov,-115,-105,2/22/2020,"Auckland, New Zealand", New Zealand,Blue,FALSE,Featherweight,MALE
Jalin Turner,Joshua Culibao,-210,175,2/22/2020,"Auckland, New Zealand", New Zealand,Red,FALSE,Lightweight,MALE
Jake Matthews,Emil Meek,-200,170,2/22/2020,"Auckland, New Zealand", New Zealand,Red,FALSE,Welterweight,MALE
Callan Potter,Song Kenan,170,-200,2/22/2020,"Auckland, New Zealand", New Zealand,Blue,FALSE,Welterweight,MALE
Kai Kara France,Tyson Nam,-260,220,2/22/2020,"Auckland, New Zealand", New Zealand,Red,FALSE,Flyweight,MALE
Loma Lookboonmee,Angela Hill,155,-175,2/22/2020,"Auckland, New Zealand", New Zealand,Blue,FALSE,Women's Strawweight,FEMALE
Priscila Cachoeira,Shana Dobson,180,-220,2/22/2020,"Auckland, New Zealand", New Zealand,Red,FALSE,Women's Flyweight,FEMALE
Francis Ngannou,Junior Dos Santos,-220,180,6/29/2019,"Minneapolis, Minnesota, USA", USA,Red,FALSE,Heavyweight,MALE
Jussier Formiga,Joseph Benavidez,105,-125,6/29/2019,"Minneapolis, Minnesota, USA", USA,Blue,FALSE,Flyweight,MALE
Demian Maia,Rocco Martin,-190,165,6/29/2019,"Minneapolis, Minnesota, USA", USA,Red,FALSE,Welterweight,MALE
Roosevelt Roberts,Vinc Pichel,-245,205,6/29/2019,"Minneapolis, Minnesota, USA", USA,Blue,FALSE,Lightweight,MALE
Drew Dober,Marco Polo Reyes,-430,345,6/29/2019,"Minneapolis, Minnesota, USA", USA,Red,FALSE,Lightweight,MALE
Alonzo Menifield,Paul Craig,-350,290,6/29/2019,"Minneapolis, Minnesota, USA", USA,Red,FALSE,Light Heavyweight,MALE
Ricardo Ramos,Journey Newson,-380,315,6/29/2019,"Minneapolis, Minnesota, USA", USA,Red,FALSE,Bantamweight,MALE
Eryk Anders,Vinicius Moreira,-300,250,6/29/2019,"Minneapolis, Minnesota, USA", USA,Red,FALSE,Light Heavyweight,MALE
Jared Gordon,Dan Moret,-350,290,6/29/2019,"Minneapolis, Minnesota, USA", USA,Red,FALSE,Lightweight,MALE
Dalcha Lungiambula,Dequan Townsend,-420,335,6/29/2019,"Minneapolis, Minnesota, USA", USA,Red,FALSE,Light Heavyweight,MALE
Emily Whitmire,Amanda Ribas,-175,155,6/29/2019,"Minneapolis, Minnesota, USA", USA,Blue,FALSE,Women's Strawweight,FEMALE
Maurice Greene,Junior Albini,-125,105,6/29/2019,"Minneapolis, Minnesota, USA", USA,Red,FALSE,Heavyweight,MALE
Renato Moicano,Chan Sung Jung,-220,180,6/22/2019,"Greenville, South Carolina, USA", USA,Blue,FALSE,Featherweight,MALE
Bryan Barberena,Randy Brown,-235,195,6/22/2019,"Greenville, South Carolina, USA", USA,Blue,FALSE,Welterweight,MALE
Andre Ewell,Anderson Dos Santos,-140,120,6/22/2019,"Greenville, South Carolina, USA", USA,Red,FALSE,Bantamweight,MALE
Andrea Lee,Montana De La Rosa,-185,160,6/22/2019,"Greenville, South Carolina, USA", USA,Red,FALSE,Women's Flyweight,FEMALE
Kevin Holland,Alessio Di Chirico,-230,190,6/22/2019,"Greenville, South Carolina, USA", USA,Red,FALSE,Middleweight,MALE
Dan Ige,Kevin Aguilar,120,-140,6/22/2019,"Greenville, South Carolina, USA", USA,Red,FALSE,Featherweight,MALE
Ashley Yoder,Syuri Kondo,-140,120,6/22/2019,"Greenville, South Carolina, USA", USA,Red,FALSE,Women's Strawweight,FEMALE
Matt Wiman,Luis Pena,315,-380,6/22/2019,"Greenville, South Carolina, USA", USA,Blue,FALSE,Lightweight,MALE
Allen Crowder,Jairzinho Rozenstruik,190,-230,6/22/2019,"Greenville, South Carolina, USA", USA,Blue,FALSE,Heavyweight,MALE
Ariane Lipski,Molly McCann,-255,215,6/22/2019,"Greenville, South Carolina, USA", USA,Blue,FALSE,Women's Flyweight,FEMALE
Deron Winn,Eric Spicely,-360,300,6/22/2019,"Greenville, South Carolina, USA", USA,Red,FALSE,Middleweight,MALE
Jon Jones,Thiago Santos,-670,485,7/6/2019,"Las Vegas, Nevada, USA", USA,Red,TRUE,Light Heavyweight,MALE
Amanda Nunes,Holly Holm,-360,300,7/6/2019,"Las Vegas, Nevada, USA", USA,Red,TRUE,Women's Bantamweight,FEMALE
Jorge Masvidal,Ben Askren,180,-220,7/6/2019,"Las Vegas, Nevada, USA", USA,Red,FALSE,Welterweight,MALE
Jan Blachowicz,Luke Rockhold,220,-260,7/6/2019,"Las Vegas, Nevada, USA", USA,Red,FALSE,Light Heavyweight,MALE
Diego Sanchez,Michael Chiesa,315,-380,7/6/2019,"Las Vegas, Nevada, USA", USA,Blue,FALSE,Welterweight,MALE
Gilbert Melendez,Arnold Allen,260,-320,7/6/2019,"Las Vegas, Nevada, USA", USA,Blue,FALSE,Featherweight,MALE
Marlon Vera,Nohelin Hernandez,-470,375,7/6/2019,"Las Vegas, Nevada, USA", USA,Red,FALSE,Bantamweight,MALE
Caludia Gadelha,Randa Markos,-200,170,7/6/2019,"Las Vegas, Nevada, USA", USA,Red,FALSE,Women's Strawweight,FEMALE
Alejandro Perez,Song Yadong,185,-225,7/6/2019,"Las Vegas, Nevada, USA", USA,Blue,FALSE,Bantamweight,MALE
Edmen Shahbazyan,Jack Marshman,-570,480,7/6/2019,"Las Vegas, Nevada, USA", USA,Red,FALSE,Middleweight,MALE
Ismail Naurdiev,Chance Rencountre,-570,435,7/6/2019,"Las Vegas, Nevada, USA", USA,Blue,FALSE,Welterweight,MALE
Julia Avila,Pannie Kianzad,-250,210,7/6/2019,"Las Vegas, Nevada, USA", USA,Red,FALSE,Women's Bantamweight,FEMALE
Corey Anderson,Jan Blachowicz,-235,195,2/15/2020,"Rio Rancho, New Mexico, USA", USA,Blue,FALSE,Light Heavyweight,MALE
Diego Sanchez,Michel Pereira,135,-155,2/15/2020,"Rio Rancho, New Mexico, USA", USA,Red,FALSE,Welterweight,MALE
Montana De La Rosa,Mara Romero Borella,-175,155,2/15/2020,"Rio Rancho, New Mexico, USA", USA,Red,FALSE,Women's Flyweight,FEMALE
Brok Weaver,Kazula Vargas,-270,230,2/15/2020,"Rio Rancho, New Mexico, USA", USA,Red,FALSE,Lightweight,MALE
Rogerio Bontorin,Ray Borg,130,-150,2/15/2020,"Rio Rancho, New Mexico, USA", USA,Blue,FALSE,Flyweight,MALE
Lando Vannata,Yancy Medeiros,-120,100,2/15/2020,"Rio Rancho, New Mexico, USA", USA,Red,FALSE,Lightweight,MALE
Tim Means,Daniel Rodriguez,-345,285,2/15/2020,"Rio Rancho, New Mexico, USA", USA,Blue,FALSE,Welterweight,MALE
John Dodson,Nathaniel Wood,130,-150,2/15/2020,"Rio Rancho, New Mexico, USA", USA,Red,FALSE,Bantamweight,MALE
Jim Miller,Scott Holtzman,115,-135,2/15/2020,"Rio Rancho, New Mexico, USA", USA,Blue,FALSE,Lightweight,MALE
Devin Clark,Dequan Townsend,-400,325,2/15/2020,"Rio Rancho, New Mexico, USA", USA,Red,FALSE,Light Heavyweight,MALE
Casey Kenney,Merab Dvalishvili,150,-170,2/15/2020,"Rio Rancho, New Mexico, USA", USA,Blue,FALSE,Bantamweight,MALE
Macy Chiasson,Shanna Young,-800,550,2/15/2020,"Rio Rancho, New Mexico, USA", USA,Red,FALSE,Women's Bantamweight,FEMALE
Mark De La Rosa,Raulian Paiva,205,-245,2/15/2020,"Rio Rancho, New Mexico, USA", USA,Blue,FALSE,Flyweight,MALE
Germaine De Randamie,Aspen Ladd,100,-120,7/13/2019,"Sacramento, California, USA", USA,Red,FALSE,Women's Bantamweight,FEMALE
Urijah Faber,Ricky Simon,320,-355,7/13/2019,"Sacramento, California, USA", USA,Red,FALSE,Bantamweight,MALE
Josh Emmett,Mirsad Bektic,150,-170,7/13/2019,"Sacramento, California, USA", USA,Red,FALSE,Featherweight,MALE
Karl Roberson,Wellington Turman,-220,180,7/13/2019,"Sacramento, California, USA", USA,Red,FALSE,Middleweight,MALE
Marvin Vettori,Cezar Ferreira,-220,180,7/13/2019,"Sacramento, California, USA", USA,Red,FALSE,Middleweight,MALE
Andre Fili,Sheymon Moraes,-160,140,7/13/2019,"Sacramento, California, USA", USA,Red,FALSE,Featherweight,MALE
Julianna Pena,Nicco Montano,-250,210,7/13/2019,"Sacramento, California, USA", USA,Red,FALSE,Women's Bantamweight,FEMALE
Darren Elkins,Ryan Hall,-115,-105,7/13/2019,"Sacramento, California, USA", USA,Blue,FALSE,Featherweight,MALE
Liu Pingyuan,Jonathan Martinez,-220,180,7/13/2019,"Sacramento, California, USA", USA,Blue,FALSE,Bantamweight,MALE
Livinha Souza,Brianna Van Buren,-115,-105,7/13/2019,"Sacramento, California, USA", USA,Blue,FALSE,Women's Strawweight,FEMALE
Benito Lopez,Vince Morales,-105,-105,7/13/2019,"Sacramento, California, USA", USA,Red,FALSE,Bantamweight,MALE
Rafael Dos Anjos,Leon Edwards,-110,-110,7/20/2019,"San Antonio, Texas, USA", USA,Blue,FALSE,Welterweight,MALE
Aleksei Oleinik,Walt Harris,130,-150,7/20/2019,"San Antonio, Texas, USA", USA,Blue,FALSE,Heavyweight,MALE
Greg Hardy,Juan Adams,-105,-115,7/20/2019,"San Antonio, Texas, USA", USA,Red,FALSE,Heavyweight,MALE
James Vick,Dan Hooker,105,-125,7/20/2019,"San Antonio, Texas, USA", USA,Blue,FALSE,Lightweight,MALE
Alexander Hernandez,Francisco Trinaldo,-250,210,7/20/2019,"San Antonio, Texas, USA", USA,Red,FALSE,Lightweight,MALE
Andrei Arlovski,Ben Rothwell,155,-175,7/20/2019,"San Antonio, Texas, USA", USA,Red,FALSE,Heavyweight,MALE
Alex Caceres,Steven Peterson,-115,-105,7/20/2019,"San Antonio, Texas, USA", USA,Red,FALSE,Featherweight,MALE
Raquel Pennington,Irene Aldana,115,-135,7/20/2019,"San Antonio, Texas, USA", USA,Red,FALSE,Women's Bantamweight,FEMALE
Sam Alvey,Klidson Abreu,145,-165,7/20/2019,"San Antonio, Texas, USA", USA,Blue,FALSE,Light Heavyweight,MALE
Roxanne Modafferi,Jennifer Maia,110,-130,7/20/2019,"San Antonio, Texas, USA", USA,Blue,FALSE,Women's Flyweight,FEMALE
Ray Borg,Gabriel Silva,-185,160,7/20/2019,"San Antonio, Texas, USA", USA,Red,FALSE,Bantamweight,MALE
Mario Bautista,Jin Soo Son,150,-170,7/20/2019,"San Antonio, Texas, USA", USA,Red,FALSE,Bantamweight,MALE
Domingo Pilarte,Felipe Colares,-400,325,7/20/2019,"San Antonio, Texas, USA", USA,Blue,FALSE,Bantamweight,MALE
Max Holloway,Frankie Edgar,-335,275,7/27/2019,"Edmonton, Alberta, Canada", Canada,Red,TRUE,Featherweight,MALE
Cris Cyborg,Felicia Spencer,-380,315,7/27/2019,"Edmonton, Alberta, Canada", Canada,Red,FALSE,Women's Featherweight,FEMALE
Geoff Neal,Niko Price,-335,275,7/27/2019,"Edmonton, Alberta, Canada", Canada,Red,FALSE,Welterweight,MALE
Olivier Aubin-Mercier,Arman Tsarukyan,145,-165,7/27/2019,"Edmonton, Alberta, Canada", Canada,Blue,FALSE,Lightweight,MALE
Marc-Andre Barriault,Krzystof Jotko,145,-165,7/27/2019,"Edmonton, Alberta, Canada", Canada,Blue,FALSE,Middleweight,MALE
Alexis Davis,Viviane Araujo,165,-190,7/27/2019,"Edmonton, Alberta, Canada", Canada,Blue,FALSE,Women's Flyweight,FEMALE
Hakeem Dawodu,Yoshinori Horie,-440,350,7/27/2019,"Edmonton, Alberta, Canada", Canada,Red,FALSE,Featherweight,MALE
Gavin Tucker,Seungwoo Choi,120,-140,7/27/2019,"Edmonton, Alberta, Canada", Canada,Red,FALSE,Featherweight,MALE
Alexandre Pantoja,Deiveson Figueiredo,-140,120,7/27/2019,"Edmonton, Alberta, Canada", Canada,Blue,FALSE,Flyweight,MALE
Gillian Robertson,Sarah Frota,-150,130,7/27/2019,"Edmonton, Alberta, Canada", Canada,Red,FALSE,Women's Flyweight,FEMALE
Erik Koch,Kyle Stewart,-140,120,7/27/2019,"Edmonton, Alberta, Canada", Canada,Red,FALSE,Welterweight,MALE
Colby Covington,Robbie Lawler,-300,250,8/3/2019,"Newark, New Jersey, USA", USA,Red,FALSE,Welterweight,MALE
Jim Miller,Clay Guida,-140,130,8/3/2019,"Newark, New Jersey, USA", USA,Red,FALSE,Lightweight,MALE
Joaquim Silva,Nasrat Haqparast,315,-380,8/3/2019,"Newark, New Jersey, USA", USA,Blue,FALSE,Lightweight,MALE
Trevin Giles,Gerald Meerschaert,-170,150,8/3/2019,"Newark, New Jersey, USA", USA,Blue,FALSE,Middleweight,MALE
Scott Holtzman,Dong Hyun Ma,-390,320,8/3/2019,"Newark, New Jersey, USA", USA,Red,FALSE,Lightweight,MALE
Darko Stosic,Kennedy Nzechukwu,-120,100,8/3/2019,"Newark, New Jersey, USA", USA,Blue,FALSE,Light Heavyweight,MALE
Mickey Gall,Salim Touahri,100,-120,8/3/2019,"Newark, New Jersey, USA", USA,Red,FALSE,Welterweight,MALE
Antonina Shevchenko,Lucie Pudilova,-160,140,8/3/2019,"Newark, New Jersey, USA", USA,Red,FALSE,Women's Flyweight,FEMALE
Jordan Espinosa,Matt Schnell,-155,145,8/3/2019,"Newark, New Jersey, USA", USA,Blue,FALSE,Flyweight,MALE
Lauren Murphy,Mara Romero Borella,180,-220,8/3/2019,"Newark, New Jersey, USA", USA,Red,FALSE,Women's Flyweight,FEMALE
Claudio Silva,Cole Williams,-550,425,8/3/2019,"Newark, New Jersey, USA", USA,Red,FALSE,Welterweight,MALE
Miranda Granger,Hannah Goldy,-105,-115,8/3/2019,"Newark, New Jersey, USA", USA,Red,FALSE,Women's Flyweight,FEMALE
Jon Jones,Dominick Reyes,-460,365,2/8/2020,"Houston, Texas, USA", USA,Red,TRUE,Light Heavyweight,MALE
Valentina Shevchenko,Katlyn Chookagian,-920,610,2/8/2020,"Houston, Texas, USA", USA,Red,TRUE,Women's Flyweight,FEMALE
Juan Adams,Justin Tafa,-240,200,2/8/2020,"Houston, Texas, USA", USA,Blue,FALSE,Heavyweight,MALE
Mirsad Bektic,Dan Ige,-125,105,2/8/2020,"Houston, Texas, USA", USA,Blue,FALSE,Featherweight,MALE
Derrick Lewis,Ilir Latifi,-225,185,2/8/2020,"Houston, Texas, USA", USA,Red,FALSE,Heavyweight,MALE
Trevin Giles,James Krause,-170,130,2/8/2020,"Houston, Texas, USA", USA,Red,FALSE,Middleweight,MALE
Alex Morono,Kalinn Williams,-345,285,2/8/2020,"Houston, Texas, USA", USA,Blue,FALSE,Welterweight,MALE
Lauren Murphy,Andrea Lee,260,-320,2/8/2020,"Houston, Texas, USA", USA,Red,FALSE,Women's Flyweight,FEMALE
Miles Johns,Mario Bautista,-132,112,2/8/2020,"Houston, Texas, USA", USA,Blue,FALSE,Bantamweight,MALE
Domingo Pilarte,Journey Newson,-125,105,2/8/2020,"Houston, Texas, USA", USA,Blue,FALSE,Bantamweight,MALE
Andre Ewell,Jonathan Martinez,-133,113,2/8/2020,"Houston, Texas, USA", USA,Red,FALSE,Bantamweight,MALE
Austin Lingo,Youssef Zalel,-210,175,2/8/2020,"Houston, Texas, USA", USA,Blue,FALSE,Featherweight,MALE
Valentina Shevchenko,Liz Carmouche,-1100,700,8/10/2019,"Montevideo, Uruguay", Uruguay,Red,TRUE,Women's Flyweight,FEMALE
Vincente Luque,Mike Perry,-250,210,8/10/2019,"Montevideo, Uruguay", Uruguay,Red,FALSE,Welterweight,MALE
Luiz Garagorri,Humberto Bandenay,-145,125,8/10/2019,"Montevideo, Uruguay", Uruguay,Red,FALSE,Featherweight,MALE
Volkan Oezdemir,Ilir Latifi,-190,165,8/10/2019,"Montevideo, Uruguay", Uruguay,Red,FALSE,Light Heavyweight,MALE
Rodolfo Vieira,Oskar Piechota,-225,185,8/10/2019,"Montevideo, Uruguay", Uruguay,Red,FALSE,Middleweight,MALE
Enrique Barzola,Bobby Moffett,-165,145,8/10/2019,"Montevideo, Uruguay", Uruguay,Red,FALSE,Featherweight,MALE
Gilbert Burns,Aleksei Kunchenko,120,-140,8/10/2019,"Montevideo, Uruguay", Uruguay,Red,FALSE,Welterweight,MALE
Ciryl Gane,Raphael Pessoa Nunes,-470,375,8/10/2019,"Montevideo, Uruguay", Uruguay,Red,FALSE,Heavyweight,MALE
Tecia Torres,Marina Rodriguez,-160,140,8/10/2019,"Montevideo, Uruguay", Uruguay,Blue,FALSE,Women's Strawweight,FEMALE
Rogerio Bontorin,Raulian Paiva,100,-120,8/10/2019,"Montevideo, Uruguay", Uruguay,Red,FALSE,Flyweight,MALE
Geraldo de Freitas,Chris Gutierrez,-175,155,8/10/2019,"Montevideo, Uruguay", Uruguay,Blue,FALSE,Bantamweight,MALE
Kazula Vargas,Alex Da Silva,240,-280,8/10/2019,"Montevideo, Uruguay", Uruguay,Blue,FALSE,Lightweight,MALE
Veronica Macedo,Polyana Viana,-130,110,8/10/2019,"Montevideo, Uruguay", Uruguay,Red,FALSE,Women's Flyweight,FEMALE
Daniel Cormier,Stipe Miocic,-145,125,8/17/2019,"Anaheim, California, USA", USA,Blue,TRUE,Heavyweight,MALE
Anthony Pettis,Nate Diaz,-120,100,8/17/2019,"Anaheim, California, USA", USA,Blue,FALSE,Welterweight,MALE
Yoel Romero,Paulo Costa,-165,145,8/17/2019,"Anaheim, California, USA", USA,Blue,FALSE,Middleweight,MALE
Gabriel Benitez,Sodiq Yusuff,235,-275,8/17/2019,"Anaheim, California, USA", USA,Blue,FALSE,Featherweight,MALE
Derek Brunson,Ian Heinisch,140,-160,8/17/2019,"Anaheim, California, USA", USA,Red,FALSE,Middleweight,MALE
Devonte Smith,Khama Worthy,-1000,650,8/17/2019,"Anaheim, California, USA", USA,Blue,FALSE,Lightweight,MALE
Raphael Assuncao,Cory Sandhagen,220,-260,8/17/2019,"Anaheim, California, USA", USA,Blue,FALSE,Bantamweight,MALE
Christos Giagos,Drakkar Klose,165,-190,8/17/2019,"Anaheim, California, USA", USA,Blue,FALSE,Lightweight,MALE
Manny Bermudez,Casey Kenney,-170,150,8/17/2019,"Anaheim, California, USA", USA,Blue,FALSE,Catch Weight,MALE
Hannah Cifers,Jodie Esquibel,-290,245,8/17/2019,"Anaheim, California, USA", USA,Red,FALSE,Women's Strawweight,FEMALE
Kyung Ho Kang,Brandon Davis,-190,165,8/17/2019,"Anaheim, California, USA", USA,Red,FALSE,Bantamweight,MALE
Sabina Mazo,Shana Dobson,-145,125,8/17/2019,"Anaheim, California, USA", USA,Red,FALSE,Women's Flyweight,FEMALE
Jessica Andrade,Zhang Weili,-200,170,8/31/2019,"Shenzhen, Guangdong, China", China,Blue,TRUE,Women's Strawweight,FEMALE
Li Jingliang,Elizeu Dos Santos,215,-255,8/31/2019,"Shenzhen, Guangdong, China", China,Red,FALSE,Welterweight,MALE
Kai Kara-France,Mark De La Rosa,-185,160,8/31/2019,"Shenzhen, Guangdong, China", China,Red,FALSE,Flyweight,MALE
Song Kenan,Derrick,-110,-110,8/31/2019,"Shenzhen, Guangdong, China", China,Red,FALSE,Welterweight,MALE
Wu Yanan,Mizuki Inoue,150,-170,8/31/2019,"Shenzhen, Guangdong, China", China,Blue,FALSE,Women's Flyweight,FEMALE
Junyong Park,Anthony Hernandez,125,-145,8/31/2019,"Shenzhen, Guangdong, China", China,Blue,FALSE,Middleweight,MALE
Su Mudaerji,Andre Soukhamthath,140,-160,8/31/2019,"Shenzhen, Guangdong, China", China,Red,FALSE,Bantamweight,MALE
Da Un Jung,Khadis Ibragimov,245,-290,8/31/2019,"Shenzhen, Guangdong, China", China,Red,FALSE,Light Heavyweight,MALE
Damir Ismagulov,Thiago Moises,-220,180,8/31/2019,"Shenzhen, Guangdong, China", China,Red,FALSE,Lightweight,MALE
Heili Alateng,Danaa Batgerel,-120,100,8/31/2019,"Shenzhen, Guangdong, China", China,Red,FALSE,Bantamweight,MALE
Karol Rosa,Lara Procopio,-115,-105,8/31/2019,"Shenzhen, Guangdong, China", China,Red,FALSE,Women's Bantamweight,FEMALE
Khabib Nurmagomedov,Dustin Poirier,-400,325,9/7/2019,"Abu Dhabi, Abu Dhabi, United Arab Emirates", United Arab Emirates,Red,TRUE,Lightweight,MALE
Edson Barboza,Paul Felder,-120,100,9/7/2019,"Abu Dhabi, Abu Dhabi, United Arab Emirates", United Arab Emirates,Blue,FALSE,Lightweight,MALE
Islam Makhachev,Davi Ramos,-380,315,9/7/2019,"Abu Dhabi, Abu Dhabi, United Arab Emirates", United Arab Emirates,Red,FALSE,Lightweight,MALE
Curtis Blaydes,Shamil Abdurakhimov,-550,425,9/7/2019,"Abu Dhabi, Abu Dhabi, United Arab Emirates", United Arab Emirates,Red,FALSE,Heavyweight,MALE
Mairbek Taisumov,Diego Ferreira,-245,205,9/7/2019,"Abu Dhabi, Abu Dhabi, United Arab Emirates", United Arab Emirates,Blue,FALSE,Lightweight,MALE
Joanne Calderwood,Andrea Lee,210,-250,9/7/2019,"Abu Dhabi, Abu Dhabi, United Arab Emirates", United Arab Emirates,Red,FALSE,Women's Flyweight,FEMALE
Zubaira Tukhugov,Lerone Murphy,-300,250,9/7/2019,"Abu Dhabi, Abu Dhabi, United Arab Emirates", United Arab Emirates,Draw,FALSE,Featherweight,MALE
Liana Jojua,Sarah Moras,-155,135,9/7/2019,"Abu Dhabi, Abu Dhabi, United Arab Emirates", United Arab Emirates,Blue,FALSE,Women's Bantamweight,FEMALE
Ottman Azaitar,Teemu Packalen,-190,165,9/7/2019,"Abu Dhabi, Abu Dhabi, United Arab Emirates", United Arab Emirates,Red,FALSE,Lightweight,MALE
Belal Muhammad,Takashi Sato,-390,320,9/7/2019,"Abu Dhabi, Abu Dhabi, United Arab Emirates", United Arab Emirates,Red,FALSE,Welterweight,MALE
Nordine Taleb,Muslim Salikhov,-130,110,9/7/2019,"Abu Dhabi, Abu Dhabi, United Arab Emirates", United Arab Emirates,Blue,FALSE,Welterweight,MALE
