R_fighter,B_fighter,finish,finish_details,date
Calvin Kattar,Dan Ige,,,7/15/2020
Tim Elliott,Ryan Benoit,,,7/15/2020
Jimmie Rivera,Cody Stamann,,,7/15/2020
Molly McCann,Taila Santos,,,7/15/2020
Abdul Razak Alhassan,Mounir Lazzez,,,7/15/2020
John Phillips,Khamzat Chimaev,,,7/15/2020
Ricardo Ramos,Lerone Murphy,,,7/15/2020
Modestas Bukauskas,Andreas Michailidis,,,7/15/2020
Jared Gordon,Chris Fishgold,,,7/15/2020
Diana Belbita,Liana Jojua,,,7/15/2020
Jack Shore,Aaron Phillips,,,7/15/2020
Jorge Gonzalez,Kenneth Bergh,,,7/15/2020
Kamaru Usman,Jorge Masvidal,U-DEC,,7/11/2020
Alexander Volkanovski,Max Holloway,S-DEC,,7/11/2020
Petr Yan,Jose Aldo,KO/TKO,Punches,7/11/2020
Rose Namajunas,Jessica Andrade,S-DEC,,7/11/2020
Amanda Ribas,Paige VanZant,SUB,Armbar,7/11/2020
Jiri Prochazka,Volkan Oezdemir,KO/TKO,Punch,7/11/2020
Muslim Salikhov,Elizeu Zaleski dos Santos,S-DEC,,7/11/2020
Makwan Amirkhani,Danny Henry,SUB,Anaconda Choke,7/11/2020
Leonardo Santos,Roman Bogatov,U-DEC,,7/11/2020
Marcin Tybura,Maxim Grishin,U-DEC,,7/11/2020
Raulian Paiva,Zhalgas Zhumagulov,U-DEC,,7/11/2020
Karol Rosa,Vanessa Melo,U-DEC,,7/11/2020
Davey Grant,Martin Day,KO/TKO,Punch,7/11/2020
Dustin Poirier,Dan Hooker,U-DEC,,6/27/2020
Mike Perry,Mickey Gall,U-DEC,,6/27/2020
Maurice Greene,Gian Villante,SUB,Arm Triangle,6/27/2020
Brendan Allen,Kyle Daukaus,U-DEC,,6/27/2020
Takashi Sato,Jason Witt,KO/TKO,Punches,6/27/2020
Julian Erosa,Sean Woodson,SUB,D'Arce Choke,6/27/2020
Khama Worthy,Luis Pena,SUB,Guillotine Choke,6/27/2020
Tanner Boser,Philipe Lins,KO/TKO,Punches,6/27/2020
Kay Hansen,Jinh Yu Frey,SUB,Armbar,6/27/2020
Youssef Zalal,Jordan Griffin,U-DEC,,6/27/2020
Curtis Blaydes,Alexander Volkov,U-DEC,,6/20/2020
Josh Emmett,Shane Burgos,U-DEC,,6/20/2020
Raquel Pennington,Marion Reneau,U-DEC,,6/20/2020
Belal Muhammad,Lyman Good,U-DEC,,6/20/2020
Jim Miller,Roosevelt Roberts,SUB,Armbar,6/20/2020
Bobby Green,Clay Guida,U-DEC,,6/20/2020
Tecia Torres,Brianna Van Buren,U-DEC,,6/20/2020
Marc-Andre Barriault,Oskar Piechota,KO/TKO,Punches,6/20/2020
Gillian Robertson,Cortney Casey,SUB,Rear Naked Choke,6/20/2020
Justin Jaynes,Frank Camacho,KO/TKO,Punches,6/20/2020
Lauren Murphy,Roxanne Modafferi,U-DEC,,6/20/2020
Austin Hubbard,Max Rohskopf,KO/TKO,,6/20/2020
Cynthia Calvillo,Jessica Eye,U-DEC,,6/13/2020
Marvin Vettori,Karl Roberson,SUB,Rear Naked Choke,6/13/2020
Charles Rosa,Kevin Aguilar,S-DEC,,6/13/2020
Andre Fili,Charles Jourdain,S-DEC,,6/13/2020
Jordan Espinosa,Mark De La Rosa,U-DEC,,6/13/2020
Mariya Agapova,Hannah Cifers,SUB,Rear Naked Choke,6/13/2020
Merab Dvalishvili,Gustavo Lopez,U-DEC,,6/13/2020
Julia Avila,Gina Mazany,KO/TKO,Punches,6/13/2020
Tyson Nam,Zarrukh Adashev,KO/TKO,Punch,6/13/2020
Christian Aguilera,Anthony Ivy,KO/TKO,Punches,6/13/2020
Amanda Nunes,Felicia Spencer,U-DEC,,6/6/2020
Cody Garbrandt,Raphael Assuncao,KO/TKO,Punch,6/6/2020
Aljamain Sterling,Cory Sandhagen,SUB,Rear Naked Choke,6/6/2020
Neil Magny,Anthony Rocco Martin,U-DEC,,6/6/2020
Sean O'Malley,Eddie Wineland,KO/TKO,Punch,6/6/2020
Alex Caceres,Chase Hooper,U-DEC,,6/6/2020
Ian Heinisch,Gerald Meerschaert,KO/TKO,Punch,6/6/2020
Cody Stamann,Brian Kelleher,U-DEC,,6/6/2020
Maki Pitolo,Charles Byrd,KO/TKO,Punches,6/6/2020
Alex Perez,Jussier Formiga,KO/TKO,Kick,6/6/2020
Devin Clark,Alonzo Menifield,U-DEC,,6/6/2020
Herbert Burns,Evan Dunham,SUB,Rear Naked Choke,6/6/2020
Gilbert Burns,Tyron Woodley,U-DEC,,5/30/2020
Augusto Sakai,Blagoy Ivanov,S-DEC,,5/30/2020
Billy Quarantillo,Spike Carlyle,U-DEC,,5/30/2020
Roosevelt Roberts,Brok Weaver,SUB,Rear Naked Choke,5/30/2020
Mackenzie Dern,Hannah Cifers,SUB,Kneebar,5/30/2020
Katlyn Chookagian,Antonina Shevchenko,U-DEC,,5/30/2020
Daniel Rodriguez,Gabe Green,U-DEC,,5/30/2020
Jamahal Hill,Klidson Abreu,KO/TKO,Knee,5/30/2020
Brandon Royval,Tim Elliott,SUB,Arm Triangle,5/30/2020
Casey Kenney,Louis Smolka,SUB,Guillotine Choke,5/30/2020
Chris Gutierrez,Vince Morales,KO/TKO,Kick,5/30/2020
Alistair Overeem,Walt Harris,KO/TKO,Punches,5/16/2020
Claudia Gadelha,Angela Hill,S-DEC,,5/16/2020
Dan Ige,Edson Barboza,S-DEC,,5/16/2020
Krzysztof Jotko,Eryk Anders,U-DEC,,5/16/2020
Song Yadong,Marlon Vera,U-DEC,,5/16/2020
Miguel Baeza,Matt Brown,KO/TKO,Punch,5/16/2020
Kevin Holland,Anthony Hernandez,KO/TKO,Knees,5/16/2020
Giga Chikadze,Irwin Rivera,U-DEC,,5/16/2020
Nate Landwehr,Darren Elkins,U-DEC,,5/16/2020
Cortney Casey,Mara Romero Borella,SUB,Armbar,5/16/2020
Rodrigo Nascimento,Don'Tale Mayes,SUB,Rear Naked Choke,5/16/2020
Glover Teixeira,Anthony Smith,KO/TKO,Punches,5/13/2020
Ben Rothwell,Ovince Saint Preux,S-DEC,,5/13/2020
Drew Dober,Alexander Hernandez,KO/TKO,Punches,5/13/2020
Ricky Simon,Ray Borg,S-DEC,,5/13/2020
Andrei Arlovski,Philipe Lins,U-DEC,,5/13/2020
Thiago Moises,Michael Johnson,SUB,Ankle Lock,5/13/2020
Sijara Eubanks,Sarah Moras,U-DEC,,5/13/2020
Omar Morales,Gabriel Benitez,U-DEC,,5/13/2020
Brian Kelleher,Hunter Azure,KO/TKO,Punch,5/13/2020
Chase Sherman,Ike Villanueva,KO/TKO,Elbow,5/13/2020
Justin Gaethje,Tony Ferguson,KO/TKO,Punch,5/9/2020
Henry Cejudo,Dominick Cruz,KO/TKO,Knee,5/9/2020
Francis Ngannou,Jairzinho Rozenstruik,KO/TKO,Punch,5/9/2020
Calvin Kattar,Jeremy Stephens,KO/TKO,Elbow,5/9/2020
Greg Hardy,Yorgan De Castro,U-DEC,,5/9/2020
Anthony Pettis,Donald Cerrone,U-DEC,,5/9/2020
Aleksei Oleinik,Fabricio Werdum,S-DEC,,5/9/2020
Carla Esparza,Michelle Waterson,S-DEC,,5/9/2020
Vicente Luque,Niko Price,KO/TKO,Punches,5/9/2020
Bryce Mitchell,Charles Rosa,U-DEC,,5/9/2020
Ryan Spann,Sam Alvey,S-DEC,,5/9/2020
Charles Oliveira,Kevin Lee,SUB,Guillotine Choke,3/14/2020
Gilbert Burns,Demian Maia,KO/TKO,Punch,3/14/2020
Renato Moicano,Damir Hadzovic,SUB,Rear Naked Choke,3/14/2020
Nikita Krylov,Johnny Walker,U-DEC,,3/14/2020
Francisco Trinaldo,John Makdessi,U-DEC,,3/14/2020
Brandon Moreno,Jussier Formiga,U-DEC,,3/14/2020
Amanda Ribas,Randa Markos,U-DEC,,3/14/2020
Elizeu Zaleski dos Santos,Aleksei Kunchenko,U-DEC,,3/14/2020
Rani Yahya,Enrique Barzola,M-DEC,,3/14/2020
Maryna Moroz,Mayra Bueno Silva,U-DEC,,3/14/2020
David Dvorak,Bruno Silva,U-DEC,,3/14/2020
Bea Malecki,Veronica Macedo,U-DEC,,3/14/2020
Israel Adesanya,Yoel Romero,U-DEC,,3/7/2020
Weili Zhang,Joanna Jedrzejczyk,S-DEC,,3/7/2020
Beneil Dariush,Drakkar Klose,KO/TKO,Punch,3/7/2020
Neil Magny,Jingliang Li,U-DEC,,3/7/2020
Alex Oliveira,Max Griffin,S-DEC,,3/7/2020
Sean O'Malley,Jose Quinonez,KO/TKO,Punches,3/7/2020
Mark Madsen,Austin Hubbard,U-DEC,,3/7/2020
Rodolfo Vieira,Saparbeg Safarov,SUB,Arm Triangle,3/7/2020
Gerald Meerschaert,Deron Winn,SUB,Rear Naked Choke,3/7/2020
Giga Chikadze,Jamall Emmers,S-DEC,,3/7/2020
Danaa Batgerel,Guido Cannetti,KO/TKO,Punch,3/7/2020
Deiveson Figueiredo,Joseph Benavidez,KO/TKO,Punch,2/29/2020
Felicia Spencer,Zarah Fairn,KO/TKO,Punches,2/29/2020
Magomed Ankalaev,Ion Cutelaba,KO/TKO,Punches,2/29/2020
Megan Anderson,Norma Dumont,KO/TKO,Punch,2/29/2020
Grant Dawson,Darrick Minner,SUB,Rear Naked Choke,2/29/2020
Kyler Phillips,Gabriel Silva,U-DEC,,2/29/2020
Brendan Allen,Tom Breese,KO/TKO,Punches,2/29/2020
Marcin Tybura,Serghei Spivac,U-DEC,,2/29/2020
Luis Pena,Steve Garcia,U-DEC,,2/29/2020
Jordan Griffin,TJ Brown,SUB,Guillotine Choke,2/29/2020
Spike Carlyle,Aalon Cruz,KO/TKO,Punches,2/29/2020
Sean Brady,Ismail Naurdiev,U-DEC,,2/29/2020
Dan Hooker,Paul Felder,S-DEC,,2/22/2020
Jimmy Crute,Michal Oleksiejczuk,SUB,Kimura,2/22/2020
Xiaonan Yan,Karolina Kowalkiewicz,U-DEC,,2/22/2020
Marcos Rogerio de Lima,Ben Sosoli,KO/TKO,Punch,2/22/2020
Brad Riddell,Magomed Mustafaev,S-DEC,,2/22/2020
Zubaira Tukhugov,Kevin Aguilar,KO/TKO,Punches,2/22/2020
Jalin Turner,Josh Culibao,KO/TKO,Punches,2/22/2020
Jake Matthews,Emil Meek,U-DEC,,2/22/2020
Kenan Song,Callan Potter,KO/TKO,Punch,2/22/2020
Kai Kara-France,Tyson Nam,U-DEC,,2/22/2020
Angela Hill,Loma Lookboonmee,U-DEC,,2/22/2020
Priscila Cachoeira,Shana Dobson,KO/TKO,Punch,2/22/2020
Jan Blachowicz,Corey Anderson,KO/TKO,Punch,2/15/2020
Diego Sanchez,Michel Pereira,DQ,,2/15/2020
Montana De La Rosa,Mara Romero Borella,U-DEC,,2/15/2020
Brok Weaver,Kazula Vargas,DQ,,2/15/2020
Ray Borg,Rogerio Bontorin,U-DEC,,2/15/2020
Lando Vannata,Yancy Medeiros,U-DEC,,2/15/2020
Daniel Rodriguez,Tim Means,SUB,Guillotine Choke,2/15/2020
John Dodson,Nathaniel Wood,KO/TKO,Punch,2/15/2020
Scott Holtzman,Jim Miller,U-DEC,,2/15/2020
Devin Clark,Dequan Townsend,U-DEC,,2/15/2020
Merab Dvalishvili,Casey Kenney,U-DEC,,2/15/2020
Macy Chiasson,Shanna Young,U-DEC,,2/15/2020
Raulian Paiva,Mark De La Rosa,KO/TKO,Punch,2/15/2020
Jon Jones,Dominick Reyes,U-DEC,,2/8/2020
Valentina Shevchenko,Katlyn Chookagian,KO/TKO,Punches,2/8/2020
Justin Tafa,Juan Adams,KO/TKO,Punch,2/8/2020
Dan Ige,Mirsad Bektic,S-DEC,,2/8/2020
Derrick Lewis,Ilir Latifi,U-DEC,,2/8/2020
Trevin Giles,James Krause,S-DEC,,2/8/2020
Lauren Murphy,Andrea Lee,S-DEC,,2/8/2020
Khaos Williams,Alex Morono,KO/TKO,Punch,2/8/2020
Mario Bautista,Miles Johns,KO/TKO,Flying Knee,2/8/2020
Domingo Pilarte,Journey Newson,Overturned,Punch,2/8/2020
Andre Ewell,Jonathan Martinez,S-DEC,,2/8/2020
Youssef Zalal,Austin Lingo,U-DEC,,2/8/2020
Curtis Blaydes,Junior Dos Santos,KO/TKO,Punches,1/25/2020
Michael Chiesa,Rafael Dos Anjos,U-DEC,,1/25/2020
Alex Perez,Jordan Espinosa,SUB,Arm Triangle,1/25/2020
Angela Hill,Hannah Cifers,KO/TKO,Elbows,1/25/2020
Jamahal Hill,Darko Stosic,U-DEC,,1/25/2020
Bevon Lewis,Dequan Townsend,U-DEC,,1/25/2020
Arnold Allen,Nik Lentz,U-DEC,,1/25/2020
Justine Kish,Lucie Pudilova,U-DEC,,1/25/2020
Montel Jackson,Felipe Colares,U-DEC,,1/25/2020
Sara McMann,Lina Lansberg,U-DEC,,1/25/2020
Brett Johns,Tony Gravely,SUB,Rear Naked Choke,1/25/2020
Herbert Burns,Nate Landwehr,KO/TKO,Knee,1/25/2020
Conor McGregor,Donald Cerrone,KO/TKO,Punches,1/18/2020
Holly Holm,Raquel Pennington,U-DEC,,1/18/2020
Aleksei Oleinik,Maurice Greene,SUB,Armbar,1/18/2020
Brian Kelleher,Ode Osbourne,SUB,Guillotine Choke,1/18/2020
Diego Ferreira,Anthony Pettis,SUB,Rear Naked Choke,1/18/2020
Roxanne Modafferi,Maycee Barber,U-DEC,,1/18/2020
Sodiq Yusuff,Andre Fili,U-DEC,,1/18/2020
Askar Askarov,Tim Elliott,U-DEC,,1/18/2020
Drew Dober,Nasrat Haqparast,KO/TKO,Punch,1/18/2020
Aleksa Camur,Justin Ledet,U-DEC,,1/18/2020
Sabina Mazo,JJ Aldrich,S-DEC,,1/18/2020
Chan Sung Jung,Frankie Edgar,KO/TKO,Punches,12/21/2019
Volkan Oezdemir,Aleksandar Rakic,S-DEC,,12/21/2019
Charles Jourdain,Dooho Choi,KO/TKO,Punches,12/21/2019
Da-Un Jung,Mike Rodriguez,KO/TKO,Punch,12/21/2019
Junyong Park,Marc-Andre Barriault,U-DEC,,12/21/2019
Kyung Ho Kang,Liu Pingyuan,S-DEC,,12/21/2019
Ciryl Gane,Tanner Boser,U-DEC,,12/21/2019
SeungWoo Choi,Suman Mokhtarian,U-DEC,,12/21/2019
Omar Morales,Dong Hyun Ma,U-DEC,,12/21/2019
Alexandre Pantoja,Matt Schnell,KO/TKO,Punch,12/21/2019
Raoni Barcelos,Said Nurmagomedov,U-DEC,,12/21/2019
Amanda Lemos,Miranda Granger,SUB,Rear Naked Choke,12/21/2019
Heili Alateng,Ryan Benoit,S-DEC,,12/21/2019
Kamaru Usman,Colby Covington,KO/TKO,Punch,12/14/2019
Alexander Volkanovski,Max Holloway,U-DEC,,12/14/2019
Amanda Nunes,Germaine de Randamie,U-DEC,,12/14/2019
Marlon Moraes,Jose Aldo,S-DEC,,12/14/2019
Petr Yan,Urijah Faber,KO/TKO,Kick,12/14/2019
Geoff Neal,Mike Perry,KO/TKO,Punches,12/14/2019
Irene Aldana,Ketlen Vieira,KO/TKO,Punch,12/14/2019
Omari Akhmedov,Ian Heinisch,U-DEC,,12/14/2019
Matt Brown,Ben Saunders,KO/TKO,Punches,12/14/2019
Chase Hooper,Daniel Teymur,KO/TKO,Elbows,12/14/2019
Brandon Moreno,Kai Kara-France,U-DEC,,12/14/2019
Jessica Eye,Viviane Araujo,U-DEC,,12/14/2019
Punahele Soriano,Oskar Piechota,KO/TKO,Punch,12/14/2019
Jairzinho Rozenstruik,Alistair Overeem,KO/TKO,Punch,12/7/2019
Marina Rodriguez,Cynthia Calvillo,M-DEC,,12/7/2019
Ben Rothwell,Stefan Struve,KO/TKO,Punches,12/7/2019
Aspen Ladd,Yana Kunitskaya,KO/TKO,Punches,12/7/2019
Cody Stamann,Song Yadong,M-DEC,,12/7/2019
Rob Font,Ricky Simon,U-DEC,,12/7/2019
Tim Means,Thiago Alves,SUB,Guillotine Choke,12/7/2019
Billy Quarantillo,Jacob Kilburn,SUB,Triangle Choke,12/7/2019
Bryce Mitchell,Matt Sayles,SUB,Other - Lock,12/7/2019
Joe Solecki,Matt Wiman,U-DEC,,12/7/2019
Virna Jandiroba,Mallory Martin,SUB,Rear Naked Choke,12/7/2019
Makhmud Muradov,Trevor Smith,KO/TKO,Punch,12/7/2019
Jan Blachowicz,Jacare Souza,S-DEC,,11/16/2019
Mauricio Rua,Paul Craig,S-DEC,,11/16/2019
Charles Oliveira,Jared Gordon,KO/TKO,Punch,11/16/2019
Andre Muniz,Antonio Arroyo,U-DEC,,11/16/2019
Wellington Turman,Markus Perez,U-DEC,,11/16/2019
James Krause,Sergio Moraes,KO/TKO,Punch,11/16/2019
Ricardo Ramos,Eduardo Garagorri,SUB,Rear Naked Choke,11/16/2019
Francisco Trinaldo,Bobby Green,U-DEC,,11/16/2019
Randy Brown,Warlley Alves,SUB,Triangle Choke,11/16/2019
Douglas Silva de Andrade,Renan Barao,U-DEC,,11/16/2019
Ariane Lipski,Isabela de Padua,U-DEC,,11/16/2019
Tracy Cortez,Vanessa Melo,U-DEC,,11/16/2019
Zabit Magomedsharipov,Calvin Kattar,U-DEC,,11/9/2019
Alexander Volkov,Greg Hardy,U-DEC,,11/9/2019
Danny Roberts,Zelim Imadaev,KO/TKO,Punch,11/9/2019
Ed Herman,Khadis Ibragimov,U-DEC,,11/9/2019
Anthony Rocco Martin,Ramazan Emeev,U-DEC,,11/9/2019
Shamil Gamzatov,Klidson Abreu,S-DEC,,11/9/2019
Magomed Ankalaev,Dalcha Lungiambula,KO/TKO,Kick,11/9/2019
Rustam Khabilov,Sergey Khandozhko,U-DEC,,11/9/2019
Karl Roberson,Roman Kopylov,SUB,Rear Naked Choke,11/9/2019
David Zawada,Abubakar Nurmagomedov,SUB,Triangle Choke,11/9/2019
Roosevelt Roberts,Alexander Yakovlev,U-DEC,,11/9/2019
Pannie Kianzad,Jessica-Rose Clark,U-DEC,,11/9/2019
Davey Grant,Grigory Popov,S-DEC,,11/9/2019
Jorge Masvidal,Nate Diaz,KO/TKO,,11/2/2019
Darren Till,Kelvin Gastelum,S-DEC,,11/2/2019
Stephen Thompson,Vicente Luque,U-DEC,,11/2/2019
Derrick Lewis,Blagoy Ivanov,S-DEC,,11/2/2019
Kevin Lee,Gregor Gillespie,KO/TKO,Kick,11/2/2019
Corey Anderson,Johnny Walker,KO/TKO,Punches,11/2/2019
Shane Burgos,Makwan Amirkhani,KO/TKO,Punch,11/2/2019
Edmen Shahbazyan,Brad Tavares,KO/TKO,Kick,11/2/2019
Jairzinho Rozenstruik,Andrei Arlovski,KO/TKO,Punch,11/2/2019
Katlyn Chookagian,Jennifer Maia,U-DEC,,11/2/2019
Lyman Good,Chance Rencountre,KO/TKO,Punch,11/2/2019
Hakeem Dawodu,Julio Arce,S-DEC,,11/2/2019
Demian Maia,Ben Askren,SUB,Rear Naked Choke,10/26/2019
Stevie Ray,Michael Johnson,M-DEC,,10/26/2019
Beneil Dariush,Frank Camacho,SUB,Rear Naked Choke,10/26/2019
Ciryl Gane,Don'Tale Mayes,SUB,Heel Hook,10/26/2019
Muslim Salikhov,Laureano Staropoli,U-DEC,,10/26/2019
Randa Markos,Ashley Yoder,S-DEC,,10/26/2019
Rafael Fiziev,Alex White,U-DEC,,10/26/2019
Movsar Evloev,Enrique Barzola,U-DEC,,10/26/2019
Sergei Pavlovich,Maurice Greene,KO/TKO,Punches,10/26/2019
Loma Lookboonmee,Aleksandra Albu,S-DEC,,10/26/2019
Raphael Pessoa,Jeff Hughes,U-DEC,,10/26/2019
Dominick Reyes,Chris Weidman,KO/TKO,Punches,10/18/2019
Yair Rodriguez,Jeremy Stephens,U-DEC,,10/18/2019
Greg Hardy,Ben Sosoli,Overturned,,10/18/2019
Joe Lauzon,Jonathan Pearce,KO/TKO,Punches,10/18/2019
Maycee Barber,Gillian Robertson,KO/TKO,Punches,10/18/2019
Darren Stewart,Deron Winn,S-DEC,,10/18/2019
Charles Rosa,Manny Bermudez,SUB,Armbar,10/18/2019
Molly McCann,Diana Belbita,U-DEC,,10/18/2019
Sean Woodson,Kyle Bochniak,U-DEC,,10/18/2019
Randy Costa,Boston Salmon,KO/TKO,Punch,10/18/2019
Sean Brady,Court McGee,U-DEC,,10/18/2019
Brendan Allen,Kevin Holland,SUB,Rear Naked Choke,10/18/2019
Tanner Boser,Daniel Spitz,U-DEC,,10/18/2019
Joanna Jedrzejczyk,Michelle Waterson,U-DEC,,10/12/2019
Cub Swanson,Kron Gracie,U-DEC,,10/12/2019
Niko Price,James Vick,KO/TKO,Kick,10/12/2019
Amanda Ribas,Mackenzie Dern,U-DEC,,10/12/2019
Matt Frevola,Luis Pena,S-DEC,,10/12/2019
Eryk Anders,Gerald Meerschaert,S-DEC,,10/12/2019
Ryan Spann,Devin Clark,SUB,Guillotine Choke,10/12/2019
Mike Davis,Thomas Gifford,KO/TKO,Punch,10/12/2019
Alex Morono,Max Griffin,U-DEC,,10/12/2019
Deiveson Figueiredo,Tim Elliott,SUB,Guillotine Choke,10/12/2019
Marlon Vera,Andre Ewell,KO/TKO,Elbows,10/12/2019
Miguel Baeza,Hector Aldana,KO/TKO,Kick,10/12/2019
Marvin Vettori,Andrew Sanchez,U-DEC,,10/12/2019
JJ Aldrich,Lauren Mueller,U-DEC,,10/12/2019
Israel Adesanya,Robert Whittaker,KO/TKO,Punch,10/5/2019
Dan Hooker,Al Iaquinta,U-DEC,,10/5/2019
Serghei Spivac,Tai Tuivasa,SUB,Arm Triangle,10/5/2019
Dhiego Lima,Luke Jumeau,S-DEC,,10/5/2019
Yorgan De Castro,Justin Tafa,KO/TKO,Punch,10/5/2019
Jake Matthews,Rostem Akman,U-DEC,,10/5/2019
Callan Potter,Maki Pitolo,U-DEC,,10/5/2019
Brad Riddell,Jamie Mullarkey,U-DEC,,10/5/2019
Megan Anderson,Zarah Fairn,SUB,Triangle Choke,10/5/2019
Ji Yeon Kim,Nadia Kassem,KO/TKO,Punch,10/5/2019
Khalid Taha,Bruno Silva,SUB,Arm Triangle,10/5/2019
Jared Cannonier,Jack Hermansson,KO/TKO,Punch,9/28/2019
Mark Madsen,Danilo Belluardo,KO/TKO,Punches,9/28/2019
Gilbert Burns,Gunnar Nelson,U-DEC,,9/28/2019
Ion Cutelaba,Khalil Rountree Jr.,KO/TKO,Elbows,9/28/2019
Ovince Saint Preux,Michal Oleksiejczuk,SUB,Other - Choke,9/28/2019
Nicolas Dalby,Alex Oliveira,U-DEC,,9/28/2019
John Phillips,Alen Amedovski,KO/TKO,Punch,9/28/2019
Makhmud Muradov,Alessio Di Chirico,U-DEC,,9/28/2019
Ismail Naurdiev,Siyar Bahadurzada,U-DEC,,9/28/2019
Giga Chikadze,Brandon Davis,S-DEC,,9/28/2019
Lina Lansberg,Macy Chiasson,U-DEC,,9/28/2019
Marc Diakiese,Lando Vannata,U-DEC,,9/28/2019
Jack Shore,Nohelin Hernandez,SUB,Rear Naked Choke,9/28/2019
Yair Rodriguez,Jeremy Stephens,CNC,,9/21/2019
Carla Esparza,Alexa Grasso,M-DEC,,9/21/2019
Brandon Moreno,Askar Askarov,S-DEC,,9/21/2019
Irene Aldana,Vanessa Melo,U-DEC,,9/21/2019
Steven Peterson,Martin Bravo,KO/TKO,Spinning Back Fist,9/21/2019
Jose Quinonez,Carlos Huachin,U-DEC,,9/21/2019
Kyle Nelson,Marco Polo Reyes,KO/TKO,Punch,9/21/2019
Angela Hill,Ariane Carnelossi,KO/TKO,Elbow,9/21/2019
Sergio Pettis,Tyson Nam,U-DEC,,9/21/2019
Paul Craig,Vinicius Moreira,SUB,Rear Naked Choke,9/21/2019
Bethe Correia,Sijara Eubanks,U-DEC,,9/21/2019
Claudio Puelles,Marcos Mariano,U-DEC,,9/21/2019
Justin Gaethje,Donald Cerrone,KO/TKO,Punch,9/14/2019
Glover Teixeira,Nikita Krylov,S-DEC,,9/14/2019
Todd Duffee,Jeff Hughes,CNC,,9/14/2019
Tristan Connelly,Michel Pereira,U-DEC,,9/14/2019
Uriah Hall,Antonio Carlos Junior,S-DEC,,9/14/2019
Misha Cirkunov,Jimmy Crute,SUB,Peruvian Necktie,9/14/2019
Augusto Sakai,Marcin Tybura,KO/TKO,Punches,9/14/2019
Miles Johns,Cole Smith,S-DEC,,9/14/2019
Hunter Azure,Brad Katona,U-DEC,,9/14/2019
Chas Skelly,Jordan Griffin,U-DEC,,9/14/2019
Louis Smolka,Ryan MacDonald,KO/TKO,Punch,9/14/2019
Austin Hubbard,Kyle Prepolec,U-DEC,,9/14/2019
Khabib Nurmagomedov,Dustin Poirier,SUB,Rear Naked Choke,9/7/2019
Paul Felder,Edson Barboza,S-DEC,,9/7/2019
Islam Makhachev,Davi Ramos,U-DEC,,9/7/2019
Curtis Blaydes,Shamil Abdurakhimov,KO/TKO,Elbow,9/7/2019
Diego Ferreira,Mairbek Taisumov,U-DEC,,9/7/2019
Joanne Calderwood,Andrea Lee,S-DEC,,9/7/2019
Zubaira Tukhugov,Lerone Murphy,S-DEC,,9/7/2019
Sarah Moras,Liana Jojua,KO/TKO,Elbows,9/7/2019
Ottman Azaitar,Teemu Packalen,KO/TKO,Punch,9/7/2019
Belal Muhammad,Takashi Sato,SUB,Rear Naked Choke,9/7/2019
Muslim Salikhov,Nordine Taleb,KO/TKO,Punch,9/7/2019
Omari Akhmedov,Zak Cummings,U-DEC,,9/7/2019
Don Madge,Fares Ziam,U-DEC,,9/7/2019
Weili Zhang,Jessica Andrade,KO/TKO,Punch,8/31/2019
Jingliang Li,Elizeu Zaleski dos Santos,KO/TKO,Punches,8/31/2019
Kai Kara-France,Mark De La Rosa,U-DEC,,8/31/2019
Kenan Song,Derrick Krantz,U-DEC,,8/31/2019
Mizuki Inoue,Yanan Wu,S-DEC,,8/31/2019
Anthony Hernandez,Junyong Park,SUB,Anaconda Choke,8/31/2019
Su Mudaerji,Andre Soukhamthath,U-DEC,,8/31/2019
Da-Un Jung,Khadis Ibragimov,SUB,Guillotine Choke,8/31/2019
Damir Ismagulov,Thiago Moises,U-DEC,,8/31/2019
Heili Alateng,Danaa Batgerel,U-DEC,,8/31/2019
Karol Rosa,Lara Procopio,S-DEC,,8/31/2019
Stipe Miocic,Daniel Cormier,KO/TKO,Punches,8/17/2019
Nate Diaz,Anthony Pettis,U-DEC,,8/17/2019
Paulo Costa,Yoel Romero,U-DEC,,8/17/2019
Sodiq Yusuff,Gabriel Benitez,KO/TKO,Punch,8/17/2019
Derek Brunson,Ian Heinisch,U-DEC,,8/17/2019
Khama Worthy,Devonte Smith,KO/TKO,Punch,8/17/2019
Cory Sandhagen,Raphael Assuncao,U-DEC,,8/17/2019
Drakkar Klose,Christos Giagos,U-DEC,,8/17/2019
Casey Kenney,Manny Bermudez,U-DEC,,8/17/2019
Hannah Cifers,Jodie Esquibel,U-DEC,,8/17/2019
Kyung Ho Kang,Brandon Davis,S-DEC,,8/17/2019
Sabina Mazo,Shana Dobson,U-DEC,,8/17/2019
Valentina Shevchenko,Liz Carmouche,U-DEC,,8/10/2019
Vicente Luque,Mike Perry,S-DEC,,8/10/2019
Eduardo Garagorri,Humberto Bandenay,U-DEC,,8/10/2019
Volkan Oezdemir,Ilir Latifi,KO/TKO,Punch,8/10/2019
Rodolfo Vieira,Oskar Piechota,SUB,Arm Triangle,8/10/2019
Enrique Barzola,Bobby Moffett,S-DEC,,8/10/2019
Gilbert Burns,Aleksei Kunchenko,U-DEC,,8/10/2019
Ciryl Gane,Raphael Pessoa,SUB,Arm Triangle,8/10/2019
Marina Rodriguez,Tecia Torres,U-DEC,,8/10/2019
Rogerio Bontorin,Raulian Paiva,KO/TKO,,8/10/2019
