R_fighter,B_fighter,R_odds,B_odds,R_ev,B_ev,date,location,country,Winner,title_bout,weight_class,gender,no_of_rounds,B_current_lose_streak,B_current_win_streak,B_draw,B_avg_SIG_STR_landed,B_avg_SIG_STR_pct,B_avg_SUB_ATT,B_avg_TD_landed,B_avg_TD_pct,B_longest_win_streak,B_losses,B_total_rounds_fought,B_total_title_bouts,B_win_by_Decision_Majority,B_win_by_Decision_Split,B_win_by_Decision_Unanimous,B_win_by_KO/TKO,B_win_by_Submission,B_win_by_TKO_Doctor_Stoppage,B_wins,B_Stance,B_Height_cms,B_Reach_cms,B_Weight_lbs,R_current_lose_streak,R_current_win_streak,R_draw,R_avg_SIG_STR_landed,R_avg_SIG_STR_pct,R_avg_SUB_ATT,R_avg_TD_landed,R_avg_TD_pct,R_longest_win_streak,R_losses,R_total_rounds_fought,R_total_title_bouts,R_win_by_Decision_Majority,R_win_by_Decision_Split,R_win_by_Decision_Unanimous,R_win_by_KO/TKO,R_win_by_Submission,R_win_by_TKO_Doctor_Stoppage,R_wins,R_Stance,R_Height_cms,R_Reach_cms,R_Weight_lbs,R_age,B_age,lose_streak_dif,win_streak_dif,longest_win_streak_dif,win_dif,loss_dif,total_round_dif,total_title_bout_dif,ko_dif,sub_dif,height_dif,reach_dif,age_dif,sig_str_dif,avg_sub_att_dif,avg_td_dif,empty_arena,constant_1,B_match_weightclass_rank,R_match_weightclass_rank,R_Women's Flyweight_rank,R_Women's Featherweight_rank,R_Women's Strawweight_rank,R_Women's Bantamweight_rank,R_Heavyweight_rank,R_Light Heavyweight_rank,R_Middleweight_rank,R_Welterweight_rank,R_Lightweight_rank,R_Featherweight_rank,R_Bantamweight_rank,R_Flyweight_rank,R_Pound-for-Pound_rank,B_Women's Flyweight_rank,B_Women's Featherweight_rank,B_Women's Strawweight_rank,B_Women's Bantamweight_rank,B_Heavyweight_rank,B_Light Heavyweight_rank,B_Middleweight_rank,B_Welterweight_rank,B_Lightweight_rank,B_Featherweight_rank,B_Bantamweight_rank,B_Flyweight_rank,B_Pound-for-Pound_rank,better_rank,finish,finish_details
Raulian Paiva,Zhalgas Zhamagulov,-180,142,55.55555556,142.0,7/11/2020,"Abu Dhabi, Abu Dhabi, United Arab Emirates",United Arab Emirates,Red,False,Flyweight,MALE,3,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,Switch,162.56,162.56,125,0,1,0,4.81,0.43,0.3,0.35,0.2,1,2,6,0,0,0,0,1,0,0,1,Orthodox,172.72,175.26,125,24,31,0,-1,-1,-1,-2,-6,0,-1,0,-10.16,-12.7,7,-4.81,-0.3,-0.35,1,1,,14.0,,,,,,,,,,,,14.0,,,,,,,,,,,,,,,Red,,
Karol Rosa,Vanessa Melo,-250,195,40.0,195.0,7/11/2020,"Abu Dhabi, Abu Dhabi, United Arab Emirates",United Arab Emirates,Red,False,Women's Bantamweight,FEMALE,3,2,0,0,3.6,0.28,0.0,0.0,0.0,0,2,6,0,0,0,0,0,0,0,0,Orthodox,165.1,165.1,135,0,1,0,11.4,0.48,0.0,0.0,0.0,1,0,3,0,0,1,0,0,0,0,1,Orthodox,165.1,170.18,135,25,32,2,-1,-1,-1,2,3,0,0,0,0.0,-5.08,7,-7.8,0.0,0.0,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,neither,U-DEC,
Martin Day,Davey Grant,-162,130,61.72839506,130.0,7/11/2020,"Abu Dhabi, Abu Dhabi, United Arab Emirates",United Arab Emirates,Blue,False,Bantamweight,MALE,3,0,1,0,3.13,0.52,0.0,2.64,0.47,1,3,12,1,0,1,1,0,0,0,2,Orthodox,172.72,175.26,135,1,0,0,5.6,0.49,1.0,1.0,0.66,0,1,3,0,0,0,0,0,0,0,0,Orthodox,177.8,185.42,135,31,34,-1,1,1,2,2,9,1,0,0,-5.08,-10.16,3,-2.47,-1.0,1.64,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,neither,KO/TKO,Punch
Dustin Poirier,Dan Hooker,-225,180,44.44444444,180.0,6/27/2020,"Las Vegas, Nevada, USA",USA,Red,False,Lightweight,MALE,5,0,3,0,4.76,0.45,0.3,0.43,0.28,4,4,32,0,0,1,1,6,2,0,10,Switch,182.88,190.5,155,1,0,0,5.51,0.49,1.2,1.55,0.37,5,6,57,2,1,0,5,9,3,0,18,Southpaw,175.26,182.88,155,31,30,-1,3,-1,-8,-2,-25,-2,-3,-1,7.62,7.62,-1,-0.75,-0.9,-1.12,1,1,5.0,3.0,,,,,,,,,3.0,,,,11.0,,,,,,,,,5.0,,,,,Red,U-DEC,
Mike Perry,Mickey Gall,-315,235,31.74603175,235.0,6/27/2020,"Las Vegas, Nevada, USA",USA,Red,False,Welterweight,MALE,3,0,1,0,2.22,0.43,2.7,1.5,0.38,3,2,13,0,0,0,1,0,4,0,5,Switch,187.96,187.96,170,2,0,0,4.27,0.47,0.0,0.61,0.41,2,6,27,0,0,1,1,4,0,0,6,Orthodox,177.8,180.34,170,28,28,-2,1,1,-1,-4,-14,0,-4,4,10.16,7.62,0,-2.05,2.7,0.89,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,neither,U-DEC,
Brendan Allen,Kyle Daukaus,-305,235,32.78688525,235.0,6/27/2020,"Las Vegas, Nevada, USA",USA,Red,False,Middleweight,MALE,3,0,0,0,4.53,0.67,4.0,2.0,0.4,0,0,0,0,0,0,0,0,0,0,0,Southpaw,190.5,193.04,185,0,2,0,2.62,0.59,4.5,2.68,0.37,2,0,3,0,0,0,0,1,1,0,2,Orthodox,187.96,190.5,185,24,27,0,-2,-2,-2,0,-3,0,-1,-1,2.54,2.54,3,1.91,-0.5,-0.68,1,1,,13.0,,,,,,,13.0,,,,,,,,,,,,,,,,,,,,Red,U-DEC,
Gian Villante,Maurice Greene,180,-230,180.0,43.47826087,6/27/2020,"Las Vegas, Nevada, USA",USA,Blue,False,Heavyweight,MALE,3,2,0,0,4.19,0.44,0.5,0.0,0.0,3,2,8,0,0,1,0,1,1,0,3,Orthodox,200.66,203.2,258,1,0,0,4.26,0.42,0.0,0.53,0.23,3,10,49,0,0,3,2,5,0,0,10,Orthodox,190.5,193.04,205,34,33,1,0,0,-7,-8,-41,0,-4,1,10.16,10.16,-1,-0.07,0.5,-0.53,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,neither,SUB,Arm Triangle
Luis Pena,Khama Worthy,-250,195,40.0,195.0,6/27/2020,"Las Vegas, Nevada, USA",USA,Blue,False,Lightweight,MALE,3,0,1,0,4.94,0.41,0.0,0.0,0.0,1,0,1,0,0,0,0,1,0,0,1,Orthodox,180.34,187.96,155,0,1,0,3.32,0.46,1.0,1.0,0.29,2,2,16,0,0,0,2,1,1,0,4,Southpaw,190.5,190.5,155,26,33,0,0,-1,-3,-2,-15,0,0,-1,-10.16,-2.54,7,1.62,-1.0,-1.0,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,neither,SUB,Guillotine Choke
Mara Romero Borella,Miranda Maverick,230,-305,230.0,32.78688525,6/27/2020,"Las Vegas, Nevada, USA",USA,Red,False,Women's Flyweight,FEMALE,3,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,Southpaw,160.02,165.1,125,3,0,0,2.54,0.37,0.2,1.66,0.43,1,4,14,0,0,1,0,0,1,0,2,Orthodox,167.64,175.26,125,34,22,-3,0,-1,-2,-4,-14,0,0,-1,-7.62,-10.16,-12,-2.54,-0.2,-1.66,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,neither,,
Philipe Lins,Tanner Boser,-112,-112,89.28571429,89.28571429,6/27/2020,"Las Vegas, Nevada, USA",USA,Blue,False,Heavyweight,MALE,3,1,0,0,4.17,0.49,0.0,0.0,0.0,1,1,6,0,0,0,1,0,0,0,1,Orthodox,187.96,190.5,255,1,0,0,2.73,0.41,0.0,0.0,0.0,0,1,3,0,0,0,0,0,0,0,0,Orthodox,187.96,198.12,240,34,28,0,0,1,1,0,3,0,0,0,0.0,-7.62,-6,1.44,0.0,0.0,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,neither,KO/TKO,Punches
Sean Woodson,Julian Erosa,-455,325,21.97802198,325.0,6/27/2020,"Las Vegas, Nevada, USA",USA,Blue,False,Catch Weight,MALE,3,4,0,0,4.18,0.45,0.8,0.83,0.6,1,4,12,0,0,1,0,0,0,0,1,Southpaw,185.42,187.96,145,0,1,0,5.27,0.43,0.0,0.0,0.0,1,0,3,0,0,0,1,0,0,0,1,Orthodox,187.96,198.12,145,28,30,-4,-1,0,0,-4,9,0,0,0,-2.54,-10.16,-2,-1.09,0.8,0.83,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,neither,SUB,D'Arce Choke
Takashi Sato,Jason Witt,-278,215,35.97122302,215.0,6/27/2020,"Las Vegas, Nevada, USA",USA,Red,False,Welterweight,MALE,3,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,Orthodox,177.8,177.8,170,1,0,0,3.13,0.36,0.0,0.82,0.5,1,1,5,0,0,0,0,1,0,0,1,Southpaw,177.8,185.42,170,30,33,1,0,-1,-1,1,-5,0,-1,0,0.0,-7.62,-3,-3.13,0.0,-0.82,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,neither,KO/TKO,Punches
Kay Hansen,Jinh Yu Frey,-175,138,57.14285714,138.0,6/27/2020,"Las Vegas, Nevada, USA",USA,Red,False,Women's Strawweight,FEMALE,3,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,Orthodox,157.48,157.48,115,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,Orthodox,160.02,160.02,115,20,35,0,0,0,0,0,0,0,0,0,-2.54,-160.02,15,0.0,0.0,0.0,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,neither,SUB,Armbar
Jordan Griffin,Youssef Zalal,-106,-114,94.33962264,87.71929825,6/27/2020,"Las Vegas, Nevada, USA",USA,Blue,False,Featherweight,MALE,3,0,1,0,2.07,0.56,2.0,6.0,0.5,1,0,3,0,0,0,1,0,0,0,1,Switch,177.8,182.88,145,0,1,0,2.87,0.48,2.5,0.35,0.2,1,2,8,0,0,0,0,0,1,0,1,Southpaw,177.8,185.42,145,30,23,0,0,0,0,-2,-5,0,0,-1,0.0,-2.54,-7,-0.8,-0.5,5.65,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,neither,U-DEC,
Curtis Blaydes,Alexander Volkov,-400,325,25.0,325.0,6/20/2020,"Las Vegas, Nevada, USA",USA,Red,False,Heavyweight,MALE,5,0,1,0,5.36,0.6,0.2,0.75,0.75,4,1,19,0,0,1,2,2,0,0,5,Orthodox,200.66,203.2,250,0,3,0,3.74,0.51,0.0,6.63,0.55,5,2,25,0,0,0,3,5,0,0,8,Orthodox,193.04,203.2,265,29,31,0,-2,-1,-3,-1,-6,0,-3,0,7.62,0.0,2,1.62,0.2,-5.88,1,1,7.0,3.0,,,,,3.0,,,,,,,,,,,,,7.0,,,,,,,,,Red,U-DEC,
Josh Emmett,Shane Burgos,120,-140,120.0,71.42857143,6/20/2020,"Las Vegas, Nevada, USA",USA,Red,False,Featherweight,MALE,3,0,3,0,7.09,0.5,0.2,0.36,1.0,3,1,19,0,0,1,2,2,1,0,6,Orthodox,180.34,190.5,145,0,2,0,3.63,0.36,0.2,1.5,0.45,2,2,19,0,0,1,2,3,0,0,6,Orthodox,167.64,177.8,145,35,29,0,1,1,0,-1,0,0,-1,1,12.7,12.7,-6,3.46,0.0,-1.14,1,1,10.0,8.0,,,,,,,,,,8.0,,,,,,,,,,,,,10.0,,,,Red,U-DEC,
Raquel Pennington,Marion Reneau,-160,140,62.5,140.0,6/20/2020,"Las Vegas, Nevada, USA",USA,Red,False,Women's Bantamweight,FEMALE,3,2,0,1,3.46,0.41,1.1,0.35,1.0,2,4,27,0,0,0,1,2,2,0,5,Orthodox,167.64,172.72,135,1,0,0,3.32,0.46,0.8,1.13,0.27,4,5,35,1,0,2,3,0,2,0,7,Orthodox,170.18,170.18,135,31,43,1,0,-2,-2,-1,-8,-1,2,0,-2.54,2.54,12,0.14,0.3,-0.78,1,1,10.0,6.0,,,,6.0,,,,,,,,,,,,,10.0,,,,,,,,,,Red,U-DEC,
Belal Muhammad,Lyman Good,-130,110,76.92307692,110.0,6/20/2020,"Las Vegas, Nevada, USA",USA,Red,False,Welterweight,MALE,3,0,1,0,5.32,0.49,0.0,0.38,1.0,1,2,10,0,0,0,0,3,0,0,3,Orthodox,182.88,187.96,170,0,2,0,4.37,0.41,0.2,2.15,0.31,4,3,28,0,0,1,4,1,1,0,7,Orthodox,180.34,182.88,170,31,35,0,-1,-3,-4,-1,-18,0,2,-1,2.54,5.08,4,0.95,-0.2,-1.77,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,neither,U-DEC,
Jim Miller,Roosevelt Roberts,200,-240,200.0,41.66666667,6/20/2020,"Las Vegas, Nevada, USA",USA,Red,False,Catch Weight,MALE,3,0,2,0,3.12,0.49,1.1,1.83,0.57,2,1,12,0,0,0,2,0,2,0,4,Orthodox,187.96,185.42,155,1,0,0,2.83,0.4,1.9,1.69,0.41,7,13,76,0,0,2,6,3,9,0,20,Southpaw,172.72,180.34,155,36,26,-1,2,-5,-16,-12,-64,0,-3,-7,15.24,5.08,-10,0.29,-0.8,0.14,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,neither,SUB,Armbar
Clay Guida,Bobby Green,195,-235,195.0,42.55319149,6/20/2020,"Las Vegas, Nevada, USA",USA,Blue,False,Lightweight,MALE,3,2,0,1,4.95,0.49,0.3,1.12,0.29,8,7,44,0,0,2,3,1,3,0,9,Orthodox,177.8,180.34,155,1,0,0,2.45,0.33,0.7,3.39,0.38,4,14,84,2,0,3,8,2,4,0,17,Orthodox,170.18,177.8,155,38,33,1,0,4,-8,-7,-40,-2,-1,-1,7.62,2.54,-5,2.5,-0.4,-2.27,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,neither,U-DEC,
Tecia Torres,Brianna Van Buren,175,-210,175.0,47.61904762,6/20/2020,"Las Vegas, Nevada, USA",USA,Red,False,Women's Strawweight,FEMALE,3,0,1,0,4.8,0.38,0.0,3.0,0.75,1,0,3,0,0,0,1,0,0,0,1,Southpaw,152.4,157.48,115,4,0,0,4.04,0.47,0.1,0.67,0.14,3,5,32,0,0,0,5,0,1,0,6,Orthodox,154.94,152.4,115,30,26,-4,1,-2,-5,-5,-29,0,0,-1,-2.54,5.08,-4,0.76,-0.1,2.33,1,1,,11.0,,,11.0,,,,,,,,,,,,,,,,,,,,,,,,Red,U-DEC,
Marc-Andre Barriault,Oskar Piechota,100,-120,100.0,83.33333333,6/20/2020,"Las Vegas, Nevada, USA",USA,Red,False,Middleweight,MALE,3,3,0,0,3.19,0.55,1.9,0.76,0.5,2,3,9,0,0,0,1,1,0,0,2,Southpaw,182.88,193.04,185,3,0,0,3.53,0.43,0.0,0.33,0.16,0,3,9,0,0,0,0,0,0,0,0,Orthodox,185.42,187.96,185,30,30,0,0,2,2,0,0,0,1,0,-2.54,5.08,0,-0.34,1.9,0.43,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,neither,KO/TKO,Punches
Cortney Casey,Gillian Robertson,100,-120,100.0,83.33333333,6/20/2020,"Las Vegas, Nevada, USA",USA,Blue,False,Women's Flyweight,FEMALE,3,1,0,0,2.18,0.5,1.3,3.44,0.47,2,2,9,0,0,0,0,1,3,0,4,Orthodox,165.1,160.02,125,0,1,0,4.72,0.38,0.7,0.34,0.3,2,6,27,0,0,1,1,1,2,0,5,Orthodox,170.18,170.18,125,33,25,1,-1,0,-1,-4,-18,0,0,1,-5.08,-10.16,-8,-2.54,0.6,3.1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,neither,SUB,Rear Naked Choke
Frank Camacho,Justin Jaynes,-340,280,29.41176471,280.0,6/20/2020,"Las Vegas, Nevada, USA",USA,Blue,False,Lightweight,MALE,3,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,Orthodox,170.18,170.18,155,1,0,0,6.68,0.46,0.0,1.18,0.45,1,4,14,0,0,1,0,1,0,0,2,Orthodox,177.8,185.42,170,31,30,1,0,-1,-2,4,-14,0,-1,0,-7.62,-15.24,1,-6.68,0.0,-1.18,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,neither,KO/TKO,Punches
Roxanne Modafferi,Lauren Murphy,-125,105,80.0,105.0,6/20/2020,"Las Vegas, Nevada, USA",USA,Blue,False,Women's Flyweight,FEMALE,3,0,2,0,3.76,0.38,0.0,1.03,0.32,2,4,24,0,0,2,0,2,0,0,4,Orthodox,165.1,170.18,125,0,1,0,3.06,0.31,0.1,1.45,0.21,1,6,26,2,0,1,1,1,0,0,3,Orthodox,170.18,175.26,125,37,36,0,1,1,1,-2,-2,-2,1,0,-5.08,-5.08,-1,0.7,-0.1,-0.42,1,1,7.0,6.0,6.0,,,,,,,,,,,,,7.0,,,,,,,,,,,,,Red,U-DEC,
Austin Hubbard,Max Rohskopf,160,-185,160.0,54.05405405,6/20/2020,"Las Vegas, Nevada, USA",USA,Red,False,Lightweight,MALE,3,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,Orthodox,185.42,187.96,155,1,0,0,3.02,0.44,0.0,1.0,0.6,1,2,9,0,0,0,1,0,0,0,1,Orthodox,177.8,180.34,155,28,25,-1,0,-1,-1,-2,-9,0,0,0,7.62,7.62,-3,-3.02,0.0,-1.0,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,neither,KO/TKO,
Jessica Eye,Cynthia Calvillo,120,-130,120.0,76.92307692,6/13/2020,"Las Vegas, Nevada, USA",USA,Blue,False,Women's Flyweight,FEMALE,5,0,2,1,4.12,0.43,1.6,1.83,0.43,3,1,12,0,0,0,2,0,3,0,5,Orthodox,162.56,162.56,115,0,1,0,3.79,0.38,0.7,0.46,0.45,3,6,8,1,0,2,2,1,0,0,5,Orthodox,167.64,167.64,125,33,32,0,1,0,0,-5,4,-1,-1,3,-5.08,-5.08,-1,0.33,0.9,1.37,1,1,,1.0,1.0,,,,,,,,,,,,12.0,,,10.0,,,,,,,,,,,Red,U-DEC,
Karl Roberson,Marvin Vettori,210,-230,210.0,43.47826087,6/13/2020,"Las Vegas, Nevada, USA",USA,Blue,False,Middleweight,MALE,3,0,2,1,4.05,0.41,0.6,1.43,0.45,2,2,8,0,0,0,3,0,1,0,4,Southpaw,182.88,187.96,185,0,2,0,3.16,0.52,0.8,1.07,0.57,2,2,7,0,0,1,1,0,2,0,4,Southpaw,185.42,187.96,185,29,26,0,0,0,0,0,1,0,0,-1,-2.54,0.0,-3,0.89,-0.2,0.36,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,neither,SUB,Rear Naked Choke
