R_fighter,B_fighter,round,time,date
Tito Ortiz,Ken Shamrock,1,2:23,10/10/2006
Kendall Grove,Chris Price,1,3:59,10/10/2006
Jason MacDonald,Ed Herman,1,2:43,10/10/2006
Matt Hamill,Seth Petruzelli,3,5:00,10/10/2006
Nate Marquardt,Crafton Wallace,2,1:14,10/10/2006
Tony DeSouza,Dustin Hazelett,1,3:59,10/10/2006
Rory Singer,Josh Haynes,3,5:00,10/10/2006
Thiago Alves,John Alessio,3,5:00,10/10/2006
Marcus Davis,Forrest Petz,1,4:58,10/10/2006
Carla Esparza,Rose Namajunas,3,1:26,12/12/2014
Charles Oliveira,Jeremy Stephens,3,5:00,12/12/2014
KJ Noons,Daron Cruickshank,2,0:25,12/12/2014
Yancy Medeiros,Joe Proctor,1,4:37,12/12/2014
Jessica Penne,Randa Markos,3,5:00,12/12/2014
Felice Herrig,Lisa Ellis,2,3:05,12/12/2014
Heather Clark,Bec Rawlings,3,5:00,12/12/2014
Joanne Calderwood,Seo Hee Ham,3,5:00,12/12/2014
Tecia Torres,Angela Magana,3,5:00,12/12/2014
Aisling Daly,Alex Chambers,1,4:53,12/12/2014
Angela Hill,Emily Kagan,3,5:00,12/12/2014
Nicco Montano,Roxanne Modafferi,5,5:00,12/1/2017
Sean O'Malley,Terrion Ware,3,5:00,12/1/2017
Lauren Murphy,Barb Honchak,3,5:00,12/1/2017
Gerald Meerschaert,Eric Spicely,2,2:18,12/1/2017
DeAnna Bennett,Melinda Fabian,3,5:00,12/1/2017
Brett Johns,Joe Soto,1,0:30,12/1/2017
Montana De La Rosa,Christina Marks,1,2:00,12/1/2017
Ryan Janes,Andrew Sanchez,3,0:58,12/1/2017
Rachael Ostovich,Karine Gevorgyan,1,1:40,12/1/2017
Shana Dobson,Ariel Beck,2,2:53,12/1/2017
Gillian Robertson,Emily Whitmire,1,2:12,12/1/2017
Stephen Thompson,Jake Ellenberger,1,4:29,7/12/2015
Kamaru Usman,Hayder Hassan,2,1:19,7/12/2015
Michael Graves,Vicente Luque,3,5:00,7/12/2015
Jorge Masvidal,Cezar Ferreira,1,4:22,7/12/2015
Michelle Waterson,Angela Magana,3,2:38,7/12/2015
Maximo Blanco,Mike de la Torre,1,0:16,7/12/2015
Josh Samman,Caio Magalhaes,1,2:52,7/12/2015
Jerrod Sanders,Russell Doane,3,5:00,7/12/2015
Trevor Smith,Dan Miller,3,5:00,7/12/2015
George Sullivan,Dominic Waters,3,5:00,7/12/2015
Willie Gates,Darrell Montague,1,1:36,7/12/2015
Kamaru Usman,Rafael Dos Anjos,5,5:00,11/30/2018
Juan Espino,Justin Frazier,1,3:36,11/30/2018
Macy Chiasson,Pannie Kianzad,2,2:11,11/30/2018
Pedro Munhoz,Bryan Caraway,1,2:39,11/30/2018
Edmen Shahbazyan,Darren Stewart,3,5:00,11/30/2018
Antonina Shevchenko,Ji Yeon Kim,3,5:00,11/30/2018
Kevin Aguilar,Rick Glenn,3,5:00,11/30/2018
Joseph Benavidez,Alex Perez,1,4:19,11/30/2018
Maurice Greene,Michel Batista,1,2:14,11/30/2018
Leah Letson,Julija Stoliarenko,3,5:00,11/30/2018
Roosevelt Roberts,Darrell Horcher,1,4:50,11/30/2018
Tim Means,Ricky Rainey,1,1:18,11/30/2018
Raoni Barcelos,Chris Gutierrez,2,4:12,11/30/2018
Roy Nelson,Brendan Schaub,1,3:45,12/5/2009
Matt Hamill,Jon Jones,1,4:14,12/5/2009
Kevin Ferguson,Houston Alexander,3,5:00,12/5/2009
Frankie Edgar,Matt Veach,2,2:20,12/5/2009
Matt Mitrione,Marcus Jones,2,0:10,12/5/2009
James McSweeney,Darrill Schoonover,3,3:20,12/5/2009
Jon Madsen,Justin Wren,3,5:00,12/5/2009
Brian Stann,Rodney Wallace,3,5:00,12/5/2009
John Howard,Dennis Hallman,3,4:55,12/5/2009
Mark Bocek,Joe Brammer,1,3:36,12/5/2009
Martin Kampmann,Jake Ellenberger,2,1:40,6/1/2012
Michael Chiesa,Al Iaquinta,1,2:47,6/1/2012
Charles Oliveira,Jonathan Brookins,2,2:42,6/1/2012
Max Holloway,Pat Schilling,3,5:00,6/1/2012
Justin Lawrence,John Cofer,3,0:19,6/1/2012
Daron Cruickshank,Chris Tickle,3,5:00,6/1/2012
Myles Jury,Chris Saunders,1,4:03,6/1/2012
Sam Sicilia,Cristiano Marcello,2,2:53,6/1/2012
Joe Proctor,Jeremy Larsen,1,1:59,6/1/2012
Erik Perez,John Albert,1,4:18,6/1/2012
Justin Gaethje,Michael Johnson,2,4:48,7/7/2017
Jesse Taylor,Dhiego Lima,2,0:43,7/7/2017
Drakkar Klose,Marc Diakiese,3,5:00,7/7/2017
Jared Cannonier,Nick Roehrick,3,2:08,7/7/2017
Brad Tavares,Elias Theodorou,3,5:00,7/7/2017
Jordan Johnson,Marcel Fortuna,3,5:00,7/7/2017
Angela Hill,Ashley Yoder,3,5:00,7/7/2017
James Krause,Tom Gallicchio,3,5:00,7/7/2017
CB Dollaway,Ed Herman,3,5:00,7/7/2017
Tecia Torres,Juliana Lima,2,0:53,7/7/2017
Gray Maynard,Teruto Ishihara,3,5:00,7/7/2017
Michael Bisping,Jason Miller,3,3:34,12/3/2011
Diego Brandao,Dennis Bermudez,1,4:51,12/3/2011
John Dodson,TJ Dillashaw,1,1:54,12/3/2011
Tony Ferguson,Yves Edwards,3,5:00,12/3/2011
Johnny Bedford,Louis Gaudinot,3,1:58,12/3/2011
Marcus Brimage,Stephen Bass,3,5:00,12/3/2011
John Albert,Dustin Pague,1,1:09,12/3/2011
Roland Delorme,Josh Ferguson,3,0:22,12/3/2011
Steven Siler,Josh Clopton,3,5:00,12/3/2011
Bryan Caraway,Dustin Neace,2,3:38,12/3/2011
Roy Nelson,Matt Mitrione,1,2:58,12/15/2012
Colton Smith,Mike Ricci,3,5:00,12/15/2012
Pat Barry,Shane del Rosario,2,0:26,12/15/2012
Dustin Poirier,Jonathan Brookins,1,4:15,12/15/2012
Mike Pyle,James Head,1,1:55,12/15/2012
Johnny Bedford,Marcos Vinicius,2,1:00,12/15/2012
Rustam Khabilov,Vinc Pichel,1,2:15,12/15/2012
TJ Waldburger,Nick Catone,2,1:04,12/15/2012
Hugo Viana,Reuben Duran,1,4:05,12/15/2012
Mike Rio,John Cofer,3,4:11,12/15/2012
Tim Elliott,Jared Papazian,3,5:00,12/15/2012
Rich Franklin,Ken Shamrock,1,2:42,4/9/2005
Forrest Griffin,Stephan Bonnar,3,5:00,4/9/2005
Diego Sanchez,Kenny Florian,1,2:49,4/9/2005
Sam Hoger,Bobby Southworth,3,5:00,4/9/2005
Chris Leben,Jason Thacker,1,1:35,4/9/2005
Josh Koscheck,Chris Sanford,1,4:21,4/9/2005
Nate Quarry,Lodune Sincaid,1,3:17,4/9/2005
Mike Swick,Alex Schoenauer,1,0:20,4/9/2005
Alex Karalexis,Josh Rafferty,1,1:40,4/9/2005
Frankie Edgar,BJ Penn,3,4:16,7/6/2014
Corey Anderson,Matt Van Buren,1,1:01,7/6/2014
Eddie Gordon,Dhiego Lima,1,1:11,7/6/2014
Derrick Lewis,Guto Inocente,1,3:30,7/6/2014
Dustin Ortiz,Justin Scoggins,3,5:00,7/6/2014
Kevin Lee,Jesse Ronson,3,5:00,7/6/2014
Leandro Issa,Jumabieke Tuerxun,3,3:49,7/6/2014
Adriano Martins,Juan Manuel Puig,1,2:21,7/6/2014
Patrick Walsh,Daniel Spohn,3,5:00,7/6/2014
Sarah Moras,Alexis Dufresne,3,5:00,7/6/2014
Robert Drysdale,Keith Berish,1,2:03,7/6/2014
Jonathan Brookins,Michael Johnson,3,5:00,12/4/2010
Stephan Bonnar,Igor Pokrajac,3,5:00,12/4/2010
Demian Maia,Kendall Grove,3,5:00,12/4/2010
Rick Story,Johny Hendricks,3,5:00,12/4/2010
Leonard Garcia,Nam Phan,3,5:00,12/4/2010
Cody McKenzie,Aaron Wilkinson,1,2:03,12/4/2010
Ian Loveland,Tyler Toner,3,5:00,12/4/2010
Kyle Watson,Sako Chivitchian,3,5:00,12/4/2010
Nick Pace,Will Campuzano,3,4:33,12/4/2010
Pablo Garza,Fredson Paixao,1,0:51,12/4/2010
David Branch,Rich Attonito,3,5:00,12/4/2010
Diego Sanchez,Nick Diaz,3,5:00,11/5/2005
Rashad Evans,Brad Imes,3,5:00,11/5/2005
Joe Stevenson,Luke Cummo,3,5:00,11/5/2005
Kenny Florian,Kit Cope,2,0:37,11/5/2005
Joshua Burkman,Sammy Morgan,1,0:21,11/5/2005
Melvin Guillard,Marcus Davis,2,2:55,11/5/2005
Keith Jardine,Kerry Schall,2,3:28,11/5/2005
Roger Huerta,Clay Guida,3,0:51,12/8/2007
Mac Danzig,Tommy Speer,1,2:01,12/8/2007
War Machine,Jared Rollins,3,2:01,12/8/2007
George Sotiropoulos,Billy Miles,1,1:36,12/8/2007
Ben Saunders,Dan Barrera,3,5:00,12/8/2007
Troy Mandaloniz,Richie Hightower,1,4:20,12/8/2007
Matt Arroyo,John Kolosci,1,4:42,12/8/2007
Roman Mitichyan,Dorian Price,1,0:23,12/8/2007
Jonathan Goulet,Paul Georgieff,1,4:42,12/8/2007
Joanna Jedrzejczyk,Claudia Gadelha,5,5:00,7/8/2016
Andrew Sanchez,Khalil Rountree Jr.,3,5:00,7/8/2016
Tatiana Suarez,Amanda Cooper,1,3:43,7/8/2016
Will Brooks,Ross Pearson,3,5:00,7/8/2016
Dooho Choi,Thiago Tavares,1,2:42,7/8/2016
Joaquim Silva,Andrew Holbrook,1,0:34,7/8/2016
Gray Maynard,Fernando Bruno,3,5:00,7/8/2016
Matheus Nicolau Pereira,John Moraga,3,5:00,7/8/2016
Josh Stansbury,Cory Hendricks,3,5:00,7/8/2016
Cezar Ferreira,Anthony Smith,3,5:00,7/8/2016
Kevin Lee,Jake Matthews,1,4:06,7/8/2016
Jingliang Li,Anton Zafir,1,2:46,7/8/2016
Urijah Faber,Scott Jorgensen,4,3:16,4/13/2013
Kelvin Gastelum,Uriah Hall,3,5:00,4/13/2013
Cat Zingano,Miesha Tate,3,2:55,4/13/2013
Travis Browne,Gabriel Gonzaga,1,1:11,4/13/2013
Robert McDaniel,Gilbert Smith,3,2:49,4/13/2013
Josh Samman,Kevin Casey,2,2:17,4/13/2013
Luke Barnatt,Collin Hart,3,5:00,4/13/2013
Dylan Andrews,Jimmy Quinlan,1,3:22,4/13/2013
Clint Hester,Bristol Marunde,3,3:53,4/13/2013
Cole Miller,Bart Palaszewski,1,4:23,4/13/2013
Maximo Blanco,Sam Sicilia,3,5:00,4/13/2013
Daniel Pineda,Justin Lawrence,1,1:35,4/13/2013
Tony Ferguson,Ramsey Nijem,1,3:54,6/4/2011
Clay Guida,Anthony Pettis,3,5:00,6/4/2011
Ed Herman,Tim Credeur,1,0:48,6/4/2011
Kyle Kingsbury,Fabio Maldonado,3,5:00,6/4/2011
Chris Cope,Chuck O'Neil,3,5:00,6/4/2011
Jeremy Stephens,Danny Downes,3,5:00,6/4/2011
George Roop,Josh Grispi,3,3:14,6/4/2011
Shamar Bailey,Ryan McGillivray,3,5:00,6/4/2011
Clay Harvison,Justin Edwards,3,5:00,6/4/2011
Scott Jorgensen,Ken Stone,1,4:01,6/4/2011
Reuben Duran,Francisco Rivera,3,1:57,6/4/2011
Court McGee,Kris McCray,2,3:41,6/19/2010
Matt Hamill,Keith Jardine,3,5:00,6/19/2010
Chris Leben,Aaron Simpson,2,4:17,6/19/2010
Dennis Siver,Spencer Fisher,3,5:00,6/19/2010
Rich Attonito,Jamie Yager,2,4:25,6/19/2010
John Gunderson,Mark Holst,3,5:00,6/19/2010
Brad Tavares,Seth Baczynski,3,5:00,6/19/2010
Kyle Noke,Josh Bryant,2,3:12,6/19/2010
Chris Camozzi,James Hammortree,3,5:00,6/19/2010
Travis Browne,James McSweeney,1,4:32,6/19/2010
Frankie Edgar,Chad Mendes,1,2:28,12/11/2015
Ryan Hall,Artem Lobov,3,5:00,12/11/2015
Tony Ferguson,Edson Barboza,2,2:54,12/11/2015
Evan Dunham,Joe Lauzon,3,5:00,12/11/2015
Tatsuya Kawajiri,Jason Knight,3,5:00,12/11/2015
Julian Erosa,Marcin Wrzosek,3,5:00,12/11/2015
Gabriel Gonzaga,Konstantin Erokhin,3,5:00,12/11/2015
Ryan LaFlare,Mike Pierce,3,5:00,12/11/2015
Geane Herrera,Joby Sanchez,2,4:28,12/11/2015
Chris Gruetzemacher,Abner Lloveras,3,5:00,12/11/2015
Efrain Escudero,Phillipe Nover,3,5:00,12/13/2008
Ryan Bader,Vinny Magalhaes,1,2:18,12/13/2008
Anthony Johnson,Kevin Burns,3,0:28,12/13/2008
Wilson Gouveia,Jason MacDonald,1,2:18,12/13/2008
Junie Browning,David Kaplan,2,1:32,12/13/2008
Krzysztof Soszynski,Shane Primm,2,3:27,12/13/2008
Eliot Marshall,Jules Bruchez,1,1:27,12/13/2008
Tom Lawlor,Kyle Kingsbury,3,5:00,12/13/2008
Shane Nelson,George Roop,3,5:00,12/13/2008
Rolando Delgado,John Polakowski,2,2:18,12/13/2008
Kenny Florian,Sam Stout,1,1:46,6/24/2006
Michael Bisping,Josh Haynes,2,4:14,6/24/2006
Kendall Grove,Ed Herman,3,5:00,6/24/2006
Keith Jardine,Wilson Gouveia,3,5:00,6/24/2006
Rory Singer,Ross Pointon,1,0:44,6/24/2006
Kalib Starnes,Danny Abbadi,1,2:56,6/24/2006
Luigi Fioravanti,Solomon Hutcherson,1,4:15,6/24/2006
Matt Hamill,Jesse Forbes,1,4:47,6/24/2006
Mike Nickels,Wes Combs,1,3:10,6/24/2006
BJ Penn,Jens Pulver,2,3:12,6/23/2007
Nate Diaz,Manvel Gamburyan,2,0:20,6/23/2007
Thales Leites,Floyd Sword,1,3:50,6/23/2007
Roger Huerta,Doug Evans,2,3:30,6/23/2007
Joe Lauzon,Brandon Melendez,2,2:09,6/23/2007
Cole Miller,Andy Wang,1,1:10,6/23/2007
Gray Maynard,Rob Emerson,2,0:39,6/23/2007
Leonard Garcia,Allen Berube,1,4:22,6/23/2007
Matt Wiman,Brian Geraghty,1,2:09,6/23/2007
Kendall Grove,Evan Tanner,3,5:00,6/21/2008
Amir Sadollah,CB Dollaway,1,3:02,6/21/2008
Diego Sanchez,Luigi Fioravanti,3,4:07,6/21/2008
Spencer Fisher,Jeremy Stephens,3,5:00,6/21/2008
Matthew Riddle,Dante Rivera,3,5:00,6/21/2008
Dustin Hazelett,Joshua Burkman,2,4:46,6/21/2008
Drew McFedries,Marvin Eastman,1,1:08,6/21/2008
Matt Brown,Matt Arroyo,2,3:40,6/21/2008
Dean Lister,Jeremy Horn,1,3:52,6/21/2008
Rob Kimmons,Rob Yundt,1,3:58,6/21/2008
Nate Diaz,Gray Maynard,1,2:38,11/30/2013
Julianna Pena,Jessica Rakoczy,1,4:59,11/30/2013
Chris Holdsworth,Davey Grant,2,2:10,11/30/2013
Jessamyn Duke,Peggy Morgan,3,5:00,11/30/2013
Raquel Pennington,Roxanne Modafferi,3,5:00,11/30/2013
Akira Corassani,Maximo Blanco,1,0:25,11/30/2013
Tom Niinimaki,Rani Yahya,3,5:00,11/30/2013
Jared Rosholt,Walt Harris,3,5:00,11/30/2013
Sean Spencer,Drew Dober,3,5:00,11/30/2013
Josh Sampo,Ryan Benoit,2,4:31,11/30/2013
Matt Serra,Chris Lytle,3,5:00,11/11/2006
Travis Lutter,Patrick Cote,1,2:18,11/11/2006
Din Thomas,Rich Clementi,2,3:11,11/11/2006
Jorge Rivera,Edwin DeWees,1,2:37,11/11/2006
Pete Spratt,Jeremy Jackson,2,1:11,11/11/2006
Scott Smith,Pete Sell,2,3:25,11/11/2006
Charles McCarthy,Gideon Ray,1,4:43,11/11/2006
Martin Kampmann,Thales Leites,3,5:00,11/11/2006
Demetrious Johnson,Tim Elliott,5,5:00,12/3/2016
Joseph Benavidez,Henry Cejudo,3,5:00,12/3/2016
Jorge Masvidal,Jake Ellenberger,1,4:05,12/3/2016
Jared Cannonier,Ion Cutelaba,3,5:00,12/3/2016
Sara McMann,Alexis Davis,2,2:52,12/3/2016
Brandon Moreno,Ryan Benoit,3,5:00,12/3/2016
Ryan Hall,Gray Maynard,3,5:00,12/3/2016
Rob Font,Matt Schnell,1,3:47,12/3/2016
Dong Hyun Ma,Brendan O'Reilly,3,5:00,12/3/2016
Jamie Moyle,Kailin Curran,3,5:00,12/3/2016
Anthony Smith,Elvis Mutapcic,2,3:27,12/3/2016
Devin Clark,Josh Stansbury,3,5:00,12/3/2016
Israel Adesanya,Brad Tavares,5,5:00,7/6/2018
Michael Trizano,Joe Giannetti,3,5:00,7/6/2018
Brad Katona,Jay Cucciniello,3,5:00,7/6/2018
Alex Caceres,Martin Bravo,3,5:00,7/6/2018
Roxanne Modafferi,Barb Honchak,2,3:32,7/6/2018
Alessio Di Chirico,Julian Marquez,3,5:00,7/6/2018
Montana De La Rosa,Rachael Ostovich,3,4:21,7/6/2018
Luis Pena,Richie Smullen,1,3:32,7/6/2018
John Gunther,Allan Zuniga,3,5:00,7/6/2018
Bryce Mitchell,Tyler Diamond,3,5:00,7/6/2018
Steven Peterson,Matt Bessette,3,5:00,7/6/2018
Gerald Meerschaert,Oskar Piechota,2,4:55,7/6/2018
Diego Sanchez,Clay Guida,3,5:00,6/20/2009
James Wilks,DaMarques Johnson,1,4:54,6/20/2009
Chris Lytle,Kevin Burns,3,5:00,6/20/2009
Ross Pearson,Andre Winner,3,5:00,6/20/2009
Joe Stevenson,Nate Diaz,3,5:00,6/20/2009
Melvin Guillard,Gleison Tibau,3,5:00,6/20/2009
Brad Blackburn,Edgar Garcia,3,5:00,6/20/2009
Tomasz Drwal,Mike Ciesnolevicz,1,4:48,6/20/2009
Nick Osipczak,Frank Lester,1,3:40,6/20/2009
Jason Dent,Cameron Dollar,1,4:46,6/20/2009
Frank Shamrock,John Lober,1,7:40,10/16/1998
Vitor Belfort,Wanderlei Silva,1,0:44,10/16/1998
Pedro Rizzo,David Abbott,1,8:07,10/16/1998
Pat Miletich,Mikey Burnett,3,3:00,10/16/1998
Tsuyoshi Kohsaka,Pete Williams,2,3:00,10/16/1998
Ebenezer Fontes Braga,Jeremy Horn,1,3:27,10/16/1998
Tulio Palhares,Adriano Santos,1,9:00,10/16/1998
Cesar Marscucci,Paulo Santos,1,10:27,10/16/1998
Randy Couture,Maurice Smith,3,3:00,12/21/1997
Kazushi Sakuraba,Marcus Silveira,1,3:44,12/21/1997
Vitor Belfort,Joe Charles,1,4:03,12/21/1997
Frank Shamrock,Kevin Jackson,1,0:16,12/21/1997
Kazushi Sakuraba,Marcus Silveira,1,1:51,12/21/1997
David Abbott,Yoji Anjo,2,3:00,12/21/1997
Tra Telligman,Brad Kohler,1,10:05,12/21/1997
Dan Severn,Oleg Taktarov,2,3:00,12/16/1995
Oleg Taktarov,Marco Ruas,1,18:00,12/16/1995
Dan Severn,David Abbott,1,18:00,12/16/1995
Oleg Taktarov,Dave Beneteau,1,1:15,12/16/1995
Marco Ruas,Keith Hackney,1,2:39,12/16/1995
Dan Severn,Paul Varelans,1,1:01,12/16/1995
David Abbott,Steve Jennum,1,1:14,12/16/1995
Mark Hall,Trent Jenkins,1,5:29,12/16/1995
Joe Charles,Scott Bessac,1,4:38,12/16/1995
Don Frye,David Abbott,1,1:22,12/7/1996
David Abbott,Steve Nelmark,1,1:03,12/7/1996
Don Frye,Mark Hall,1,0:20,12/7/1996
Ken Shamrock,Brian Johnston,1,5:48,12/7/1996
Kimo Leopoldo,Paul Varelans,1,9:08,12/7/1996
David Abbott,Cal Worsham,1,2:51,12/7/1996
Don Frye,Gary Goodridge,1,11:19,12/7/1996
Tai Bowden,Jack Nilson,1,4:46,12/7/1996
Steve Nelmark,Marcus Bossett,1,1:37,12/7/1996
Mark Hall,Felix Lee Mitchell,1,1:45,12/7/1996
Royce Gracie,Gerard Gordeau,1,1:44,11/12/1993
Jason DeLucia,Trent Jenkins,1,0:52,11/12/1993
Royce Gracie,Ken Shamrock,1,0:57,11/12/1993
Gerard Gordeau,Kevin Rosier,1,0:59,11/12/1993
Ken Shamrock,Patrick Smith,1,1:49,11/12/1993
Royce Gracie,Art Jimmerson,1,2:18,11/12/1993
Kevin Rosier,Zane Frazier,1,4:20,11/12/1993
Gerard Gordeau,Teila Tuli,1,0:26,11/12/1993
Mark Coleman,Don Frye,1,11:34,7/12/1996
Mark Coleman,Gary Goodridge,1,7:00,7/12/1996
Don Frye,Brian Johnston,1,4:37,7/12/1996
Gary Goodridge,John Campetella,1,1:28,7/12/1996
Mark Coleman,Moti Horenstein,1,2:43,7/12/1996
Brian Johnston,Scott Fiedler,1,2:25,7/12/1996
Don Frye,Mark Hall,1,10:21,7/12/1996
Sam Adkins,Felix Lee Mitchell,2,3:00,7/12/1996
Geza Kalman,Dieusel Berto,1,5:57,7/12/1996
Jon Fitch,Paulo Thiago,3,5:00,7/11/2009
Brock Lesnar,Frank Mir,2,1:48,7/11/2009
Georges St-Pierre,Thiago Alves,5,5:00,7/11/2009
Dan Henderson,Michael Bisping,2,3:20,7/11/2009
Yoshihiro Akiyama,Alan Belcher,3,5:00,7/11/2009
Mark Coleman,Stephan Bonnar,3,5:00,7/11/2009
Jim Miller,Mac Danzig,3,5:00,7/11/2009
Jon Jones,Jake O'Brien,2,2:43,7/11/2009
Dong Hyun Kim,TJ Grant,3,5:00,7/11/2009
Tom Lawlor,CB Dollaway,1,0:55,7/11/2009
Shannon Gugerty,Matt Grice,1,2:36,7/11/2009
BJ Penn,Kenny Florian,4,3:54,8/8/2009
Anderson Silva,Forrest Griffin,1,3:23,8/8/2009
Aaron Riley,Shane Nelson,3,5:00,8/8/2009
Johny Hendricks,Amir Sadollah,1,0:29,8/8/2009
Ricardo Almeida,Kendall Grove,3,5:00,8/8/2009
Kurt Pellegrino,Josh Neer,3,5:00,8/8/2009
John Howard,Tamdan McCrory,3,5:00,8/8/2009
Alessio Sakara,Thales Leites,3,5:00,8/8/2009
Matthew Riddle,Dan Cramer,3,5:00,8/8/2009
George Sotiropoulos,George Roop,2,1:59,8/8/2009
Jesse Lennox,Danillo Villefort,3,3:37,8/8/2009
Antonio Rodrigo Nogueira,Randy Couture,3,5:00,8/29/2009
Thiago Silva,Keith Jardine,1,1:35,8/29/2009
Jake Rosholt,Chris Leben,3,1:30,8/29/2009
Nate Marquardt,Demian Maia,1,0:21,8/29/2009
Brandon Vera,Krzysztof Soszynski,3,5:00,8/29/2009
Aaron Simpson,Ed Herman,2,0:17,8/29/2009
Gabriel Gonzaga,Chris Tuchscherer,1,2:27,8/29/2009
Mike Russow,Justin McCully,3,5:00,8/29/2009
Todd Duffee,Tim Hague,1,0:07,8/29/2009
Mark Munoz,Nick Catone,3,5:00,8/29/2009
Evan Dunham,Marcus Aurelio,3,5:00,8/29/2009
Vitor Belfort,Rich Franklin,1,3:02,9/19/2009
Junior Dos Santos,Mirko Filipovic,3,2:00,9/19/2009
Paul Daley,Martin Kampmann,1,2:31,9/19/2009
Josh Koscheck,Frank Trigg,1,1:25,9/19/2009
Tyson Griffin,Hermes Franca,2,3:26,9/19/2009
Efrain Escudero,Cole Miller,1,3:36,9/19/2009
Tomasz Drwal,Drew McFedries,2,1:03,9/19/2009
Jim Miller,Steve Lopez,2,0:48,9/19/2009
Nik Lentz,Rafaello Oliveira,3,5:00,9/19/2009
Rick Story,Brian Foster,2,1:09,9/19/2009
Eliot Marshall,Jason Brilz,3,5:00,9/19/2009
Vladimir Matyushenko,Igor Pokrajac,3,5:00,9/19/2009
Rafael Dos Anjos,Rob Emerson,3,5:00,9/19/2009
Lyoto Machida,Mauricio Rua,5,5:00,10/24/2009
Cain Velasquez,Ben Rothwell,2,0:58,10/24/2009
Gleison Tibau,Josh Neer,3,5:00,10/24/2009
Joe Stevenson,Spencer Fisher,2,4:03,10/24/2009
Anthony Johnson,Yoshiyuki Yoshida,1,0:41,10/24/2009
Ryan Bader,Eric Schafer,3,5:00,10/24/2009
Pat Barry,Antoni Hardonk,2,2:30,10/24/2009
Chael Sonnen,Yushin Okami,3,5:00,10/24/2009
Jorge Rivera,Rob Kimmons,3,1:53,10/24/2009
Kyle Kingsbury,Razak Al-Hassan,3,5:00,10/24/2009
Stefan Struve,Chase Gormley,1,4:04,10/24/2009
Randy Couture,Brandon Vera,3,5:00,11/14/2009
Dan Hardy,Mike Swick,3,5:00,11/14/2009
Michael Bisping,Denis Kang,2,4:24,11/14/2009
Matt Brown,James Wilks,3,2:27,11/14/2009
Ross Pearson,Aaron Riley,2,4:38,11/14/2009
John Hathaway,Paul Taylor,3,5:00,11/14/2009
Terry Etim,Shannon Gugerty,2,1:24,11/14/2009
Nick Osipczak,Matthew Riddle,3,3:53,11/14/2009
Dennis Siver,Paul Kelly,2,2:53,11/14/2009
Alexander Gustafsson,Jared Hamman,1,0:41,11/14/2009
Andre Winner,Rolando Delgado,1,3:22,11/14/2009
Forrest Griffin,Tito Ortiz,3,5:00,11/21/2009
Josh Koscheck,Anthony Johnson,2,4:47,11/21/2009
Paulo Thiago,Jacob Volkmann,3,5:00,11/21/2009
Rogerio Nogueira,Luiz Cane,1,1:56,11/21/2009
Amir Sadollah,Phil Baroni,3,5:00,11/21/2009
Ben Saunders,Marcus Davis,1,3:24,11/21/2009
Kendall Grove,Jake Rosholt,1,3:59,11/21/2009
Brian Foster,Brock Larson,2,3:25,11/21/2009
Caol Uno,Fabricio Camoes,3,5:00,11/21/2009
George Sotiropoulos,Jason Dent,2,4:36,11/21/2009
BJ Penn,Diego Sanchez,5,2:37,12/12/2009
Frank Mir,Cheick Kongo,1,1:12,12/12/2009
Jon Fitch,Mike Pierce,3,5:00,12/12/2009
Kenny Florian,Clay Guida,2,2:19,12/12/2009
Stefan Struve,Paul Buentello,3,5:00,12/12/2009
Alan Belcher,Wilson Gouveia,1,3:03,12/12/2009
Matt Wiman,Shane Nelson,3,5:00,12/12/2009
Johny Hendricks,Ricardo Funch,3,5:00,12/12/2009
Rousimar Palhares,Lucio Linhares,2,3:21,12/12/2009
DaMarques Johnson,Edgar Garcia,1,4:03,12/12/2009
TJ Grant,Kevin Burns,1,4:57,12/12/2009
Rashad Evans,Thiago Silva,3,5:00,1/2/2010
Paul Daley,Dustin Hazelett,1,2:24,1/2/2010
Sam Stout,Joe Lauzon,3,5:00,1/2/2010
Jim Miller,Duane Ludwig,1,2:31,1/2/2010
Junior Dos Santos,Gilbert Yvel,1,2:07,1/2/2010
Martin Kampmann,Jacob Volkmann,1,4:03,1/2/2010
Cole Miller,Dan Lauzon,1,3:05,1/2/2010
Mark Munoz,Ryan Jensen,1,2:30,1/2/2010
Jake Ellenberger,Mike Pyle,2,0:22,1/2/2010
Rafaello Oliveira,John Gunderson,3,5:00,1/2/2010
Randy Couture,Mark Coleman,2,1:09,2/6/2010
Chael Sonnen,Nate Marquardt,3,5:00,2/6/2010
Paulo Thiago,Mike Swick,2,1:54,2/6/2010
Demian Maia,Dan Miller,3,5:00,2/6/2010
Matt Serra,Frank Trigg,1,2:23,2/6/2010
Mac Danzig,Justin Buchholz,3,5:00,2/6/2010
Melvin Guillard,Ronys Torres,3,5:00,2/6/2010
Rob Emerson,Phillipe Nover,3,5:00,2/6/2010
Phil Davis,Brian Stann,3,5:00,2/6/2010
Chris Tuchscherer,Tim Hague,3,5:00,2/6/2010
Joey Beltran,Rolles Gracie,2,1:31,2/6/2010
Scott Ferrozzo,David Abbott,2,3:00,9/20/1996
Mark Coleman,Brian Johnston,1,2:20,9/20/1996
Jerry Bohlander,Fabio Gurgel,1,15:00,9/20/1996
David Abbott,Sam Adkins,1,2:06,9/20/1996
Brian Johnston,Reza Nasri,1,0:28,9/20/1996
