R_fighter,B_fighter,date,finish,finish_details
Kamaru Usman,Jorge Masvidal,7/11/2020,U-DEC,
Alexander Volkanovski,Max Holloway,7/11/2020,S-DEC,
Petr Yan,Jose Aldo,7/11/2020,KO/TKO,Punches
Jessica Andrade,Rose Namajunas,7/11/2020,S-DEC,
Amanda Ribas,Paige VanZant,7/11/2020,SUB,Armbar
Volkan Oezdemir,Jiri Prochazka,7/11/2020,KO/TKO,Punch
Elizeu Zaleski dos Santos,Muslim Salikhov,7/11/2020,S-DEC,
Makwan Amirkhani,Danny Henry,7/11/2020,SUB,Anaconda Choke
Leonardo Santos,Roman Bogatov,7/11/2020,U-DEC,
Marcin Tybura,Maxim Grishin,7/11/2020,U-DEC,
Raulian Paiva,Zhalgas Zhamagulov,7/11/2020,,
Karol Rosa,Vanessa Melo,7/11/2020,U-DEC,
Martin Day,Davey Grant,7/11/2020,KO/TKO,Punch
Dustin Poirier,Dan Hooker,6/27/2020,U-DEC,
Mike Perry,Mickey Gall,6/27/2020,U-DEC,
Brendan Allen,Kyle Daukaus,6/27/2020,U-DEC,
Gian Villante,Maurice Greene,6/27/2020,SUB,Arm Triangle
Luis Pena,Khama Worthy,6/27/2020,SUB,Guillotine Choke
Mara Romero Borella,Miranda Maverick,6/27/2020,,
Philipe Lins,Tanner Boser,6/27/2020,KO/TKO,Punches
Sean Woodson,Julian Erosa,6/27/2020,SUB,D'Arce Choke
Takashi Sato,Jason Witt,6/27/2020,KO/TKO,Punches
Kay Hansen,Jinh Yu Frey,6/27/2020,SUB,Armbar
Jordan Griffin,Youssef Zalal,6/27/2020,U-DEC,
Curtis Blaydes,Alexander Volkov,6/20/2020,U-DEC,
Josh Emmett,Shane Burgos,6/20/2020,U-DEC,
Raquel Pennington,Marion Reneau,6/20/2020,U-DEC,
Belal Muhammad,Lyman Good,6/20/2020,U-DEC,
Jim Miller,Roosevelt Roberts,6/20/2020,SUB,Armbar
Clay Guida,Bobby Green,6/20/2020,U-DEC,
Tecia Torres,Brianna Van Buren,6/20/2020,U-DEC,
Marc-Andre Barriault,Oskar Piechota,6/20/2020,KO/TKO,Punches
Cortney Casey,Gillian Robertson,6/20/2020,SUB,Rear Naked Choke
Frank Camacho,Justin Jaynes,6/20/2020,KO/TKO,Punches
Roxanne Modafferi,Lauren Murphy,6/20/2020,U-DEC,
Austin Hubbard,Max Rohskopf,6/20/2020,KO/TKO,
Jessica Eye,Cynthia Calvillo,6/13/2020,U-DEC,
Karl Roberson,Marvin Vettori,6/13/2020,SUB,Rear Naked Choke
Charles Rosa,Kevin Aguilar,6/13/2020,S-DEC,
Andre Fili,Charles Jourdain,6/13/2020,S-DEC,
Jordan Espinosa,Mark De La Rosa,6/13/2020,U-DEC,
Mariya Agapova,Hannah Cifers,6/13/2020,SUB,Rear Naked Choke
Merab Dvalishvili,Gustavo Lopez,6/13/2020,U-DEC,
Julia Avila,Gina Mazany,6/13/2020,KO/TKO,Punches
Tyson Nam,Zarrukh Adashev,6/13/2020,KO/TKO,Punch
Anthony Ivy,Christian Aguilera,6/13/2020,KO/TKO,Punches
Amanda Nunes,Felicia Spencer,6/6/2020,U-DEC,
Raphael Assuncao,Cody Garbrandt,6/6/2020,KO/TKO,Punch
Aljamain Sterling,Cory Sandhagen,6/6/2020,SUB,Rear Naked Choke
Neil Magny,Anthony Rocco Martin,6/6/2020,U-DEC,
Eddie Wineland,Sean O'Malley,6/6/2020,KO/TKO,Punch
Alex Caceres,Chase Hooper,6/6/2020,U-DEC,
Ian Heinisch,Gerald Meerschaert,6/6/2020,KO/TKO,Punch
Cody Stamann,Brian Kelleher,6/6/2020,U-DEC,
Charles Byrd,Maki Pitolo,6/6/2020,KO/TKO,Punches
Jussier Formiga,Alex Perez,6/6/2020,KO/TKO,Kick
Alonzo Menifield,Devin Clark,6/6/2020,U-DEC,
Evan Dunham,Herbert Burns,6/6/2020,SUB,Rear Naked Choke
Tyron Woodley,Gilbert Burns,5/30/2020,U-DEC,
Blagoy Ivanov,Augusto Sakai,5/30/2020,S-DEC,
Billy Quarantillo,Spike Carlyle,5/30/2020,U-DEC,
Roosevelt Roberts,Brok Weaver,5/30/2020,SUB,Rear Naked Choke
Mackenzie Dern,Hannah Cifers,5/30/2020,SUB,Kneebar
Katlyn Chookagian,Antonina Shevchenko,5/30/2020,U-DEC,
Daniel Rodriguez,Gabe Green,5/30/2020,U-DEC,
Jamahal Hill,Klidson Abreu,5/30/2020,KO/TKO,Knee
Tim Elliott,Brandon Royval,5/30/2020,SUB,Arm Triangle
Louis Smolka,Casey Kenney,5/30/2020,SUB,Guillotine Choke
Chris Gutierrez,Vince Morales,5/30/2020,KO/TKO,Kick
Alistair Overeem,Walt Harris,5/16/2020,KO/TKO,Punches
Claudia Gadelha,Angela Hill,5/16/2020,S-DEC,
Dan Ige,Edson Barboza,5/16/2020,S-DEC,
Krzysztof Jotko,Eryk Anders,5/16/2020,U-DEC,
Song Yadong,Marlon Vera,5/16/2020,U-DEC,
Miguel Baeza,Matt Brown,5/16/2020,KO/TKO,Punch
Kevin Holland,Anthony Hernandez,5/16/2020,KO/TKO,Knees
Giga Chikadze,Irwin Rivera,5/16/2020,U-DEC,
Nate Landwehr,Darren Elkins,5/16/2020,U-DEC,
Cortney Casey,Mara Romero Borella,5/16/2020,SUB,Armbar
Rodrigo Nascimento,Don'Tale Mayes,5/16/2020,SUB,Rear Naked Choke
Anthony Smith,Glover Teixeira,5/13/2020,KO/TKO,Punches
Ben Rothwell,Ovince Saint Preux,5/13/2020,S-DEC,
Alexander Hernandez,Drew Dober,5/13/2020,KO/TKO,Punches
Ricky Simon,Ray Borg,5/13/2020,S-DEC,
Andrei Arlovski,Philipe Lins,5/13/2020,U-DEC,
Michael Johnson,Thiago Moises,5/13/2020,SUB,Ankle Lock
Sijara Eubanks,Sarah Moras,5/13/2020,U-DEC,
Gabriel Benitez,Omar Morales,5/13/2020,U-DEC,
Hunter Azure,Brian Kelleher,5/13/2020,KO/TKO,Punch
Chase Sherman,Ike Villanueva,5/13/2020,KO/TKO,Elbow
Vicente Luque,Niko Price,5/9/2020,KO/TKO,Punches
Bryce Mitchell,Charles Rosa,5/9/2020,U-DEC,
Ryan Spann,Sam Alvey,5/9/2020,S-DEC,
Anthony Pettis,Donald Cerrone,5/9/2020,U-DEC,
Aleksei Oleinik,Fabricio Werdum,5/9/2020,S-DEC,
Carla Esparza,Michelle Waterson,5/9/2020,S-DEC,
Uriah Hall,Jacare Souza,5/9/2020,,
Tony Ferguson,Justin Gaethje,5/9/2020,KO/TKO,Punch
Henry Cejudo,Dominick Cruz,5/9/2020,KO/TKO,Knee
Francis Ngannou,Jairzinho Rozenstruik,5/9/2020,KO/TKO,Punch
Jeremy Stephens,Calvin Kattar,5/9/2020,KO/TKO,Elbow
Greg Hardy,Yorgan De Castro,5/9/2020,U-DEC,
Kevin Lee,Charles Oliveira,3/14/2020,SUB,Guillotine Choke
Demian Maia,Gilbert Burns,3/14/2020,KO/TKO,Punch
Renato Moicano,Damir Hadzovic,3/14/2020,SUB,Rear Naked Choke
Johnny Walker,Nikita Krylov,3/14/2020,U-DEC,
Francisco Trinaldo,John Makdessi,3/14/2020,U-DEC,
Jussier Formiga,Brandon Moreno,3/14/2020,U-DEC,
Amanda Ribas,Randa Markos,3/14/2020,U-DEC,
Elizeu Dos Santos,Aleksei Kunchenko,3/14/2020,,
Mayra Bueno Silva,Maryna Moroz,3/14/2020,U-DEC,
Bruno Silva,David Dvorak,3/14/2020,U-DEC,
Veronica Macedo,Bea Malecki,3/14/2020,U-DEC,
Israel Adesanya,Yoel Romero,3/7/2020,U-DEC,
Weili Zhang,Joanna Jedrzejczyk,3/7/2020,S-DEC,
Beneil Dariush,Drakkar Klose,3/7/2020,KO/TKO,Punch
Neil Magny,Li Jingliang,3/7/2020,,
Alex Oliveira,Max Griffin,3/7/2020,S-DEC,
Sean O'Malley,Jose Quinonez,3/7/2020,KO/TKO,Punches
Mark Madsen,Austin Hubbard,3/7/2020,U-DEC,
Rodolfo Vieira,Saparbeg Safarov,3/7/2020,SUB,Arm Triangle
Gerald Meerschaert,Deron Winn,3/7/2020,SUB,Rear Naked Choke
Jamall Emmers,Giga Chikadze,3/7/2020,S-DEC,
Danaa Batgerel,Guido Cannetti,3/7/2020,KO/TKO,Punch
Joseph Benavidez,Deiveson Figueiredo,2/29/2020,KO/TKO,Punch
Felicia Spencer,Zarah Fairn,2/29/2020,KO/TKO,Punches
Ion Cutelaba,Magomed Ankalaev,2/29/2020,KO/TKO,Punches
Megan Anderson,Norma Dumont,2/29/2020,KO/TKO,Punch
Grant Dawson,Darrick Minner,2/29/2020,SUB,Rear Naked Choke
Gabriel Silva,Kyler Phillips,2/29/2020,U-DEC,
Brendan Allen,Tom Breese,2/29/2020,KO/TKO,Punches
Luis Pena,Steve Garcia,2/29/2020,U-DEC,
Marcin Tybura,Serghei Spivac,2/29/2020,U-DEC,
Jordan Griffin,TJ Brown,2/29/2020,SUB,Guillotine Choke
Aalon Cruz,Spike Carlyle,2/29/2020,KO/TKO,Punches
Sean Brady,Ismail Naurdiev,2/29/2020,U-DEC,
Paul Felder,Dan Hooker,2/22/2020,S-DEC,
Jim Crute,Michal Oleksiejczuk,2/22/2020,,
Karolina Kowalkiewicz,Yan Xiaonan,2/22/2020,,
Ben Sosoli,Marcos Rogerio De Lima,2/22/2020,,
Brad Riddell,Magomed Mustafaev,2/22/2020,S-DEC,
Kevin Aguilar,Zubaira Tukhugov,2/22/2020,KO/TKO,Punches
Jalin Turner,Joshua Culibao,2/22/2020,,
Jake Matthews,Emil Meek,2/22/2020,U-DEC,
Callan Potter,Song Kenan,2/22/2020,,
Kai Kara France,Tyson Nam,2/22/2020,,
Loma Lookboonmee,Angela Hill,2/22/2020,U-DEC,
Priscila Cachoeira,Shana Dobson,2/22/2020,KO/TKO,Punch
Francis Ngannou,Junior Dos Santos,6/29/2019,KO/TKO,Punch
Jussier Formiga,Joseph Benavidez,6/29/2019,KO/TKO,Punches
Demian Maia,Rocco Martin,6/29/2019,,
Roosevelt Roberts,Vinc Pichel,6/29/2019,U-DEC,
Drew Dober,Marco Polo Reyes,6/29/2019,KO/TKO,Punches
Alonzo Menifield,Paul Craig,6/29/2019,KO/TKO,Punch
Ricardo Ramos,Journey Newson,6/29/2019,U-DEC,
Eryk Anders,Vinicius Moreira,6/29/2019,KO/TKO,Punch
Jared Gordon,Dan Moret,6/29/2019,U-DEC,
Dalcha Lungiambula,Dequan Townsend,6/29/2019,KO/TKO,Punch
Emily Whitmire,Amanda Ribas,6/29/2019,SUB,Rear Naked Choke
Maurice Greene,Junior Albini,6/29/2019,KO/TKO,Punch
Renato Moicano,Chan Sung Jung,6/22/2019,KO/TKO,Punch
Bryan Barberena,Randy Brown,6/22/2019,KO/TKO,Kick
Andre Ewell,Anderson Dos Santos,6/22/2019,U-DEC,
Andrea Lee,Montana De La Rosa,6/22/2019,U-DEC,
Kevin Holland,Alessio Di Chirico,6/22/2019,U-DEC,
Dan Ige,Kevin Aguilar,6/22/2019,U-DEC,
Ashley Yoder,Syuri Kondo,6/22/2019,U-DEC,
Matt Wiman,Luis Pena,6/22/2019,KO/TKO,Punches
Allen Crowder,Jairzinho Rozenstruik,6/22/2019,KO/TKO,Punches
Ariane Lipski,Molly McCann,6/22/2019,U-DEC,
Deron Winn,Eric Spicely,6/22/2019,U-DEC,
Jon Jones,Thiago Santos,7/6/2019,S-DEC,
Amanda Nunes,Holly Holm,7/6/2019,KO/TKO,Kick
Jorge Masvidal,Ben Askren,7/6/2019,KO/TKO,Flying Knee
Jan Blachowicz,Luke Rockhold,7/6/2019,KO/TKO,Punch
Diego Sanchez,Michael Chiesa,7/6/2019,U-DEC,
Gilbert Melendez,Arnold Allen,7/6/2019,U-DEC,
Marlon Vera,Nohelin Hernandez,7/6/2019,SUB,Rear Naked Choke
Caludia Gadelha,Randa Markos,7/6/2019,,
Alejandro Perez,Song Yadong,7/6/2019,KO/TKO,Punch
Edmen Shahbazyan,Jack Marshman,7/6/2019,SUB,Rear Naked Choke
Ismail Naurdiev,Chance Rencountre,7/6/2019,U-DEC,
Julia Avila,Pannie Kianzad,7/6/2019,U-DEC,
Corey Anderson,Jan Blachowicz,2/15/2020,KO/TKO,Punch
Diego Sanchez,Michel Pereira,2/15/2020,DQ,
Montana De La Rosa,Mara Romero Borella,2/15/2020,U-DEC,
Brok Weaver,Kazula Vargas,2/15/2020,DQ,
Rogerio Bontorin,Ray Borg,2/15/2020,U-DEC,
Lando Vannata,Yancy Medeiros,2/15/2020,U-DEC,
Tim Means,Daniel Rodriguez,2/15/2020,SUB,Guillotine Choke
John Dodson,Nathaniel Wood,2/15/2020,KO/TKO,Punch
Jim Miller,Scott Holtzman,2/15/2020,U-DEC,
Devin Clark,Dequan Townsend,2/15/2020,U-DEC,
Casey Kenney,Merab Dvalishvili,2/15/2020,U-DEC,
Macy Chiasson,Shanna Young,2/15/2020,U-DEC,
Mark De La Rosa,Raulian Paiva,2/15/2020,KO/TKO,Punch
Germaine De Randamie,Aspen Ladd,7/13/2019,,
Urijah Faber,Ricky Simon,7/13/2019,KO/TKO,Punch
Josh Emmett,Mirsad Bektic,7/13/2019,KO/TKO,Punches
Karl Roberson,Wellington Turman,7/13/2019,S-DEC,
Marvin Vettori,Cezar Ferreira,7/13/2019,U-DEC,
Andre Fili,Sheymon Moraes,7/13/2019,KO/TKO,Punch
Julianna Pena,Nicco Montano,7/13/2019,U-DEC,
Darren Elkins,Ryan Hall,7/13/2019,U-DEC,
Liu Pingyuan,Jonathan Martinez,7/13/2019,KO/TKO,Knee
Livinha Souza,Brianna Van Buren,7/13/2019,U-DEC,
Benito Lopez,Vince Morales,7/13/2019,U-DEC,
Rafael Dos Anjos,Leon Edwards,7/20/2019,U-DEC,
Aleksei Oleinik,Walt Harris,7/20/2019,KO/TKO,Punch
Greg Hardy,Juan Adams,7/20/2019,KO/TKO,Punches
James Vick,Dan Hooker,7/20/2019,KO/TKO,Punch
Alexander Hernandez,Francisco Trinaldo,7/20/2019,U-DEC,
Andrei Arlovski,Ben Rothwell,7/20/2019,U-DEC,
Alex Caceres,Steven Peterson,7/20/2019,U-DEC,
Raquel Pennington,Irene Aldana,7/20/2019,S-DEC,
Sam Alvey,Klidson Abreu,7/20/2019,U-DEC,
Roxanne Modafferi,Jennifer Maia,7/20/2019,U-DEC,
Ray Borg,Gabriel Silva,7/20/2019,U-DEC,
Mario Bautista,Jin Soo Son,7/20/2019,U-DEC,
Domingo Pilarte,Felipe Colares,7/20/2019,S-DEC,
Max Holloway,Frankie Edgar,7/27/2019,U-DEC,
Cris Cyborg,Felicia Spencer,7/27/2019,,
Geoff Neal,Niko Price,7/27/2019,KO/TKO,Punches
Olivier Aubin-Mercier,Arman Tsarukyan,7/27/2019,U-DEC,
Marc-Andre Barriault,Krzystof Jotko,7/27/2019,,
Alexis Davis,Viviane Araujo,7/27/2019,U-DEC,
Hakeem Dawodu,Yoshinori Horie,7/27/2019,KO/TKO,Kick
Gavin Tucker,Seungwoo Choi,7/27/2019,,
Alexandre Pantoja,Deiveson Figueiredo,7/27/2019,U-DEC,
Gillian Robertson,Sarah Frota,7/27/2019,KO/TKO,Elbows
Erik Koch,Kyle Stewart,7/27/2019,U-DEC,
Colby Covington,Robbie Lawler,8/3/2019,U-DEC,
Jim Miller,Clay Guida,8/3/2019,SUB,Guillotine Choke
Joaquim Silva,Nasrat Haqparast,8/3/2019,KO/TKO,Punch
Trevin Giles,Gerald Meerschaert,8/3/2019,SUB,Guillotine Choke
Scott Holtzman,Dong Hyun Ma,8/3/2019,KO/TKO,
Darko Stosic,Kennedy Nzechukwu,8/3/2019,U-DEC,
Mickey Gall,Salim Touahri,8/3/2019,U-DEC,
Antonina Shevchenko,Lucie Pudilova,8/3/2019,SUB,Rear Naked Choke
Jordan Espinosa,Matt Schnell,8/3/2019,SUB,Triangle Choke
Lauren Murphy,Mara Romero Borella,8/3/2019,KO/TKO,Knee
Claudio Silva,Cole Williams,8/3/2019,SUB,Neck Crank
Miranda Granger,Hannah Goldy,8/3/2019,U-DEC,
Jon Jones,Dominick Reyes,2/8/2020,U-DEC,
Valentina Shevchenko,Katlyn Chookagian,2/8/2020,KO/TKO,Punches
Juan Adams,Justin Tafa,2/8/2020,KO/TKO,Punch
Mirsad Bektic,Dan Ige,2/8/2020,S-DEC,
Derrick Lewis,Ilir Latifi,2/8/2020,U-DEC,
Trevin Giles,James Krause,2/8/2020,S-DEC,
Alex Morono,Kalinn Williams,2/8/2020,,
Lauren Murphy,Andrea Lee,2/8/2020,S-DEC,
Miles Johns,Mario Bautista,2/8/2020,KO/TKO,Flying Knee
Domingo Pilarte,Journey Newson,2/8/2020,Overturned,Punch
Andre Ewell,Jonathan Martinez,2/8/2020,S-DEC,
Austin Lingo,Youssef Zalel,2/8/2020,,
Valentina Shevchenko,Liz Carmouche,8/10/2019,U-DEC,
Vincente Luque,Mike Perry,8/10/2019,,
Luiz Garagorri,Humberto Bandenay,8/10/2019,,
Volkan Oezdemir,Ilir Latifi,8/10/2019,KO/TKO,Punch
Rodolfo Vieira,Oskar Piechota,8/10/2019,SUB,Arm Triangle
Enrique Barzola,Bobby Moffett,8/10/2019,S-DEC,
Gilbert Burns,Aleksei Kunchenko,8/10/2019,U-DEC,
Ciryl Gane,Raphael Pessoa Nunes,8/10/2019,,
Tecia Torres,Marina Rodriguez,8/10/2019,U-DEC,
Rogerio Bontorin,Raulian Paiva,8/10/2019,KO/TKO,
Geraldo de Freitas,Chris Gutierrez,8/10/2019,S-DEC,
Kazula Vargas,Alex Da Silva,8/10/2019,U-DEC,
Veronica Macedo,Polyana Viana,8/10/2019,SUB,Armbar
Daniel Cormier,Stipe Miocic,8/17/2019,KO/TKO,Punches
Anthony Pettis,Nate Diaz,8/17/2019,U-DEC,
Yoel Romero,Paulo Costa,8/17/2019,U-DEC,
Gabriel Benitez,Sodiq Yusuff,8/17/2019,KO/TKO,Punch
Derek Brunson,Ian Heinisch,8/17/2019,U-DEC,
Devonte Smith,Khama Worthy,8/17/2019,KO/TKO,Punch
Raphael Assuncao,Cory Sandhagen,8/17/2019,U-DEC,
Christos Giagos,Drakkar Klose,8/17/2019,U-DEC,
Manny Bermudez,Casey Kenney,8/17/2019,U-DEC,
Hannah Cifers,Jodie Esquibel,8/17/2019,U-DEC,
Kyung Ho Kang,Brandon Davis,8/17/2019,S-DEC,
Sabina Mazo,Shana Dobson,8/17/2019,U-DEC,
Jessica Andrade,Zhang Weili,8/31/2019,,
Li Jingliang,Elizeu Dos Santos,8/31/2019,,
Kai Kara-France,Mark De La Rosa,8/31/2019,U-DEC,
Song Kenan,Derrick,8/31/2019,,
Wu Yanan,Mizuki Inoue,8/31/2019,,
Junyong Park,Anthony Hernandez,8/31/2019,SUB,Anaconda Choke
Su Mudaerji,Andre Soukhamthath,8/31/2019,U-DEC,
Da Un Jung,Khadis Ibragimov,8/31/2019,,
Damir Ismagulov,Thiago Moises,8/31/2019,U-DEC,
Heili Alateng,Danaa Batgerel,8/31/2019,U-DEC,
Karol Rosa,Lara Procopio,8/31/2019,S-DEC,
Khabib Nurmagomedov,Dustin Poirier,9/7/2019,SUB,Rear Naked Choke
Edson Barboza,Paul Felder,9/7/2019,S-DEC,
Islam Makhachev,Davi Ramos,9/7/2019,U-DEC,
Curtis Blaydes,Shamil Abdurakhimov,9/7/2019,KO/TKO,Elbow
Mairbek Taisumov,Diego Ferreira,9/7/2019,U-DEC,
Joanne Calderwood,Andrea Lee,9/7/2019,S-DEC,
Liana Jojua,Sarah Moras,9/7/2019,KO/TKO,Elbows
Ottman Azaitar,Teemu Packalen,9/7/2019,KO/TKO,Punch
Belal Muhammad,Takashi Sato,9/7/2019,SUB,Rear Naked Choke
Nordine Taleb,Muslim Salikhov,9/7/2019,KO/TKO,Punch
Omari Akhmedov,Zak Cummings,9/7/2019,U-DEC,
Don Madge,Fares Ziam,9/7/2019,U-DEC,
Donald Cerrone,Justin Gaethje,9/14/2019,KO/TKO,Punch
Glover Teixeira,Nikita Krylov,9/14/2019,S-DEC,
Michel Pereira,Tristan Connelly,9/14/2019,U-DEC,
Uriah Hall,Antonio Carlos Junior,9/14/2019,S-DEC,
Misha Cirkunov,Jimmy Crute,9/14/2019,SUB,Peruvian Necktie
Marcin Tybura,Augusto Sakai,9/14/2019,KO/TKO,Punches
Cole Smith,Miles Johns,9/14/2019,S-DEC,
Brad Katona,Hunter Azure,9/14/2019,U-DEC,
Chas Skelly,Jordan Griffin,9/14/2019,U-DEC,
Louis Smolka,Ryan MacDonald,9/14/2019,KO/TKO,Punch
Kyle Prepolec,Austin Hubbard,9/14/2019,U-DEC,
Carla Esparza,Alexa Grasso,9/21/2019,M-DEC,
Irene Aldana,Vanessa Melo,9/21/2019,U-DEC,
Martin Bravo,Steven Peterson,9/21/2019,KO/TKO,Spinning Back Fist
Jose Quinonez,Carlos Huachin,9/21/2019,U-DEC,
Marco Polo Reyes,Kyle Nelson,9/21/2019,KO/TKO,Punch
Ariane Carnelossi,Angela Hill,9/21/2019,KO/TKO,Elbow
Sergio Pettis,Tyson Nam,9/21/2019,U-DEC,
Vinicius Moreira,Paul Craig,9/21/2019,SUB,Rear Naked Choke
Sijara Eubanks,Bethe Correia,9/21/2019,U-DEC,
Caludio Puelles,Marcos Mariano,9/21/2019,,
Jack Hermansson,Jared Cannonier,9/28/2019,KO/TKO,Punch
Mark Madsen,Danilo Belluardo,9/28/2019,KO/TKO,Punches
Gunnar Nelson,Gilbert Burns,9/28/2019,U-DEC,
Ion Cutelaba,Khalil Rountree Jr.,9/28/2019,KO/TKO,Elbows
Michal Oleksiejczuk,Ovince Saint Preux,9/28/2019,SUB,Other - Choke
Nicolas Dalby,Alex Oliveira,9/28/2019,U-DEC,
Alen Amedovski,John Phillips,9/28/2019,KO/TKO,Punch
Alessio Di Chirico,Makhmud Muradov,9/28/2019,U-DEC,
Siyar Bahadurzada,Ismail Naurdiev,9/28/2019,U-DEC,
Brandon Davis,Giga Chikadze,9/28/2019,S-DEC,
Macy Chiasson,Lina Lansberg,9/28/2019,U-DEC,
Marc Diakiese,Lando Vannata,9/28/2019,U-DEC,
Jack Shore,Nohelin Hernandez,9/28/2019,SUB,Rear Naked Choke
Robert Whittaker,Israel Adesanya,10/5/2019,KO/TKO,Punch
Al Iaquinta,Dan Hooker,10/5/2019,U-DEC,
Tai Tuivasa,Serghei Spivac,10/5/2019,SUB,Arm Triangle
Luke Jumeau,Dhiego Lima,10/5/2019,S-DEC,
Justin Tafa,Yorgan De Castro,10/5/2019,KO/TKO,Punch
Jake Matthews,Rostem Akman,10/5/2019,U-DEC,
Callan Potter,Maki Pitolo,10/5/2019,U-DEC,
Brad Riddell,Jamie Mullarkey,10/5/2019,U-DEC,
Megan Anderson,Zarah Fairn,10/5/2019,SUB,Triangle Choke
Nadia Kassem,Ji Yeon Kim,10/5/2019,KO/TKO,Punch
Khalid Taha,Bruno Silva,10/5/2019,SUB,Arm Triangle
Curtis Blaydes,Junior Dos Santos,1/25/2020,KO/TKO,Punches
Rafael Dos Anjos,Michael Chiesa,1/25/2020,U-DEC,
Jordan Espinosa,Alex Perez,1/25/2020,SUB,Arm Triangle
Hannah Cifers,Angela Hill,1/25/2020,KO/TKO,Elbows
Jamahal Hill,Darko Stosic,1/25/2020,U-DEC,
Bevon Lewis,Dequan Townsend,1/25/2020,U-DEC,
Arnold Allen,Nik Lentz,1/25/2020,U-DEC,
Justine Kish,Luci Pudilova,1/25/2020,,
Montel Jackson,Felipe Colares,1/25/2020,U-DEC,
Sara McMann,Lina Lansberg,1/25/2020,U-DEC,
Brett Johns,Tony Gravely,1/25/2020,SUB,Rear Naked Choke
Herbert Burns,Nate Landwehr,1/25/2020,KO/TKO,Knee
Joanna Jedrzejczyk,Michelle Waterson,10/12/2019,U-DEC,
Cub Swanson,Kron Gracie,10/12/2019,U-DEC,
Niko Price,James Vick,10/12/2019,KO/TKO,Kick
Mackenzie Dern,Amanda Ribas,10/12/2019,U-DEC,
Matt Frevola,Luis Pena,10/12/2019,S-DEC,
Eryk Anders,Gerald Meerschaert,10/12/2019,S-DEC,
Ryan Spann,Devin Clark,10/12/2019,SUB,Guillotine Choke
Mike Davis,Thomas Gifford,10/12/2019,KO/TKO,Punch
Max Griffin,Alex Morono,10/12/2019,U-DEC,
Deiveson Figueiredo,Tim Elliott,10/12/2019,SUB,Guillotine Choke
Marlon Vera,Andre Ewell,10/12/2019,KO/TKO,Elbows
Miguel Baeza,Hector Aldana,10/12/2019,KO/TKO,Kick
Marvin Vettori,Andrew Sanchez,10/12/2019,U-DEC,
JJ Aldrich,Lauren Mueller,10/12/2019,U-DEC,
Yair Rodriguez,Jeremy Stephens,10/18/2019,U-DEC,
Dominick Reyes,Chris Weidman,10/18/2019,KO/TKO,Punches
Joe Lauzon,Jonathan Pearce,10/18/2019,KO/TKO,Punches
Maycee Barber,Gillian Robertson,10/18/2019,KO/TKO,Punches
Deron Winn,Darren Stewart,10/18/2019,S-DEC,
Charles Rosa,Manny Bermudez,10/18/2019,SUB,Armbar
Molly McCann,Diana Belbita,10/18/2019,U-DEC,
Kyle Bochniak,Sean Woodson,10/18/2019,U-DEC,
Randy Costa,Boston Salmon,10/18/2019,KO/TKO,Punch
Court McGee,Sean Brady,10/18/2019,U-DEC,
Brendan Allen,Kevin Holland,10/18/2019,SUB,Rear Naked Choke
Daniel Spitz,Tanner Boser,10/18/2019,U-DEC,
Demian Maia,Ben Askren,10/26/2019,SUB,Rear Naked Choke
Michael Johnson,Stevie Ray,10/26/2019,M-DEC,
Frank Camacho,Beneil Dariush,10/26/2019,SUB,Rear Naked Choke
Ciryl Gane,Don'tale Mayes,10/26/2019,,
Muslim Salikhov,Laureano Staropoli,10/26/2019,U-DEC,
Randa Markos,Ashley Yoder,10/26/2019,S-DEC,
Alex White,Rafael Fiziev,10/26/2019,U-DEC,
Enrique Barzola,Movsar Evloev,10/26/2019,U-DEC,
Maurice Greene,Sergei Pavlovich,10/26/2019,KO/TKO,Punches
Loma Lookboonmee,Alexandra Albu,10/26/2019,,
Raphael Pessoa Nunes,Jeff Hughes,10/26/2019,,
Conor McGregor,Donald Cerrone,1/18/2020,KO/TKO,Punches
Holly Holm,Raquel Pennington,1/18/2020,U-DEC,
Aleksei Oleinik,Maurice Greene,1/18/2020,SUB,Armbar
Anthony Pettis,Diego Ferreira,1/18/2020,SUB,Rear Naked Choke
Roxanne Modafferi,Maycee Barber,1/18/2020,U-DEC,
Andre Fili,Sodiq Yusuff,1/18/2020,U-DEC,
Drew Dober,Nasrat Haqparast,1/18/2020,KO/TKO,Punch
Aleksa Camur,Justin Ledet,1/18/2020,U-DEC,
Tim Elliott,Askar Askarov,1/18/2020,U-DEC,
Brian Kelleher,Ode Obsourne,1/18/2020,,
Sabina Mazo,JJ Aldrich,1/18/2020,S-DEC,
Jorge Masvidal,Nate Diaz,11/2/2019,KO/TKO,
Kelvin Gastelum,Darren Till,11/2/2019,S-DEC,
Stephen Thompson,Vicente Luque,11/2/2019,U-DEC,
Derrick Lewis,Blagoy Ivanov,11/2/2019,S-DEC,
Kevin Lee,Gregor Gillespie,11/2/2019,KO/TKO,Kick
Corey Anderson,Johnny Walker,11/2/2019,KO/TKO,Punches
Shane Burgos,Makwan Amirkhani,11/2/2019,KO/TKO,Punch
Brad Tavares,Edmen Shahbazyan,11/2/2019,KO/TKO,Kick
Andrei Arlovski,Jairzinho Rozenstruik,11/2/2019,KO/TKO,Punch
Katlyn Chookagian,Jennifer Maia,11/2/2019,U-DEC,
Lyman Good,Chance Rencountre,11/2/2019,KO/TKO,Punch
