R_fighter,B_fighter,R_prob,B_prob
Kamaru Usman,Jorge Masvidal,0.5,0.5
Alexander Volkanovski,Max Holloway,0.5,0.5
Petr Yan,Jose Aldo,0.5,0.5
Jessica Andrade,Rose Namajunas,0.5,0.5
Amanda Ribas,Paige VanZant,0.5,0.5
Volkan Oezdemir,Jiri Prochazka,0.5,0.5
Elizeu Zaleski dos Santos,Muslim Salikhov,0.5,0.5
Makwan Amirkhani,Danny Henry,0.5,0.5
Leonardo Santos,Roman Bogatov,0.5,0.5
Marcin Tybura,Alexandr Romanov,0.5,0.5
Raulian Paiva,Zhalgas Zhamagulov,0.5,0.5
Karol Rosa,Vanessa Melo,0.5,0.5
Martin Day,Davey Grant,0.5,0.5
